OID_,ClipsFinal_DEM_Large_S3_RegB,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-3.907068811150472,17.985896087536482,-13.0580950,0.0027273,42.9752083,-0.0854150,-0.3810082,4.0000000,0.0045648,1.0499988,17.6744194,-0.7665812,0.8461329
2,-13,-3.899612171150472,17.985896087536482,-13.0557852,0.0005785,33.8842964,-0.0880292,-0.5824823,4.0000000,-0.1772853,1.0530798,18.2224693,-0.9876794,1.7705574
3,-13,-3.944352011150472,17.978439447536481,-13.0699749,0.0045455,49.5867767,-0.3332258,-0.5538627,4.0000000,0.2148586,1.0418853,16.2990551,-1.3225840,2.0734417
4,-13,-3.936895371150472,17.978439447536481,-13.0678015,0.0023140,40.4958687,-0.3974544,-0.6376117,4.0000000,0.2524600,1.0452185,16.9061928,-1.5276835,2.6606007
5,-13,-3.929438731150472,17.978439447536481,-13.0655823,0.0003306,31.4049587,-0.3253106,-0.4057611,4.0000000,0.2919453,1.0474981,17.3531761,-1.1034675,1.4568661
6,-13,-3.921982091150472,17.978439447536481,-13.0632820,-0.0017355,22.3140488,-0.2332747,-0.2765714,4.0000000,0.2789355,1.0492783,17.6703110,-0.8320782,0.8694578
7,-13,-3.914525451150472,17.978439447536481,-13.0609636,-0.0042149,13.2231407,-0.0299329,0.0262245,4.0000000,0.1971296,1.0502380,17.8068218,-0.1446806,0.0786997
8,-13,-3.907068811150472,17.978439447536481,-13.0586081,0.0032231,44.6280975,-0.0450659,-0.3024516,4.0000000,0.0245017,1.0498257,17.6470242,-0.6294049,0.5089396
9,-13,-3.899612171150472,17.978439447536481,-13.0563087,0.0009917,35.5371895,0.0454004,-0.5254773,4.0000000,-0.1789995,1.0523396,18.0855160,-0.8719550,1.1559062
10,-13,-3.892155531150472,17.978439447536481,-13.0538359,-0.0013223,26.4462814,0.2106876,-0.7204202,4.0000000,-0.3664778,1.0557936,18.7522430,-1.0743625,1.9289342
11,-13,-3.884698891150472,17.978439447536481,-13.0513792,-0.0040496,17.3553715,0.3486359,-0.6869838,4.0000000,-0.5139641,1.0578856,18.9774075,-0.8600035,1.4299972
12,-13,-3.951808651150472,17.970982807536483,-13.0725908,-0.0025620,15.7024794,-0.1436363,-0.6006366,4.0000000,0.0492690,1.0389326,15.6960897,-1.2505422,1.8813791
13,-13,-3.944352011150472,17.970982807536483,-13.0705662,-0.0048760,7.4380164,-0.1536588,-0.7321458,4.0000000,0.0707110,1.0421978,16.3503590,-1.5350027,2.6718724
14,-13,-3.936895371150472,17.970982807536483,-13.0683756,0.0028099,42.9752083,-0.1800083,-0.7565597,4.0000000,0.1053305,1.0461478,17.0882320,-1.6184498,2.9043164
15,-13,-3.929438731150472,17.970982807536483,-13.0661201,0.0007438,33.8842964,-0.1577400,-0.4377163,4.0000000,0.1468687,1.0485567,17.5243835,-1.0223014,1.1963654
16,-13,-3.921982091150472,17.970982807536483,-13.0637951,-0.0012397,24.7933884,-0.1205772,-0.2924923,4.0000000,0.1477461,1.0499635,17.7707291,-0.7327307,0.6512751
17,-13,-3.914525451150472,17.970982807536483,-13.0614595,-0.0036364,15.7024794,-0.0413230,-0.0077462,4.0000000,0.0950967,1.0506787,17.8788548,-0.1105892,0.1007759
18,-13,-3.907068811150472,17.970982807536483,-13.0590963,0.0037190,46.2809906,0.0435063,-0.3262912,4.0000000,-0.0757797,1.0499517,17.6643314,-0.5768027,0.3746086
19,-13,-3.899612171150472,17.970982807536483,-13.0568027,0.0014050,37.1900826,0.2196575,-0.5527558,4.0000000,-0.2713923,1.0519444,18.0257435,-0.8341193,0.8854780
20,-13,-3.892155531150472,17.970982807536483,-13.0543423,-0.0009091,28.0991745,0.5694013,-0.8365690,4.0000000,-0.5125802,1.0550380,18.5910702,-1.1605577,1.9248085
21,-13,-3.884698891150472,17.970982807536483,-13.0518932,-0.0036364,19.0082645,0.7876418,-0.9102680,4.0000000,-0.7156987,1.0568944,18.8198013,-1.1048373,2.0823967
22,-13,-3.877242251150472,17.970982807536483,-13.0493546,0.0036364,47.1074371,1.0959504,-1.0704461,4.0000000,-0.8679941,1.0610666,19.5687943,-1.2728981,2.9242573
23,-13,-3.959265291150472,17.963526167536482,-13.0751915,0.0000826,28.0991745,-0.2978979,-0.6390356,4.0000000,0.1151968,1.0376046,15.5304146,-1.3932680,2.4265728
24,-13,-3.951808651150472,17.963526167536482,-13.0731859,-0.0019008,19.0082645,-0.2118022,-0.6516241,4.0000000,0.1077136,1.0393361,15.7533865,-1.4109617,2.3032775
25,-13,-3.944352011150472,17.963526167536482,-13.0711432,-0.0042149,9.9173555,-0.2048513,-0.8043181,4.0000000,0.0947661,1.0427500,16.4450016,-1.7034024,3.2685649
26,-13,-3.936895371150472,17.963526167536482,-13.0689440,0.0033884,45.4545441,-0.1758952,-0.7925884,4.0000000,0.0985433,1.0468683,17.2669296,-1.6837201,3.1456130
27,-13,-3.929438731150472,17.963526167536482,-13.0666714,0.0012397,36.3636360,-0.1184830,-0.4222330,4.0000000,0.1131786,1.0494934,17.6800041,-0.9576446,1.0518968
