OID_,ClipsFinal_DEM_Large_S3_RegN,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-3.034641931150471,23.071324567536479,-12.7584448,0.0034711,42.9752083,-0.0217899,-0.0572252,4.0000000,-0.0835152,1.0616914,19.6360416,-0.0309353,0.0730187
2,-12,-3.027185291150471,23.071324567536479,-12.7600498,-0.0051240,12.3966942,-0.0134573,-0.0732516,4.0000000,-0.0271826,1.0617645,19.6683979,-0.1193205,0.0595972
3,-12,-3.019728651150471,23.071324567536479,-12.7616758,-0.0036364,16.5289249,-0.0109978,-0.2094718,4.0000000,-0.1628654,1.0617402,19.6733494,-0.2560781,0.2460890
4,-12,-3.012272011150471,23.071324567536479,-12.7632551,-0.0019835,21.4876041,-0.0008173,-0.3869035,4.0000000,-0.4345111,1.0607965,19.5392208,-0.3392959,0.7749953
5,-12,-3.004815371150471,23.071324567536479,-12.7647943,-0.0004959,26.4462814,0.0149249,-0.4487791,4.0000000,-0.6169710,1.0594032,19.3258705,-0.2805872,1.0264883
6,-12,-2.997358731150471,23.071324567536479,-12.7662630,0.0009917,32.2314034,-0.0038988,-0.4767975,4.0000000,-0.7895449,1.0576757,19.0536499,-0.1640501,1.2385558
7,-12,-2.989902091150471,23.071324567536479,-12.7676764,0.0024793,38.8429756,-0.0794030,-0.4306478,4.0000000,-0.8694813,1.0558299,18.7513828,0.0081857,1.2285483
8,-12,-2.982445451150471,23.071324567536479,-12.7690306,0.0038017,44.6280975,-0.1453960,-0.4018686,4.0000000,-0.9041955,1.0537293,18.4100056,0.1004583,1.2663723
9,-12,-3.042098571150471,23.063867927536482,-12.7589188,0.0039669,45.4545441,0.0204337,-0.1611408,4.0000000,-0.2344857,1.0621756,19.7265205,-0.0877960,0.0881254
10,-12,-3.034641931150471,23.063867927536482,-12.7605438,-0.0045455,14.0495872,0.0311951,-0.1902762,4.0000000,-0.2007793,1.0612704,19.5604992,-0.1797731,0.1064162
11,-12,-3.027185291150471,23.063867927536482,-12.7621527,-0.0031405,18.1818180,0.0424340,-0.2348673,4.0000000,-0.1690148,1.0613952,19.6077843,-0.3007198,0.1641032
12,-12,-3.019728651150471,23.063867927536482,-12.7637825,-0.0015702,23.1404953,0.1726522,-0.4210703,4.0000000,-0.3593691,1.0612702,19.6063271,-0.4827715,0.4495844
13,-12,-3.012272011150471,23.063867927536482,-12.7653713,0.0000826,28.9256191,0.4162650,-0.6733711,4.0000000,-0.6993168,1.0601231,19.4203606,-0.6474254,1.2585162
14,-12,-3.004815371150471,23.063867927536482,-12.7669058,0.0015702,34.7107430,0.5229446,-0.7559853,4.0000000,-0.8618394,1.0585030,19.1600895,-0.6501313,1.6131226
15,-12,-2.997358731150471,23.063867927536482,-12.7683697,0.0030579,41.3223152,0.5798846,-0.8096781,4.0000000,-1.0299273,1.0565969,18.8588676,-0.5894288,1.9327942
16,-12,-2.989902091150471,23.063867927536482,-12.7697716,0.0044628,47.9338837,0.4842197,-0.7667301,4.0000000,-1.0794388,1.0544627,18.5057869,-0.4540213,1.8460457
17,-12,-2.982445451150471,23.063867927536482,-12.7711010,-0.0042975,13.2231407,0.3602499,-0.6842384,4.0000000,-1.0125508,1.0522039,18.1198654,-0.3559261,1.5317482
18,-12,-2.974988811150471,23.063867927536482,-12.7723827,-0.0028926,17.3553715,-0.0323090,-0.2753214,4.0000000,-0.4047954,1.0503321,17.7688484,-0.1458474,0.4653077
19,-12,-2.967532171150471,23.063867927536482,-12.7736120,-0.0014050,22.3140488,-0.3253081,0.1183445,4.0000000,0.2202173,1.0505531,17.8091526,0.0164716,0.8660671
20,-12,-2.960075531150471,23.063867927536482,-12.7749510,0.0000826,28.0991745,-0.3798984,0.2929901,4.0000000,0.4803202,1.0520443,18.0927010,0.1056599,1.3800848
