OID_,ClipsFinal_DEM_Large_S3_RegS1,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.631983371150471,22.176527767536477,-12.7799606,0.0048760,48.7603302,-0.5090996,-0.3526628,4.0000000,-0.7402675,1.0026001,4.1442480,0.0349420,1.5345407
2,-12,-2.624526731150472,22.176527767536477,-12.7802849,-0.0042149,0.0000000,-0.4455930,-0.2852710,4.0000000,-0.8036444,1.0021714,3.7895482,0.2331025,1.2300225
3,-12,-2.617070091150472,22.176527767536477,-12.7805510,-0.0033884,0.0000000,-0.4322311,-0.2144380,4.0000000,-0.8449618,1.0018015,3.4447360,0.4160858,1.0579842
4,-12,-2.609613451150472,22.176527767536477,-12.7807798,-0.0026446,0.0000000,-0.5249790,-0.1660025,4.0000000,-0.9026873,1.0014755,3.1270568,0.5706823,1.1685927
5,-12,-2.602156811150472,22.176527767536477,-12.7809811,-0.0020661,0.0000000,-0.8035930,-0.3656101,4.0000000,-1.3140247,1.0011282,2.7448454,0.5828044,2.1549313
6,-12,-2.594700171150472,22.176527767536477,-12.7811422,-0.0015702,0.0000000,-1.1002890,-0.6668841,4.0000000,-1.9044967,1.0007260,2.1407533,0.5707284,3.9952712
7,-12,-2.587243531150472,22.176527767536477,-12.7811871,-0.0010744,0.0000000,-1.3021008,-0.7586200,5.0000000,-1.7639319,1.0004275,1.5856863,0.2466919,4.9160824
8,-12,-2.579786891150472,22.176527767536477,-12.7811203,-0.0010744,0.0000000,-1.2152194,-0.5336897,5.0000000,-0.1256741,1.0003675,1.5007087,-0.9417053,3.5740414
9,-12,-2.572330251150472,22.176527767536477,-12.7809677,-0.0014050,0.0000000,-0.9515659,-0.2439719,4.0000000,0.6556570,1.0004179,1.6408643,-1.1436008,2.1440160
10,-12,-2.646896651150471,22.169071127536480,-12.7795706,0.0038843,38.8429756,-0.2272612,-0.4974763,4.0000000,-0.4878860,1.0038625,5.0499973,-0.5070667,1.4669648
11,-12,-2.639440011150471,22.169071127536480,-12.7800140,-0.0052066,0.0000000,-0.2691543,-0.5412368,4.0000000,-0.7823237,1.0031620,4.5496330,-0.3001500,1.7351328
