OID_,ClipsFinal_DEM_Large_S3_RegM,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
29,-12,-3.571520011150472,21.453233687536478,-12.8383350,0.0031405,44.6280975,-0.1116587,-0.2524317,4.0000000,-0.4924441,1.0594645,19.2939892,-0.0124193,0.6400279
30,-12,-3.564063371150472,21.453233687536478,-12.8377037,0.0024793,42.1487617,-0.1058241,-0.2371386,4.0000000,-0.4909952,1.0608076,19.5010509,0.0167180,0.5912170
31,-12,-3.556606731150472,21.453233687536478,-12.8370514,0.0018182,39.6694221,-0.0999246,-0.2175127,4.0000000,-0.4790493,1.0621146,19.6997471,0.0440238,0.5324196
32,-12,-3.549150091150472,21.453233687536478,-12.8363771,0.0011570,37.1900826,-0.0930512,-0.1967513,4.0000000,-0.4616217,1.0633748,19.8881874,0.0681191,0.4710052
33,-12,-3.541693451150472,21.453233687536478,-12.8356819,0.0005785,35.5371895,-0.0864127,-0.1739944,4.0000000,-0.4382240,1.0645646,20.0652332,0.0902352,0.4092627
34,-12,-3.534236811150472,21.453233687536478,-12.8349667,-0.0000826,33.0578499,-0.0798827,-0.1465166,4.0000000,-0.4054511,1.0656741,20.2288666,0.1124180,0.3437218
35,-12,-3.526780171150472,21.453233687536478,-12.8342314,-0.0008264,30.5785122,-0.0726327,-0.1154760,4.0000000,-0.3637547,1.0666955,20.3780918,0.1328028,0.2780681
36,-12,-3.519323531150472,21.453233687536478,-12.8334799,-0.0015702,28.0991745,-0.0645139,-0.0817215,4.0000000,-0.3145486,1.0676172,20.5106354,0.1511056,0.2167339
37,-12,-3.511866891150472,21.453233687536478,-12.8327131,-0.0022314,25.6198349,-0.0552257,-0.0470284,4.0000000,-0.2619575,1.0684258,20.6266708,0.1679008,0.1636102
38,-12,-3.504410251150472,21.453233687536478,-12.8319349,-0.0029752,23.1404953,-0.0449717,-0.0086284,4.0000000,-0.2028270,1.0691156,20.7246952,0.1855702,0.1199887
39,-12,-3.496953611150472,21.453233687536478,-12.8311472,-0.0038017,20.6611576,-0.0335584,0.0287469,4.0000000,-0.1443738,1.0696881,20.8060322,0.2018676,0.0894349
