OID_,ClipsFinal_DEM_Large_S3_RegP,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
73,-13,-4.339553931150472,19.320634647536480,-13.1923189,-0.0031405,19.8347111,-0.6880890,-0.7966650,5.0000000,-1.3467207,1.0708414,20.9666271,-0.2466092,5.4890313
74,-13,-4.332097291150472,19.320634647536480,-13.1902485,-0.0052066,14.8760328,-0.6242939,-0.8297132,4.0000000,-1.2250243,1.0762533,21.7064838,-0.4344020,5.6557589
75,-13,-4.324640651150472,19.320634647536480,-13.1880531,0.0025620,42.1487617,-0.5934601,-0.8539635,4.0000000,-1.0915267,1.0818760,22.4442348,-0.6164002,5.8266234
76,-13,-4.317184011150472,19.320634647536480,-13.1857290,0.0002479,33.8842964,-0.5933369,-0.8687562,4.0000000,-0.9471246,1.0876837,23.1747742,-0.7903878,5.9829264
77,-13,-4.309727371150472,19.320634647536480,-13.1832724,-0.0022314,26.4462814,-0.6178662,-0.8759091,4.0000000,-0.7965307,1.0936809,23.8982716,-0.9552875,6.1248055
78,-13,-4.302270731150472,19.320634647536480,-13.1806793,-0.0049587,19.8347111,-0.6631994,-0.8730501,4.0000000,-0.6409917,1.0998198,24.6115952,-1.1051085,6.2202606
79,-13,-4.294814091150472,19.320634647536480,-13.1779499,0.0023140,42.1487617,-0.7244883,-0.8607572,4.0000000,-0.4835899,1.1060648,25.3093185,-1.2379243,6.2658124
80,-13,-4.287357451150472,19.320634647536480,-13.1750822,-0.0006612,33.0578499,-0.7989779,-0.8363294,4.0000000,-0.3240315,1.1123713,25.9891453,-1.3486273,6.2366018
81,-13,-4.279900811150472,19.320634647536480,-13.1720781,-0.0036364,25.6198349,-0.8784025,-0.8022642,4.0000000,-0.1668476,1.1186544,26.6427517,-1.4376810,6.1458831
82,-13,-4.272444171150472,19.320634647536480,-13.1689396,0.0033058,45.4545441,-0.9579805,-0.7570950,4.0000000,-0.0130362,1.1248490,27.2657738,-1.5011538,5.9840302
83,-13,-4.264987531150472,19.320634647536480,-13.1656713,0.0000826,36.3636360,-1.0340915,-0.7046642,4.0000000,0.1344762,1.1308639,27.8523731,-1.5438046,5.7915668
84,-13,-4.257530891150472,19.320634647536480,-13.1622782,-0.0033058,27.2727280,-1.0991503,-0.6407278,4.0000000,0.2767320,1.1366374,28.3995152,-1.5581876,5.5341845
85,-13,-4.250074251150472,19.320634647536480,-13.1587658,0.0032231,46.2809906,-1.1521871,-0.5701711,4.0000000,0.4110609,1.1420604,28.8998070,-1.5514032,5.2671709
86,-13,-4.242617611150472,19.320634647536480,-13.1551428,-0.0003306,37.1900826,-1.1889141,-0.4914164,4.0000000,0.5375643,1.1470356,29.3464622,-1.5203971,4.9884710
87,-13,-4.235160971150473,19.320634647536480,-13.1514177,-0.0040496,28.0991745,-1.2135085,-0.4070876,4.0000000,0.6562793,1.1514879,29.7397957,-1.4704545,4.7473674
88,-13,-4.227704331150473,19.320634647536480,-13.1476011,0.0023140,42.9752083,-1.2192494,-0.3163660,4.0000000,0.7665343,1.1553373,30.0713081,-1.3992664,4.5361252
89,-13,-4.376837131150472,19.313178007536479,-13.2027969,-0.0024793,15.7024794,-1.1481950,-0.6854215,4.0000000,-1.8796077,1.0455899,16.9841080,0.5087647,5.3585172
90,-13,-4.369380491150472,19.313178007536479,-13.2013140,-0.0039669,11.5702477,-0.9356347,-0.7499167,4.0000000,-1.8455817,1.0499029,17.7399578,0.3457482,5.4174967
91,-13,-4.361923851150472,19.313178007536479,-13.1997366,0.0043802,48.7603302,-0.7427770,-0.8090585,4.0000000,-1.7929744,1.0544790,18.5033035,0.1748573,5.5159702
92,-13,-4.354467211150472,19.313178007536479,-13.1980553,0.0025620,40.4958687,-0.5780677,-0.8607665,4.0000000,-1.7208085,1.0593050,19.2688255,-0.0007245,5.6440377
93,-13,-4.347010571150472,19.313178007536479,-13.1962633,0.0006612,33.0578499,-0.4418366,-0.9068630,4.0000000,-1.6317474,1.0643836,20.0379887,-0.1819786,5.8070788
94,-13,-4.339553931150472,19.313178007536479,-13.1943531,-0.0012397,26.4462814,-0.3445652,-0.9444954,4.0000000,-1.5266666,1.0697225,20.8092651,-0.3623242,5.9953098
95,-13,-4.332097291150472,19.313178007536479,-13.1923180,-0.0032231,20.6611576,-0.2813765,-0.9727847,4.0000000,-1.4054554,1.0753233,21.5819874,-0.5401140,6.1756983
96,-13,-4.324640651150472,19.313178007536479,-13.1901522,-0.0054545,15.7024794,-0.2505555,-0.9927061,4.0000000,-1.2714862,1.0811821,22.3537960,-0.7139260,6.3456211
97,-13,-4.317184011150472,19.313178007536479,-13.1878510,0.0022314,41.3223152,-0.2515308,-1.0033160,4.0000000,-1.1263576,1.0872571,23.1219234,-0.8802744,6.4881806
98,-13,-4.309727371150472,19.313178007536479,-13.1854115,-0.0001653,33.0578499,-0.2826844,-1.0044837,4.0000000,-0.9728795,1.0935444,23.8826561,-1.0360880,6.5961013
99,-13,-4.302270731150472,19.313178007536479,-13.1828299,-0.0028926,25.6198349,-0.3397421,-0.9956834,4.0000000,-0.8148817,1.1000131,24.6331825,-1.1764851,6.6559496
100,-13,-4.294814091150472,19.313178007536479,-13.1801052,-0.0056198,19.0082645,-0.4171866,-0.9761904,4.0000000,-0.6534214,1.1066074,25.3694019,-1.2989595,6.6497493
101,-13,-4.287357451150472,19.313178007536479,-13.1772375,0.0014876,39.6694221,-0.5081134,-0.9459509,4.0000000,-0.4912236,1.1132909,26.0865364,-1.4006782,6.5686579
102,-13,-4.279900811150472,19.313178007536479,-13.1742268,-0.0015702,31.4049587,-0.6052299,-0.9058040,4.0000000,-0.3302352,1.1199732,26.7773476,-1.4813730,6.4143577
103,-13,-4.272444171150472,19.313178007536479,-13.1710777,-0.0046281,23.9669418,-0.7027960,-0.8549902,4.0000000,-0.1716526,1.1265830,27.4377117,-1.5383279,6.1813197
104,-13,-4.264987531150472,19.313178007536479,-13.1677923,0.0021488,42.1487617,-0.7968907,-0.7964590,4.0000000,-0.0191363,1.1330252,28.0592976,-1.5737817,5.9087415
105,-13,-4.257530891150472,19.313178007536479,-13.1643772,-0.0012397,33.0578499,-0.8809176,-0.7287168,4.0000000,0.1277928,1.1392214,28.6400623,-1.5852263,5.5847893
106,-13,-4.250074251150472,19.313178007536479,-13.1608381,-0.0047934,24.7933884,-0.9531330,-0.6545448,4.0000000,0.2668678,1.1450737,29.1722317,-1.5759574,5.2507730
107,-13,-4.242617611150472,19.313178007536479,-13.1571836,0.0016529,42.1487617,-1.0090867,-0.5719219,4.0000000,0.3992685,1.1504714,29.6513405,-1.5431124,4.9007645
