OID_,ClipsFinal_DEM_Large_S3_RegO,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.399207051150471,20.588263447536477,-13.1341143,-0.0011570,42.1487617,-1.6446066,0.2561623,4.0000000,-0.7299322,1.4361922,45.8948174,1.2422568,14.1634083
2,-13,-4.391750411150471,20.588263447536477,-13.1350193,-0.0004132,42.9752083,-1.5700150,0.2274254,4.0000000,-0.7944995,1.4407296,46.0685577,1.2493503,13.8864012
3,-13,-4.384293771150471,20.588263447536477,-13.1357746,0.0002479,43.8016510,-1.4956410,0.2033976,4.0000000,-0.8461025,1.4448562,46.2266006,1.2528976,13.6132765
4,-13,-4.376837131150471,20.588263447536477,-13.1363764,0.0007438,44.6280975,-1.4245236,0.1848108,4.0000000,-0.8846937,1.4486547,46.3701591,1.2543153,13.3353653
5,-13,-4.369380491150471,20.588263447536477,-13.1368189,0.0010744,45.4545441,-1.3551208,0.1711962,4.0000000,-0.9099345,1.4521827,46.5025139,1.2523270,13.0161304
6,-13,-4.361923851150471,20.588263447536477,-13.1371012,0.0013223,45.4545441,-1.2899617,0.1626719,4.0000000,-0.9234298,1.4554828,46.6254807,1.2487736,12.6639614
7,-13,-4.354467211150471,20.588263447536477,-13.1372223,0.0014050,45.4545441,-1.2338972,0.1591195,5.0000000,-0.9277152,1.4585893,46.7407608,1.2459542,12.3217859
8,-13,-4.347010571150471,20.588263447536477,-13.1371813,0.0014050,45.4545441,-1.1826968,0.1594841,4.0000000,-0.9227336,1.4615214,46.8488388,1.2417017,11.9534178
9,-13,-4.339553931150471,20.588263447536477,-13.1369801,0.0012397,45.4545441,-1.1378268,0.1644581,4.0000000,-0.9092972,1.4643034,46.9513664,1.2382133,11.5723677
10,-13,-4.414120331150471,20.580806807536479,-13.1394272,0.0044628,48.7603302,-1.4213512,0.1195466,4.0000000,-0.5906374,1.4378219,45.9591293,0.8297306,12.4907675
11,-13,-4.406663691150471,20.580806807536479,-13.1406841,-0.0043802,38.0165291,-1.3423698,0.0776873,4.0000000,-0.6806592,1.4426953,46.1451302,0.8360339,12.3571186
12,-13,-4.399207051150471,20.580806807536479,-13.1418009,-0.0033884,39.6694221,-1.2602019,0.0418817,4.0000000,-0.7563316,1.4470576,46.3104477,0.8400950,12.2343626
13,-13,-4.391750411150471,20.580806807536479,-13.1427679,-0.0025620,41.3223152,-1.1753458,0.0114873,4.0000000,-0.8174086,1.4509807,46.4589081,0.8403831,12.0781450
