OID_,ClipsFinal_DEM_Large_S3_RegF1,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-6.397586571150471,21.505430167536478,-12.7769985,0.0019008,37.1900826,-0.3292556,0.0926902,4.0000000,0.5223933,1.1227621,27.0550976,-0.3370128,1.1773125
2,-12,-6.390129931150471,21.505430167536478,-12.7797594,0.0045455,45.4545441,-0.3113265,0.0581407,4.0000000,0.4349207,1.1229960,27.0776081,-0.3186392,1.0573553
3,-12,-6.382673291150471,21.505430167536478,-12.7824974,-0.0027273,29.7520657,-0.2919467,0.0267502,4.0000000,0.3515025,1.1229304,27.0703316,-0.2980022,0.9553791
4,-12,-6.375216651150472,21.505430167536478,-12.7852087,0.0000000,37.1900826,-0.2698483,-0.0005618,5.0000000,0.2740886,1.1226168,27.0391827,-0.2752122,0.8637207
5,-12,-6.367760011150471,21.505430167536478,-12.7878914,0.0026446,44.6280975,-0.2464456,-0.0248743,4.0000000,0.2019524,1.1220963,26.9864349,-0.2517009,0.7816688
6,-12,-6.360303371150472,21.505430167536478,-12.7905436,-0.0047107,23.1404953,-0.2218999,-0.0474333,4.0000000,0.1341134,1.1213896,26.9154453,-0.2289800,0.7066100
7,-12,-6.352846731150472,21.505430167536478,-12.7931633,-0.0020661,29.7520657,-0.1955178,-0.0660056,4.0000000,0.0732953,1.1205468,26.8286896,-0.2053064,0.6327844
8,-12,-6.419956491150471,21.497973527536480,-12.7711477,-0.0037190,23.1404953,-0.3687354,0.1595563,4.0000000,0.7259735,1.1235753,27.1364193,-0.4068609,1.5039903
9,-12,-6.412499851150471,21.497973527536480,-12.7739906,-0.0009091,29.7520657,-0.3517210,0.1137998,4.0000000,0.6289405,1.1246347,27.2414474,-0.4013409,1.3224746
10,-12,-6.405043211150471,21.497973527536480,-12.7768192,0.0019008,37.1900826,-0.3350125,0.0708462,4.0000000,0.5335459,1.1252886,27.3067417,-0.3918535,1.1769154
11,-12,-6.397586571150471,21.497973527536480,-12.7796297,0.0045455,45.4545441,-0.3136330,0.0337375,4.0000000,0.4414828,1.1256001,27.3362083,-0.3740079,1.0508847
12,-12,-6.390129931150471,21.497973527536480,-12.7824173,-0.0027273,29.7520657,-0.2912996,0.0010440,4.0000000,0.3538547,1.1255897,27.3357677,-0.3517667,0.9473946
13,-12,-6.382673291150471,21.497973527536480,-12.7851782,0.0000000,37.1900826,-0.2675072,-0.0271573,4.0000000,0.2707913,1.1252890,27.3047867,-0.3251058,0.8585896
14,-12,-6.375216651150472,21.497973527536480,-12.7879095,0.0027273,45.4545441,-0.2434126,-0.0526081,5.0000000,0.1929885,1.1247395,27.2503242,-0.2982047,0.7830518
15,-12,-6.367760011150471,21.497973527536480,-12.7906084,-0.0046281,23.1404953,-0.2190944,-0.0745137,4.0000000,0.1221352,1.1239831,27.1749783,-0.2711625,0.7168511
16,-12,-6.360303371150472,21.497973527536480,-12.7932739,-0.0019835,29.7520657,-0.1946292,-0.0935317,4.0000000,0.0562808,1.1230508,27.0806236,-0.2433443,0.6568573
17,-12,-6.352846731150472,21.497973527536480,-12.7959042,0.0006612,37.1900826,-0.1700865,-0.1078935,4.0000000,-0.0015589,1.1219727,26.9726810,-0.2142282,0.5980495
18,-12,-6.345390091150472,21.497973527536480,-12.7984991,0.0032231,44.6280975,-0.1447744,-0.1204839,4.0000000,-0.0543236,1.1207887,26.8535423,-0.1866442,0.5386540
19,-12,-6.337933451150472,21.497973527536480,-12.8010588,-0.0042149,23.1404953,-0.1205815,-0.1305393,4.0000000,-0.1010233,1.1195477,26.7268219,-0.1600553,0.4819910
20,-12,-6.330476811150472,21.497973527536480,-12.8035841,-0.0016529,29.7520657,-0.0972570,-0.1390556,4.0000000,-0.1404805,1.1182586,26.5938148,-0.1376307,0.4270070
21,-12,-6.434869771150471,21.490516887536479,-12.7679300,0.0032231,42.9752083,-0.3983841,0.2069325,4.0000000,0.8496170,1.1239731,27.1759472,-0.4357521,1.7861660
22,-12,-6.427413131150471,21.490516887536479,-12.7708263,-0.0039669,23.1404953,-0.3807303,0.1522885,4.0000000,0.7480966,1.1256235,27.3389626,-0.4435196,1.5455174
23,-12,-6.419956491150471,21.490516887536479,-12.7737160,-0.0010744,29.7520657,-0.3603331,0.1019069,4.0000000,0.6477885,1.1268471,27.4593372,-0.4439747,1.3446493
