OID_,ClipsFinal_DEM_Large_S3_RegL1,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.833312651150471,19.969362327536480,-12.9513750,-0.0033058,14.0495872,-0.0096900,-0.0846261,4.0000000,0.0444584,1.0435652,16.6257401,-0.2137107,0.0527463
2,-12,-2.825856011150471,19.969362327536480,-12.9511738,-0.0035537,13.2231407,-0.0073848,-0.1111615,4.0000000,0.0232792,1.0434552,16.6035118,-0.2456022,0.0703373
3,-12,-2.818399371150471,19.969362327536480,-12.9509735,-0.0038843,12.3966942,-0.0049736,-0.1381635,4.0000000,0.0016118,1.0432829,16.5715408,-0.2779388,0.0948190
4,-12,-2.810942731150471,19.969362327536480,-12.9507723,-0.0041322,11.5702477,-0.0036945,-0.1620937,4.0000000,-0.0157437,1.0430484,16.5294533,-0.3084437,0.1240820
5,-12,-2.803486091150471,19.969362327536480,-12.9505692,-0.0044628,9.9173555,-0.0026077,-0.1856229,4.0000000,-0.0322574,1.0427605,16.4758892,-0.3389884,0.1583336
6,-12,-2.796029451150471,19.969362327536480,-12.9503622,-0.0047934,8.2644625,-0.0028379,-0.2063232,4.0000000,-0.0443856,1.0424242,16.4125347,-0.3682607,0.1952239
7,-12,-2.848225931150471,19.961905687536483,-12.9539995,-0.0008264,24.7933884,-0.0182801,-0.1006259,4.0000000,0.0660708,1.0431683,16.5510426,-0.2673225,0.0848635
8,-12,-2.840769291150471,19.961905687536483,-12.9537907,-0.0009917,23.9669418,-0.0137492,-0.1279112,4.0000000,0.0455922,1.0431150,16.5395699,-0.3014145,0.1015579
9,-12,-2.833312651150471,19.961905687536483,-12.9535847,-0.0011570,23.1404953,-0.0081145,-0.1573896,4.0000000,0.0212832,1.0429908,16.5182571,-0.3360625,0.1257312
10,-12,-2.825856011150471,19.961905687536483,-12.9533806,-0.0013223,22.3140488,-0.0039594,-0.1833469,4.0000000,0.0018602,1.0428103,16.4852028,-0.3685539,0.1554768
11,-12,-2.818399371150471,19.961905687536483,-12.9531746,-0.0015702,21.4876041,0.0009613,-0.2101960,4.0000000,-0.0193212,1.0425823,16.4418526,-0.4010708,0.1913897
12,-12,-2.810942731150471,19.961905687536483,-12.9529667,-0.0017355,20.6611576,0.0040914,-0.2351639,4.0000000,-0.0359218,1.0423020,16.3890514,-0.4344060,0.2338693
13,-12,-2.803486091150471,19.961905687536483,-12.9527540,-0.0019835,19.0082645,0.0069026,-0.2585802,4.0000000,-0.0512096,1.0419687,16.3272114,-0.4659509,0.2790858
14,-12,-2.796029451150471,19.961905687536483,-12.9525375,-0.0022314,17.3553715,0.0071529,-0.2785357,4.0000000,-0.0604043,1.0415884,16.2551670,-0.4966671,0.3261056
15,-12,-2.788572811150471,19.961905687536483,-12.9523144,-0.0024793,15.7024794,0.0069319,-0.2967468,4.0000000,-0.0671970,1.0411659,16.1749191,-0.5262966,0.3728832
16,-12,-2.781116171150471,19.961905687536483,-12.9520845,-0.0026446,14.8760328,0.0048388,-0.3116824,4.0000000,-0.0686783,1.0407083,16.0872135,-0.5546864,0.4172971
17,-12,-2.773659531150471,19.961905687536483,-12.9518471,-0.0028099,14.0495872,-0.0011868,-0.3212920,4.0000000,-0.0628319,1.0402164,15.9933472,-0.5797520,0.4568223
18,-12,-2.863139211150471,19.954449047536482,-12.9566259,0.0013223,35.5371895,-0.0292294,-0.1151700,4.0000000,0.0812755,1.0424999,16.4255714,-0.3116154,0.1232464
19,-12,-2.855682571150471,19.954449047536482,-12.9564085,0.0011570,34.7107430,-0.0238165,-0.1424217,4.0000000,0.0647864,1.0424991,16.4259014,-0.3496297,0.1410078
20,-12,-2.848225931150471,19.954449047536482,-12.9561958,0.0009917,33.8842964,-0.0168015,-0.1715819,4.0000000,0.0433938,1.0424411,16.4157829,-0.3865576,0.1648783
21,-12,-2.840769291150471,19.954449047536482,-12.9559860,0.0008264,33.0578499,-0.0103320,-0.1994050,4.0000000,0.0233387,1.0423325,16.3948517,-0.4221488,0.1954674
22,-12,-2.833312651150471,19.954449047536482,-12.9557762,0.0006612,32.2314034,-0.0028180,-0.2280862,4.0000000,0.0007987,1.0421623,16.3617496,-0.4569711,0.2326113
23,-12,-2.825856011150471,19.954449047536482,-12.9555655,0.0004959,31.4049587,0.0037936,-0.2552704,4.0000000,-0.0189936,1.0419312,16.3195915,-0.4915470,0.2758608
