OID_,ClipsFinal_DEM_Large_S3_RegS2,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
29,-12,-2.907879051150471,21.773869207536482,-12.7942457,-0.0009091,0.0000000,-0.1182029,-0.4260457,4.0000000,-0.9697818,1.0063310,6.4244394,0.1176904,0.9990764
30,-12,-2.900422411150471,21.773869207536482,-12.7947264,-0.0005785,0.0000000,-0.1441850,-0.4360082,4.0000000,-1.0110428,1.0056645,6.0775290,0.1390266,1.0843267
31,-12,-2.892965771150471,21.773869207536482,-12.7951689,-0.0003306,0.0000000,-0.1709709,-0.4407049,4.0000000,-1.0430292,1.0050148,5.7151780,0.1616194,1.1522019
32,-12,-2.885509131150471,21.773869207536482,-12.7955713,-0.0001653,0.0000000,-0.1991618,-0.4378956,4.0000000,-1.0624630,1.0043876,5.3459697,0.1866718,1.1955825
33,-12,-2.878052491150471,21.773869207536482,-12.7959328,-0.0000826,0.0000000,-0.2254689,-0.4299623,4.0000000,-1.0705373,1.0037992,4.9750533,0.2106127,1.2169956
34,-12,-2.400827531150471,21.773869207536482,-12.7604618,-0.0047107,0.0000000,-0.3160686,-0.1437999,4.0000000,0.2081929,1.0203336,11.4550619,-0.4957926,0.7661827
35,-12,-2.393370891150471,21.773869207536482,-12.7589588,0.0041322,43.8016510,-0.2884680,-0.1442233,4.0000000,0.1907879,1.0213803,11.7420292,-0.4792344,0.7097708
36,-12,-2.385914251150471,21.773869207536482,-12.7574205,0.0026446,34.7107430,-0.2606630,-0.1408082,4.0000000,0.1749106,1.0224122,12.0196390,-0.4565270,0.6479640
37,-12,-2.378457611150471,21.773869207536482,-12.7558479,0.0008264,25.6198349,-0.2341896,-0.1331324,4.0000000,0.1622818,1.0234238,12.2812786,-0.4285466,0.5838534
38,-12,-2.371000971150471,21.773869207536482,-12.7542419,-0.0009917,16.5289249,-0.2099707,-0.1250045,4.0000000,0.1511893,1.0244035,12.5322485,-0.4011983,0.5241975
39,-12,-2.363544331150471,21.773869207536482,-12.7526064,-0.0028099,7.4380164,-0.1866355,-0.1121649,4.0000000,0.1430630,1.0253412,12.7664547,-0.3673929,0.4620806
40,-12,-2.356087691150471,21.773869207536482,-12.7509413,-0.0042975,1.6528926,-0.1629346,-0.0948268,4.0000000,0.1361631,1.0262246,12.9827414,-0.3258168,0.3964766
41,-12,-2.348631051150471,21.773869207536482,-12.7492504,0.0042975,46.2809906,-0.1403902,-0.0735058,4.0000000,0.1314625,1.0270246,13.1765347,-0.2784741,0.3330202
42,-12,-2.341174411150471,21.773869207536482,-12.7475367,0.0027273,37.1900826,-0.1197935,-0.0519558,4.0000000,0.1264493,1.0277457,13.3461866,-0.2303610,0.2772120
43,-12,-2.333717771150471,21.773869207536482,-12.7458029,0.0009091,28.0991745,-0.1008452,-0.0276062,4.0000000,0.1229627,1.0283834,13.4966278,-0.1781751,0.2280475
44,-12,-2.326261131150471,21.773869207536482,-12.7440519,-0.0009091,19.0082645,-0.0830670,-0.0011433,4.0000000,0.1200730,1.0289171,13.6201487,-0.1223595,0.1862375
45,-12,-2.945162251150471,21.766412567536481,-12.7921324,-0.0026446,0.0000000,-0.0421939,-0.3066161,4.0000000,-0.6747704,1.0090643,7.6858683,0.0615381,0.4858930
46,-12,-2.937705611150471,21.766412567536481,-12.7927494,-0.0020661,0.0000000,-0.0535746,-0.3326629,4.0000000,-0.7351946,1.0084985,7.4419303,0.0698688,0.5781840
47,-12,-2.930248971150471,21.766412567536481,-12.7933388,-0.0015702,0.0000000,-0.0697627,-0.3564190,4.0000000,-0.7952815,1.0078976,7.1744094,0.0824435,0.6785820
48,-12,-2.922792331150471,21.766412567536481,-12.7938986,-0.0011570,0.0000000,-0.0907185,-0.3771586,4.0000000,-0.8534901,1.0072684,6.8845830,0.0991730,0.7832565
49,-12,-2.915335691150471,21.766412567536481,-12.7944250,-0.0008264,0.0000000,-0.1140547,-0.3960989,4.0000000,-0.9093020,1.0066184,6.5693173,0.1171043,0.8896076
50,-12,-2.907879051150471,21.766412567536481,-12.7949152,-0.0004959,0.0000000,-0.1407202,-0.4081281,4.0000000,-0.9558010,1.0059664,6.2378850,0.1395448,0.9814368
51,-12,-2.900422411150471,21.766412567536481,-12.7953672,-0.0002479,0.0000000,-0.1689671,-0.4151497,4.0000000,-0.9942288,1.0053252,5.8906169,0.1639296,1.0597779
52,-12,-2.892965771150471,21.766412567536481,-12.7957802,-0.0000826,0.0000000,-0.1978370,-0.4163879,4.0000000,-1.0227765,1.0047003,5.5350366,0.1900006,1.1194091
53,-12,-2.885509131150471,21.766412567536481,-12.7961512,0.0000000,0.0000000,-0.2249637,-0.4120557,4.0000000,-1.0395989,1.0041050,5.1726475,0.2154876,1.1562873
54,-12,-2.878052491150471,21.766412567536481,-12.7964811,0.0000000,0.0000000,-0.2497119,-0.4033201,4.0000000,-1.0454550,1.0035542,4.8107963,0.2388149,1.1738876
55,-12,-2.870595851150471,21.766412567536481,-12.7967710,0.0000000,0.0000000,-0.2740647,-0.3882082,4.0000000,-1.0379497,1.0030452,4.4500494,0.2615333,1.1711236
56,-12,-2.863139211150471,21.766412567536481,-12.7970200,0.0000000,0.0000000,-0.2920122,-0.3684013,4.0000000,-1.0141228,1.0025806,4.0965343,0.2773204,1.1434258
57,-12,-2.408284171150471,21.766412567536481,-12.7622023,-0.0035537,0.8264463,-0.3175016,-0.1623947,4.0000000,0.1925947,1.0189458,11.0639896,-0.5173841,0.7891027
58,-12,-2.400827531150471,21.766412567536481,-12.7607536,-0.0045455,0.0000000,-0.2899744,-0.1658716,4.0000000,0.1723105,1.0199944,11.3615713,-0.5040537,0.7374710
59,-12,-2.393370891150471,21.766412567536481,-12.7592678,0.0043802,45.4545441,-0.2622523,-0.1669573,4.0000000,0.1548227,1.0210514,11.6536255,-0.4887372,0.6817777
60,-12,-2.385914251150471,21.766412567536481,-12.7577448,0.0029752,36.3636360,-0.2360639,-0.1644486,4.0000000,0.1392017,1.0221019,11.9358158,-0.4680989,0.6240368
61,-12,-2.378457611150471,21.766412567536481,-12.7561865,0.0012397,27.2727280,-0.2101132,-0.1585903,4.0000000,0.1249035,1.0231209,12.2037497,-0.4420840,0.5619239
