OID_,ClipsFinal_DEM_Large_S3_RegL2,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-3.288167691150471,19.059652247536480,-13.0037746,-0.0014050,8.2644625,-2.5499451,-0.3070340,3.0000000,-1.6651742,1.0223320,12.0000000,1.0511062,6.0677323
2,-13,-3.280711051150471,19.059652247536480,-13.0048542,-0.0004959,11.5702477,-2.5740979,-0.3875616,3.0000000,-1.7527283,1.0193800,11.1889009,0.9776052,6.2986207
3,-13,-3.273254411150471,19.059652247536480,-13.0058556,0.0004132,15.7024794,-2.5487702,-0.4567470,3.0000000,-1.8230364,1.0165553,10.3491611,0.9095425,6.4241047
4,-13,-3.295624331150471,19.052195607536479,-13.0038414,-0.0013223,9.9173555,-2.3471515,-0.3532925,4.0000000,-1.8037908,1.0243503,12.5229130,1.0972058,5.8330779
5,-13,-3.288167691150471,19.052195607536479,-13.0049133,-0.0004132,13.2231407,-2.4019496,-0.4252134,4.0000000,-1.8982970,1.0213245,11.7314806,1.0478702,6.1338038
6,-13,-3.280711051150471,19.052195607536479,-13.0059109,0.0004959,17.3553715,-2.4190052,-0.4930585,4.0000000,-1.9811289,1.0183954,10.9029617,0.9950119,6.3681507
7,-13,-3.273254411150471,19.052195607536479,-13.0068321,0.0014050,22.3140488,-2.3886697,-0.5496076,4.0000000,-2.0431161,1.0156158,10.0504284,0.9439008,6.4781871
8,-13,-3.265797771150471,19.052195607536479,-13.0076704,0.0023140,28.0991745,-2.3239033,-0.6001053,4.0000000,-2.0932043,1.0130192,9.1829004,0.8929936,6.5098696
9,-13,-3.258341131150471,19.052195607536479,-13.0084248,0.0031405,33.8842964,-2.2282825,-0.6375750,4.0000000,-2.1246154,1.0106466,8.3054733,0.8494655,6.4292169
10,-13,-3.250884491150471,19.052195607536479,-13.0090923,0.0039669,40.4958687,-2.1092861,-0.6662235,4.0000000,-2.1434114,1.0085182,7.4297752,0.8109642,6.2690177
11,-13,-3.243427851150471,19.052195607536479,-13.0096722,0.0047934,47.9338837,-1.9696840,-0.6831843,4.0000000,-2.1466806,1.0066552,6.5653038,0.7803118,6.0156641
12,-13,-3.235971211150471,19.052195607536479,-13.0101652,-0.0044628,0.0000000,-1.8186016,-0.6897450,4.0000000,-2.1362858,1.0050614,5.7196770,0.7567957,5.6928158
13,-13,-3.228514571150471,19.052195607536479,-13.0105715,-0.0037190,0.0000000,-1.6652871,-0.6850725,4.0000000,-2.1092212,1.0037316,4.9057918,0.7390761,5.3140945
