OID_,ClipsFinal_DEM_Large_S3_RegF3,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-5.726488971150472,21.080401687536479,-13.0201101,-0.0050413,0.0000000,-0.5340453,-0.0958268,4.0000000,-0.8185241,1.0157192,10.0941658,0.6268705,1.1857107
2,-13,-5.719032331150471,21.080401687536479,-13.0203123,-0.0048760,0.0000000,-0.5423838,-0.0916126,4.0000000,-0.8307299,1.0153847,9.9859419,0.6475046,1.1980968
3,-13,-5.711575691150472,21.080401687536479,-13.0204668,-0.0047934,0.0000000,-0.5459566,-0.0847176,4.0000000,-0.8284068,1.0150571,9.8798208,0.6589715,1.1981642
4,-13,-5.704119051150471,21.080401687536479,-13.0205736,-0.0047107,0.0000000,-0.5446812,-0.0743826,4.0000000,-0.8122529,1.0147477,9.7785549,0.6634879,1.1858165
5,-13,-5.741402251150472,21.072945047536479,-13.0208960,-0.0044628,0.0000000,-0.5208793,-0.1278571,4.0000000,-0.7936938,1.0172035,10.5559835,0.5379795,1.1983999
6,-13,-5.733945611150471,21.072945047536479,-13.0211906,-0.0042975,0.0000000,-0.5310838,-0.1230171,4.0000000,-0.8276809,1.0168724,10.4543266,0.5816468,1.2134759
7,-13,-5.726488971150472,21.072945047536479,-13.0214357,-0.0041322,0.0000000,-0.5396531,-0.1165178,4.0000000,-0.8470600,1.0165340,10.3499308,0.6140244,1.2230545
8,-13,-5.719032331150471,21.072945047536479,-13.0216312,-0.0039669,0.0000000,-0.5476367,-0.1075916,4.0000000,-0.8529805,1.0161984,10.2454872,0.6377974,1.2290105
9,-13,-5.711575691150472,21.072945047536479,-13.0217772,-0.0038843,0.0000000,-0.5487639,-0.0955440,4.0000000,-0.8423103,1.0158778,10.1424465,0.6512222,1.2179629
10,-13,-5.704119051150471,21.072945047536479,-13.0218744,-0.0038017,0.0000000,-0.5457624,-0.0807545,4.0000000,-0.8192720,1.0155771,10.0469532,0.6577631,1.1972800
11,-13,-5.756315531150472,21.065488407536481,-13.0215206,-0.0038843,1.6528926,-0.5048419,-0.1747523,4.0000000,-0.7350885,1.0186281,10.9792261,0.3855840,1.2347307
12,-13,-5.748858891150471,21.065488407536481,-13.0219193,-0.0035537,2.4793389,-0.5079988,-0.1704058,4.0000000,-0.7903015,1.0183234,10.8904886,0.4494900,1.2346258
13,-13,-5.741402251150472,21.065488407536481,-13.0222645,-0.0032231,3.3057852,-0.5146534,-0.1637000,4.0000000,-0.8324747,1.0180026,10.7955179,0.5050747,1.2380929
14,-13,-5.733945611150471,21.065488407536481,-13.0225573,-0.0029752,4.1322312,-0.5240012,-0.1560346,4.0000000,-0.8626014,1.0176750,10.6980991,0.5505322,1.2458885
15,-13,-5.726488971150472,21.065488407536481,-13.0227976,-0.0027273,4.9586778,-0.5320607,-0.1438919,4.0000000,-0.8747051,1.0173464,10.5971823,0.5869212,1.2448514
16,-13,-5.719032331150471,21.065488407536481,-13.0229855,-0.0024793,5.7851238,-0.5394256,-0.1309801,4.0000000,-0.8749199,1.0170187,10.4980736,0.6129597,1.2424071
17,-13,-5.711575691150472,21.065488407536481,-13.0231237,-0.0023140,6.6115704,-0.5391514,-0.1130686,4.0000000,-0.8557258,1.0167061,10.4028568,0.6295887,1.2194185
18,-13,-5.704119051150471,21.065488407536481,-13.0232115,-0.0022314,6.6115704,-0.5345790,-0.0940802,4.0000000,-0.8261247,1.0164202,10.3132706,0.6379643,1.1891217
19,-13,-5.696662411150472,21.065488407536481,-13.0232525,-0.0021488,6.6115704,-0.5220400,-0.0706900,5.0000000,-0.7820607,1.0161638,10.2322836,0.6406807,1.1419793
20,-13,-5.853251851150471,21.058031767536480,-13.0126400,-0.0023967,8.2644625,-0.8803512,-0.2411956,5.0000000,0.4561642,1.0226971,12.0928774,-0.9385553,2.1487699
21,-13,-5.845795211150472,21.058031767536480,-13.0137625,-0.0013223,11.5702477,-0.8527692,-0.2467724,4.0000000,0.3670321,1.0223849,12.0110493,-0.8605770,2.1011982
