OID_,ClipsFinal_DEM_Large_S3_RegS1,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.631983371150471,22.176527767536477,-12.7795343,0.0033058,33.0578499,-0.3186504,-0.0951382,4.0000000,-0.0692085,1.0010803,2.6621244,-0.1210679,0.6763999
2,-12,-2.624526731150472,22.176527767536477,-12.7797680,0.0038843,38.8429756,-0.3209206,-0.1177996,4.0000000,-0.2143175,1.0009149,2.4488707,-0.0212818,0.6999850
3,-12,-2.617070091150472,22.176527767536477,-12.7799625,0.0044628,44.6280975,-0.3203179,-0.1368304,4.0000000,-0.3683835,1.0007639,2.2360451,0.0947227,0.7179032
4,-12,-2.609613451150472,22.176527767536477,-12.7801170,-0.0050413,0.0000000,-0.3207110,-0.1534514,4.0000000,-0.5216072,1.0006326,2.0345924,0.2147043,0.7377554
5,-12,-2.602156811150472,22.176527767536477,-12.7802305,-0.0046281,0.0000000,-0.3223981,-0.1686346,4.0000000,-0.6671422,1.0005230,1.8469627,0.3298730,0.7604756
6,-12,-2.594700171150472,22.176527767536477,-12.7803030,-0.0043802,0.0000000,-0.3247760,-0.1801745,4.0000000,-0.7665319,1.0004374,1.6878228,0.4061829,0.7811251
7,-12,-2.587243531150472,22.176527767536477,-12.7803326,-0.0043802,0.0000000,-0.3250959,-0.1873330,5.0000000,-0.7701713,1.0003783,1.5672449,0.3955054,0.7920780
8,-12,-2.579786891150472,22.176527767536477,-12.7803202,-0.0045455,0.0000000,-0.3299249,-0.1954877,4.0000000,-0.6511087,1.0003468,1.4981886,0.2601333,0.8140681
9,-12,-2.572330251150472,22.176527767536477,-12.7802658,-0.0048760,0.0000000,-0.3342318,-0.1990026,4.0000000,-0.4044740,1.0003450,1.4935766,0.0064688,0.8281077
10,-12,-2.646896651150471,22.169071127536480,-12.7792072,0.0028099,28.0991745,-0.3224476,-0.0620314,4.0000000,0.0867553,1.0015759,3.2159050,-0.2108181,0.6643456
11,-12,-2.639440011150471,22.169071127536480,-12.7795143,0.0034711,34.7107430,-0.3244866,-0.0882814,4.0000000,-0.0373257,1.0013809,3.0104551,-0.1392371,0.6838652
12,-12,-2.631983371150471,22.169071127536480,-12.7797852,0.0041322,41.3223152,-0.3271631,-0.1140870,4.0000000,-0.1713365,1.0011941,2.7979856,-0.0568375,0.7098309
13,-12,-2.624526731150472,22.169071127536480,-12.7800169,-0.0052066,0.0000000,-0.3293883,-0.1382213,4.0000000,-0.3186226,1.0010169,2.5812836,0.0421799,0.7383922
14,-12,-2.617070091150472,22.169071127536480,-12.7802076,-0.0046281,0.0000000,-0.3280287,-0.1570179,4.0000000,-0.4684115,1.0008562,2.3680623,0.1543756,0.7575951
15,-12,-2.609613451150472,22.169071127536480,-12.7803564,-0.0041322,0.0000000,-0.3274727,-0.1736510,4.0000000,-0.6127372,1.0007186,2.1683054,0.2654353,0.7782279
16,-12,-2.602156811150472,22.169071127536480,-12.7804642,-0.0037190,0.0000000,-0.3295581,-0.1883591,4.0000000,-0.7382283,1.0006049,1.9862370,0.3615100,0.8034605
17,-12,-2.594700171150472,22.169071127536480,-12.7805271,-0.0034711,0.0000000,-0.3322102,-0.2018729,4.0000000,-0.8115116,1.0005169,1.8349258,0.4077659,0.8296369
18,-12,-2.587243531150472,22.169071127536480,-12.7805471,-0.0034711,0.0000000,-0.3323638,-0.2088040,5.0000000,-0.7818424,1.0004581,1.7260679,0.3642345,0.8410843
19,-12,-2.579786891150472,22.169071127536480,-12.7805223,-0.0036364,0.0000000,-0.3356594,-0.2159966,4.0000000,-0.6386535,1.0004294,1.6695321,0.2066603,0.8597060
20,-12,-2.572330251150472,22.169071127536480,-12.7804546,-0.0039669,0.0000000,-0.3404303,-0.2207524,4.0000000,-0.3941526,1.0004330,1.6745772,-0.0473522,0.8774159
21,-12,-2.564873611150472,22.169071127536480,-12.7803421,-0.0045455,0.0000000,-0.3469632,-0.2240456,4.0000000,-0.1106463,1.0004686,1.7432665,-0.3374449,0.8962762
22,-12,-2.654353291150471,22.161614487536479,-12.7791405,0.0028926,28.9256191,-0.3242891,-0.0549921,4.0000000,0.1092628,1.0019381,3.5656495,-0.2192471,0.6656746
23,-12,-2.646896651150471,22.161614487536479,-12.7794847,0.0035537,35.5371895,-0.3280413,-0.0836402,4.0000000,-0.0086766,1.0017232,3.3635643,-0.1586038,0.6887125
24,-12,-2.639440011150471,22.161614487536479,-12.7797928,0.0042975,42.9752083,-0.3293461,-0.1106221,5.0000000,-0.1372551,1.0015131,3.1502802,-0.0839890,0.7119708
25,-12,-2.631983371150471,22.161614487536479,-12.7800617,-0.0049587,0.0000000,-0.3316117,-0.1352100,4.0000000,-0.2726601,1.0013114,2.9324315,0.0022400,0.7404159
26,-12,-2.624526731150472,22.161614487536479,-12.7802906,-0.0042975,0.0000000,-0.3345165,-0.1593537,4.0000000,-0.4180052,1.0011233,2.7148705,0.0992978,0.7744492
27,-12,-2.617070091150472,22.161614487536479,-12.7804766,-0.0037190,0.0000000,-0.3335562,-0.1786542,4.0000000,-0.5618460,1.0009549,2.5000606,0.2045375,0.7983391
28,-12,-2.609613451150472,22.161614487536479,-12.7806196,-0.0032231,0.0000000,-0.3328044,-0.1948134,4.0000000,-0.6940848,1.0008106,2.3024621,0.3044579,0.8206941
29,-12,-2.602156811150472,22.161614487536479,-12.7807188,-0.0028099,0.0000000,-0.3330443,-0.2095400,4.0000000,-0.7969678,1.0006920,2.1262245,0.3778878,0.8447194
30,-12,-2.594700171150472,22.161614487536479,-12.7807732,-0.0025620,0.0000000,-0.3352065,-0.2235617,4.0000000,-0.8428271,1.0006026,1.9821419,0.3957037,0.8730837
31,-12,-2.587243531150472,22.161614487536479,-12.7807817,-0.0025620,0.0000000,-0.3356645,-0.2317356,5.0000000,-0.7869878,1.0005453,1.8832915,0.3235166,0.8886096
32,-12,-2.579786891150472,22.161614487536479,-12.7807446,-0.0027273,0.0000000,-0.3380726,-0.2387013,4.0000000,-0.6258457,1.0005201,1.8394555,0.1484431,0.9063065
33,-12,-2.572330251150472,22.161614487536479,-12.7806625,-0.0030579,0.0000000,-0.3436305,-0.2434752,4.0000000,-0.3815212,1.0005292,1.8543071,-0.1054293,0.9264618
