OID_,DEM_Large_S3_RegL2,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
30,-12,-3.332907531150471,19.044738967536482,-12.9993877,0.0034711,47.9338837,3.8123519,4.0889592,4.0000000,0.7096765,1.2128083,35.2034264,7.4682422,91.9029312
31,-13,-3.310537611150471,19.044738967536482,-13.0037832,-0.0014876,33.8842964,-38.4202690,-0.8240657,4.0000000,-5.2514009,1.1949906,31.6676769,3.6032693,164.7909546
32,-13,-3.303080971150471,19.044738967536482,-13.0051517,0.0003306,40.4958687,-49.6078568,-3.1982737,4.0000000,-6.0496697,1.1397327,25.6748524,-0.3468779,225.1683807
33,-13,-3.295624331150471,19.044738967536482,-13.0064402,0.0019008,47.1074371,-89.1537857,-1.6772697,4.0000000,-4.9130626,1.0972611,23.3351955,1.5585231,272.4649353
34,-13,-3.288167691150471,19.044738967536482,-13.0076332,0.0033058,53.7190094,-62.9479828,-2.6415532,4.0000000,-8.6169996,1.0619020,20.6427307,3.3338928,212.5030518
35,-13,-3.280711051150471,19.044738967536482,-13.0087166,-0.0053719,0.0000000,22.3867645,-7.1155534,4.0000000,-12.0909805,1.0521957,19.7908916,-2.1401267,224.7288971
36,-13,-3.273254411150471,19.044738967536482,-13.0096827,-0.0042975,0.0000000,64.3740692,-10.2011185,5.0000000,-15.4457111,1.0328654,12.6285610,-4.9565263,329.0052185
37,-13,-3.265797771150471,19.044738967536482,-13.0105257,-0.0032231,0.0000000,39.1231384,-7.3992181,4.0000000,-11.3494177,1.0304856,11.5956326,-3.4490182,158.2164917
38,-13,-3.258341131150471,19.044738967536482,-13.0112448,-0.0022314,0.0000000,8.7504644,-3.0988903,4.0000000,-3.0541704,1.0414511,12.5589952,-3.1436102,23.0339317
39,-13,-3.250884491150471,19.044738967536482,-13.0118380,-0.0014050,0.0000000,6.8121305,-3.6111436,5.0000000,-2.0119996,1.0368184,11.8467417,-5.2102876,40.9501724
40,-13,-3.243427851150471,19.044738967536482,-13.0123072,-0.0009091,0.0000000,-15.5240726,-2.8566992,3.0000000,0.7021813,1.0193540,10.3527670,-6.4155798,66.6112213
41,-13,-3.235971211150471,19.044738967536482,-13.0126572,-0.0004959,0.0000000,-21.6385403,-2.1569810,3.0000000,1.2955626,1.0078261,7.5329146,-5.6095243,63.5411873
42,-13,-3.228514571150471,19.044738967536482,-13.0128946,-0.0002479,0.0000000,-3.7588186,-2.8941634,4.0000000,-3.9304614,1.0082312,5.6682706,-1.8578651,41.9554596
43,-13,-3.221057931150471,19.044738967536482,-13.0130301,-0.0001653,0.0000000,2.1050422,-3.3139980,7.0000000,-2.9560785,1.0065731,4.0136018,-3.6719174,40.0890503
44,-13,-3.213601291150471,19.044738967536482,-13.0130749,-0.0001653,0.0000000,-8.5643301,-4.0339246,5.0000000,0.3962820,1.0044370,4.4009752,-8.4641314,82.7698288
45,-13,-3.206144651150471,19.044738967536482,-13.0130396,-0.0002479,0.0000000,-38.1371078,-2.6331730,5.0000000,-0.9536688,1.0074602,5.4086456,-4.3126774,105.7217789
46,-13,-3.198688011150471,19.044738967536482,-13.0129356,-0.0002479,0.0000000,-22.9874172,-1.7973106,4.0000000,-2.3333185,1.0195510,9.8395452,-1.2613025,62.6173058
47,-13,-3.191231371150471,19.044738967536482,-13.0127697,-0.0002479,0.0000000,10.2207804,3.2522292,4.0000000,3.1061087,1.0301398,12.1641874,3.3983498,23.8749695
48,-13,-3.183774731150470,19.044738967536482,-13.0125475,-0.0002479,0.0000000,25.2336845,6.2564850,2.0000000,8.4879560,1.0184498,8.7645016,4.0250134,112.6118698
49,-13,-3.176318091150470,19.044738967536482,-13.0122709,-0.0002479,0.0000000,43.7649536,7.8973646,3.0000000,12.1229868,1.0023638,2.3107123,3.6717422,162.6894379
50,-12,-3.452213771150471,19.037282327536481,-12.9784498,0.0046281,42.1487617,-18.4209785,1.1387771,4.0000000,2.8156877,1.2936056,39.6911812,-0.5381334,135.1119385
51,-12,-3.444757131150471,19.037282327536481,-12.9800243,-0.0037190,28.0991745,-10.5662069,-0.4885994,4.0000000,-0.8357124,1.3529415,41.5631828,-0.1414865,72.1956940
52,-12,-3.437300491150471,19.037282327536481,-12.9815807,-0.0021488,32.2314034,-4.3252029,-0.3984350,4.0000000,-0.5660069,1.3464578,42.5611572,-0.2308630,32.3835144
53,-12,-3.429843851150471,19.037282327536481,-12.9831152,-0.0007438,37.1900826,-7.4207106,-0.0022386,4.0000000,-2.7259777,1.2755613,39.5677528,2.7215004,47.8870468
54,-12,-3.422387211150471,19.037282327536481,-12.9846258,0.0006612,42.1487617,-13.6960363,1.2951519,4.0000000,-2.5461440,1.2330806,34.9680328,5.1364479,63.4354591
55,-12,-3.414930571150471,19.037282327536481,-12.9861097,0.0019008,45.4545441,6.6914725,4.9495330,3.0000000,0.7906269,1.2014527,32.2074509,9.1084394,119.5762558
56,-12,-3.407473931150471,19.037282327536481,-12.9875698,0.0033058,47.9338837,-14.3996754,3.6490090,4.0000000,-0.6901062,1.2063624,32.2287407,7.9881244,125.1811981
57,-12,-3.400017291150471,19.037282327536481,-12.9890079,0.0045455,50.4132233,6.5355406,3.3033290,4.0000000,1.7099946,1.2428367,34.8094521,4.8966637,53.1999168
58,-12,-3.392560651150471,19.037282327536481,-12.9904299,-0.0042975,32.2314034,-0.1122380,0.4350876,4.0000000,0.0223426,1.2873565,36.1118736,0.8478325,1.7191229
59,-12,-3.385104011150471,19.037282327536481,-12.9918413,-0.0032231,34.7107430,-8.2035141,1.7634357,5.0000000,3.9688609,1.2890453,37.9448013,-0.4419894,99.1558304
60,-12,-3.377647371150471,19.037282327536481,-12.9932508,-0.0020661,37.1900826,-1.9385905,-0.1018289,3.0000000,1.1492068,1.2580847,38.0327301,-1.3528645,10.4752264
61,-12,-3.370190731150471,19.037282327536481,-12.9946632,-0.0008264,39.6694221,-5.4228206,-0.5488986,3.0000000,1.5683515,1.2871815,40.1322823,-2.6661487,31.7409096
62,-12,-3.362734091150471,19.037282327536481,-12.9960823,0.0005785,42.1487617,-0.8339005,-2.6037362,4.0000000,-2.8744943,1.3407595,39.7233658,-2.3329782,92.2023544
63,-12,-3.355277451150471,19.037282327536481,-12.9975052,0.0021488,45.4545441,-0.5815395,-0.7161901,4.0000000,-1.3645256,1.3056201,40.6773071,-0.0678546,13.8695126
64,-12,-3.347820811150471,19.037282327536481,-12.9989290,0.0036364,48.7603302,-13.8007221,-0.7210134,4.0000000,-0.4404046,1.2271825,36.2505722,-1.0016222,69.5936127
65,-13,-3.340364171150471,19.037282327536481,-13.0003462,-0.0048760,23.9669418,-26.6845398,-1.5509456,4.0000000,0.4587613,1.1813300,32.0974083,-3.5606525,115.5154495
66,-13,-3.332907531150471,19.037282327536481,-13.0017490,-0.0033884,28.0991745,-11.0150919,-3.9422159,4.0000000,-2.3035238,1.1596929,30.1162109,-5.5809083,139.5664673
67,-13,-3.325450891150471,19.037282327536481,-13.0031290,-0.0019008,32.2314034,-6.0381308,-4.7135487,4.0000000,-3.4088140,1.1678655,27.9089489,-6.0182834,157.8670502
68,-13,-3.317994251150471,19.037282327536481,-13.0044727,-0.0004132,37.1900826,2.3930676,-5.7298584,4.0000000,-6.9084263,1.1384698,26.1876698,-4.5512905,206.7311707
69,-13,-3.310537611150471,19.037282327536481,-13.0057669,0.0011570,42.9752083,-83.9141617,-4.6680074,4.0000000,-7.9249544,1.0752950,20.9194965,-1.4110602,346.6714478
70,-13,-3.303080971150471,19.037282327536481,-13.0069952,0.0028099,49.5867767,-117.4569473,-1.7198398,4.0000000,-4.8905134,1.0518521,14.8046207,1.4508340,284.1761475
71,-13,-3.295624331150471,19.037282327536481,-13.0081415,0.0042149,56.1983490,-65.9012985,2.6593642,3.0000000,-5.4582891,1.0482533,15.0637989,10.7770176,177.5843506
72,-13,-3.288167691150471,19.037282327536481,-13.0091906,-0.0044628,8.2644625,-28.6257229,0.8353946,4.0000000,-3.9318368,1.0494852,16.7315235,5.6026258,69.9533386
73,-13,-3.280711051150471,19.037282327536481,-13.0101337,-0.0033884,8.2644625,-23.2813835,-3.1388295,4.0000000,-3.9762352,1.0466210,16.8476410,-2.3014240,103.6602402
74,-13,-3.273254411150471,19.037282327536481,-13.0109606,-0.0025620,7.4380164,-9.5494461,-5.1079292,4.0000000,-8.1931353,1.0295053,11.1887083,-2.0227234,135.9821777
75,-13,-3.265797771150471,19.037282327536481,-13.0116701,-0.0017355,6.6115704,12.9584694,-4.9889073,4.0000000,-7.8922019,1.0172586,6.9029665,-2.0856130,76.6895447
76,-13,-3.258341131150471,19.037282327536481,-13.0122604,-0.0009917,5.7851238,4.9543505,-2.9184132,5.0000000,-4.2939191,1.0078859,5.6528473,-1.5429072,24.7962170
77,-13,-3.250884491150471,19.037282327536481,-13.0127316,-0.0004132,4.9586778,9.6787586,-4.3214931,4.0000000,-3.2985857,1.0030628,4.0831327,-5.3444009,55.8188972
78,-13,-3.243427851150471,19.037282327536481,-13.0130873,-0.0000826,4.1322312,-10.0784302,-3.4228756,4.0000000,1.0300953,1.0035933,2.8013947,-7.8758464,67.1961823
79,-13,-3.235971211150471,19.037282327536481,-13.0133314,0.0001653,3.3057852,-29.0845337,-1.3370118,4.0000000,-1.0111903,1.0025377,2.2551994,-1.6628335,65.5195236
80,-13,-3.228514571150471,19.037282327536481,-13.0134706,0.0002479,2.4793389,-10.1809549,-1.5491244,3.0000000,-5.0915689,1.0014716,2.1306906,1.9933200,30.0745335
81,-13,-3.221057931150471,19.037282327536481,-13.0135155,0.0001653,1.6528926,11.3944550,-3.5854549,7.0000000,-2.6269813,1.0021883,1.2629323,-4.5439286,28.6541958
82,-13,-3.213601291150471,19.037282327536481,-13.0134783,0.0000000,0.8264463,9.2939415,-4.8553972,3.0000000,-1.1555818,1.0039777,4.3921099,-8.5552130,76.1812210
83,-13,-3.206144651150471,19.037282327536481,-13.0133696,-0.0002479,0.0000000,-28.3932247,-2.1199572,3.0000000,2.8213687,1.0166053,8.2583685,-7.0612831,77.0487671
