OID_,DEM_Large_S3_RegL1,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.833312651150471,19.969362327536480,-12.9515781,0.0065289,54.5454559,68.3107147,8.3696394,3.0000000,7.6651530,1.0364766,12.1493092,9.0741262,156.1877441
2,-12,-2.825856011150471,19.969362327536480,-12.9514694,0.0064463,54.5454559,39.9912643,6.7716374,3.0000000,4.4175944,1.0362695,13.0039291,9.1256800,111.2417755
3,-12,-2.818399371150471,19.969362327536480,-12.9513636,-0.0035537,22.3140488,7.6355462,3.7022259,4.0000000,1.4107823,1.0442989,14.1717863,5.9936695,42.4668655
4,-12,-2.810942731150471,19.969362327536480,-12.9512539,-0.0036364,21.4876041,-13.3567247,-0.9329149,4.0000000,-3.9284573,1.0629652,14.7429943,2.0626276,35.4281082
5,-12,-2.803486091150471,19.969362327536480,-12.9511366,-0.0035537,20.6611576,-12.4569588,-2.5039742,4.0000000,-3.9570236,1.0641814,15.6661587,-1.0509248,59.5061188
6,-12,-2.796029451150471,19.969362327536480,-12.9510059,-0.0033884,19.8347111,17.2778549,-4.6365242,5.0000000,-5.5471926,1.0399348,14.6894617,-3.7258563,60.1416130
7,-12,-2.848225931150471,19.961905687536483,-12.9542494,-0.0005785,33.8842964,15.9712791,5.5846519,4.0000000,2.1796823,1.1363908,28.0466633,8.9896212,125.7473068
8,-12,-2.840769291150471,19.961905687536483,-12.9541235,-0.0007438,33.0578499,26.2358837,6.8119607,4.0000000,2.3232567,1.1378088,28.9770565,11.3006649,178.9745331
9,-12,-2.833312651150471,19.961905687536483,-12.9540071,-0.0008264,32.2314034,50.8867989,8.4758177,4.0000000,4.3284936,1.1503747,28.1377182,12.6231413,257.1764221
10,-12,-2.825856011150471,19.961905687536483,-12.9538946,-0.0009091,31.4049587,24.9511566,7.5200539,3.0000000,2.4679081,1.1518400,26.0040970,12.5721998,225.8525696
11,-12,-2.818399371150471,19.961905687536483,-12.9537830,-0.0009917,31.4049587,21.3542213,6.8277001,4.0000000,1.9175981,1.1133368,23.2726498,11.7378025,172.6229248
12,-12,-2.810942731150471,19.961905687536483,-12.9536657,-0.0010744,30.5785122,-33.8420639,4.3930750,4.0000000,-2.6711392,1.0753289,19.4781799,11.4572887,166.0501709
13,-12,-2.803486091150471,19.961905687536483,-12.9535389,-0.0010744,29.7520657,-19.3120899,3.7696638,4.0000000,-1.6022462,1.0488516,15.4425774,9.1415739,103.9549103
14,-12,-2.796029451150471,19.961905687536483,-12.9533958,-0.0009091,28.9256191,-19.9374142,1.9015503,4.0000000,-2.9508064,1.0259742,11.0596371,6.7539067,57.1189575
15,-12,-2.788572811150471,19.961905687536483,-12.9532328,-0.0008264,28.0991745,-13.9299784,0.4785239,5.0000000,-3.0361526,1.0307088,10.8696547,3.9932003,30.6928558
16,-12,-2.781116171150471,19.961905687536483,-12.9530449,-0.0007438,28.0991745,-6.8652177,0.6625669,3.0000000,-1.4821512,1.0426406,13.2941952,2.8072851,16.9360600
17,-12,-2.773659531150471,19.961905687536483,-12.9528284,-0.0010744,27.2727280,-0.9315421,-0.6032999,4.0000000,0.2856674,1.0440797,14.5177279,-1.4922671,3.6258876
18,-12,-2.863139211150471,19.954449047536482,-12.9569416,0.0022314,44.6280975,-10.7577362,-2.3927829,3.0000000,-3.3547373,1.0485222,18.8015232,-1.4308287,56.6703911
19,-12,-2.855682571150471,19.954449047536482,-12.9567938,0.0019835,43.8016510,-41.7241325,-0.8348525,4.0000000,-1.4933834,1.0820496,22.3745251,-0.1763216,118.4496307
