OID_,RegN,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
29,-13,-4.563253131150471,20.118495127536480,-13.2490749,0.0038017,38.0165291,-0.5678207,-0.0519605,4.0000000,-0.7849641,1.0055121,5.9969287,0.6810432,1.1736593
30,-13,-4.555796491150471,20.118495127536480,-13.2498522,0.0047107,47.1074371,-0.5358628,-0.0784723,4.0000000,-0.7469513,1.0058149,6.1636338,0.5900066,1.1246310
31,-13,-4.548339851150471,20.118495127536480,-13.2506552,-0.0043802,0.0000000,-0.4389530,-0.1463166,4.0000000,-0.6924323,1.0060352,6.2855959,0.3997991,0.9910581
32,-13,-4.540883211150471,20.118495127536480,-13.2514734,-0.0034711,0.0000000,-0.2913117,-0.2442946,4.0000000,-0.6287990,1.0061135,6.3286901,0.1402097,0.8464122
33,-13,-4.533426571150471,20.118495127536480,-13.2522955,-0.0025620,0.0000000,-0.1126500,-0.3623791,4.0000000,-0.5693429,1.0060108,6.2783136,-0.1554153,0.7725774
34,-13,-4.525969931150471,20.118495127536480,-13.2531052,-0.0016529,0.0000000,0.0794817,-0.4935138,4.0000000,-0.5223818,1.0057077,6.1223106,-0.4646457,0.8348274
35,-13,-4.518513291150471,20.118495127536480,-13.2538881,-0.0007438,0.0000000,0.2806498,-0.6377493,5.0000000,-0.4931165,1.0052066,5.8493910,-0.7823820,1.0841961
36,-13,-4.511056651150471,20.118495127536480,-13.2546272,-0.0001653,0.0000000,0.4839919,-0.7944455,5.0000000,-0.4815188,1.0045179,5.4531398,-1.1073723,1.5759661
37,-13,-4.503600011150471,20.118495127536480,-13.2553053,0.0000000,0.0000000,0.6875772,-0.9644566,4.0000000,-0.4848281,1.0036740,4.9174919,-1.4440850,2.3666203
38,-13,-4.496143371150471,20.118495127536480,-13.2559042,0.0000000,0.0000000,0.8833575,-1.1376007,4.0000000,-0.4967158,1.0027281,4.2324224,-1.7784855,3.4312260
39,-13,-4.488686731150471,20.118495127536480,-13.2564030,0.0000000,0.0000000,1.0587624,-1.2981533,4.0000000,-0.5103986,1.0017736,3.3994858,-2.0859079,4.6414862
40,-13,-4.481230091150471,20.118495127536480,-13.2567844,0.0000000,0.0000000,1.1918445,-1.4257752,5.0000000,-0.5173477,1.0009357,2.4358368,-2.3342025,5.7590790
41,-13,-4.473773451150471,20.118495127536480,-13.2570333,0.0000000,0.0000000,1.2561240,-1.5036463,5.0000000,-0.5092297,1.0003334,1.3759211,-2.4980626,6.5356455
42,-13,-4.466316811150471,20.118495127536480,-13.2571402,0.0000000,0.0000000,1.2276573,-1.5159670,8.0000000,-0.4830346,1.0000601,0.2632391,-2.5488994,6.7374620
43,-13,-4.458860171150471,20.118495127536480,-13.2571020,0.0000000,0.0000000,1.0890374,-1.4640819,5.0000000,-0.4375788,1.0001498,0.8420544,-2.4905849,6.3975325
44,-13,-4.451403531150471,20.118495127536480,-13.2569237,0.0000000,0.0000000,0.8410186,-1.3614042,5.0000000,-0.3742640,1.0005785,1.8965544,-2.3485444,5.7383232
45,-13,-4.443946891150471,20.118495127536480,-13.2566118,0.0000000,0.0000000,0.4811815,-1.2129186,4.0000000,-0.3053606,1.0012847,2.8869884,-2.1204767,4.9361658
46,-13,-4.436490251150471,20.118495127536480,-13.2561769,0.0000000,0.0000000,0.0077205,-1.0150974,4.0000000,-0.2452940,1.0021746,3.7794566,-1.7849008,4.1284680
