OID_,RegF2,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
30,-13,-5.055391371150471,18.604797207536482,-13.2525311,-0.0020661,18.1818180,-0.3983170,-0.0416918,4.0000000,-0.5123857,1.0448040,16.8502560,0.4290021,0.9680536
31,-13,-5.047934731150471,18.604797207536482,-13.2524691,-0.0021488,18.1818180,-0.3890539,-0.0157086,4.0000000,-0.5186109,1.0458416,17.0378456,0.4871937,0.9381425
32,-13,-5.040478091150471,18.604797207536482,-13.2523756,-0.0022314,18.1818180,-0.3841588,0.0080492,4.0000000,-0.5288382,1.0468084,17.2102680,0.5449366,0.9241360
33,-13,-5.033021451150471,18.604797207536482,-13.2522497,-0.0023967,18.1818180,-0.3802991,0.0355361,4.0000000,-0.5306781,1.0476922,17.3652992,0.6017503,0.9170353
34,-13,-5.025564811150471,18.604797207536482,-13.2520914,-0.0025620,18.1818180,-0.3740144,0.0652244,4.0000000,-0.5222148,1.0484787,17.5025101,0.6526636,0.9109777
35,-13,-5.018108171150471,18.604797207536482,-13.2519026,-0.0027273,18.1818180,-0.3712974,0.0935478,4.0000000,-0.5119846,1.0491638,17.6203728,0.6990802,0.9201688
36,-13,-5.010651531150471,18.604797207536482,-13.2516832,-0.0028926,18.1818180,-0.3740354,0.1147430,4.0000000,-0.5056894,1.0497479,17.7207909,0.7351755,0.9434964
37,-13,-5.003194891150471,18.604797207536482,-13.2514324,-0.0032231,17.3553715,-0.3849704,0.1266461,4.0000000,-0.5062214,1.0502253,17.8012466,0.7595136,0.9814950
38,-13,-4.995738251150471,18.604797207536482,-13.2511511,-0.0035537,16.5289249,-0.4083840,0.1247182,4.0000000,-0.5199362,1.0506018,17.8628712,0.7693727,1.0374022
39,-13,-4.988281611150471,18.604797207536482,-13.2508373,-0.0038843,15.7024794,-0.4546810,0.1018195,4.0000000,-0.5612521,1.0508884,17.9092693,0.7648910,1.1324542
40,-13,-4.980824971150471,18.604797207536482,-13.2504883,-0.0042149,14.8760328,-0.5137410,0.0610312,4.0000000,-0.6212476,1.0511227,17.9483280,0.7433100,1.2579876
41,-13,-4.973368331150471,18.604797207536482,-13.2500973,-0.0047107,13.2231407,-0.5678391,0.0118901,4.0000000,-0.6813096,1.0513470,17.9838619,0.7050899,1.3901696
42,-13,-4.965911691150471,18.604797207536482,-13.2496586,0.0047107,47.9338837,-0.5961260,-0.0320556,4.0000000,-0.7153652,1.0515616,18.0191383,0.6512540,1.4795262
43,-13,-4.958455051150471,18.604797207536482,-13.2491684,0.0041322,46.2809906,-0.5976344,-0.0688308,4.0000000,-0.7216963,1.0517622,18.0524654,0.5840347,1.5135258
44,-13,-4.950998411150471,18.604797207536482,-13.2486248,0.0035537,43.8016510,-0.5809865,-0.0988661,4.0000000,-0.7058652,1.0519472,18.0829659,0.5081331,1.5054196
45,-13,-4.943541771150471,18.604797207536482,-13.2480268,0.0028926,41.3223152,-0.5580505,-0.1293276,4.0000000,-0.6822597,1.0521169,18.1106548,0.4236045,1.4893852
46,-13,-4.936085131150471,18.604797207536482,-13.2473726,0.0022314,38.8429756,-0.5268642,-0.1536576,4.0000000,-0.6428790,1.0522718,18.1366329,0.3355638,1.4487659
47,-13,-4.928628491150471,18.604797207536482,-13.2466631,0.0014876,35.5371895,-0.4890520,-0.1675283,4.0000000,-0.5821286,1.0523968,18.1572857,0.2470720,1.3749697
48,-13,-4.921171851150472,18.604797207536482,-13.2458992,0.0008264,33.0578499,-0.4481846,-0.1653170,4.0000000,-0.4967947,1.0524658,18.1686745,0.1661607,1.2633009
49,-13,-4.913715211150471,18.604797207536482,-13.2450838,0.0000000,29.7520657,-0.4148515,-0.1508013,4.0000000,-0.3945940,1.0524479,18.1679459,0.0929915,1.1491826
50,-13,-4.906258571150472,18.604797207536482,-13.2442207,-0.0008264,26.4462814,-0.3896702,-0.1219157,4.0000000,-0.2748761,1.0523121,18.1459045,0.0310446,1.0385025
51,-13,-4.898801931150471,18.604797207536482,-13.2433157,-0.0017355,22.3140488,-0.3790210,-0.0856908,4.0000000,-0.1529703,1.0520247,18.0987167,-0.0184113,0.9676346
52,-13,-4.891345291150472,18.604797207536482,-13.2423754,-0.0026446,19.0082645,-0.3818623,-0.0444961,4.0000000,-0.0353606,1.0515822,18.0234852,-0.0536316,0.9435021
53,-13,-4.883888651150472,18.604797207536482,-13.2414036,-0.0034711,15.7024794,-0.3958483,-0.0070836,4.0000000,0.0640994,1.0509964,17.9248161,-0.0782666,0.9661000
54,-13,-4.876432011150472,18.604797207536482,-13.2404060,-0.0044628,12.3966942,-0.4194356,0.0290845,4.0000000,0.1507796,1.0502877,17.8045979,-0.0926105,1.0268316
55,-13,-4.868975371150472,18.604797207536482,-13.2393856,0.0046281,47.1074371,-0.4451257,0.0681384,4.0000000,0.2307510,1.0494965,17.6694088,-0.0944742,1.1081859
56,-13,-4.861518731150472,18.604797207536482,-13.2383432,0.0036364,42.9752083,-0.4620706,0.1141886,4.0000000,0.3111247,1.0486165,17.5165272,-0.0827476,1.1913986
57,-13,-4.854062091150472,18.604797207536482,-13.2372837,0.0024793,38.0165291,-0.4723439,0.1611974,4.0000000,0.3823499,1.0476534,17.3486710,-0.0599550,1.2800918
