OID_,RegQ,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.997358731150471,21.848435607536480,-12.7764988,0.0014876,23.1404953,-0.0759602,0.0367964,4.0000000,0.2089913,1.0183072,10.8898735,-0.1353985,0.1702335
2,-12,-3.004815371150471,21.840978967536479,-12.7768545,0.0019008,25.6198349,-0.0689330,-0.0244716,4.0000000,0.1027088,1.0177423,10.7216043,-0.1516521,0.1500504
3,-12,-2.997358731150471,21.840978967536479,-12.7776690,0.0027273,31.4049587,-0.1005053,-0.0280889,4.0000000,0.1018259,1.0180156,10.8047781,-0.1580038,0.2187732
4,-12,-2.989902091150471,21.840978967536479,-12.7785006,0.0035537,38.0165291,-0.1301752,-0.0461421,4.0000000,0.0749758,1.0183030,10.8902836,-0.1672599,0.2882895
5,-12,-2.982445451150471,21.840978967536479,-12.7793503,0.0043802,44.6280975,-0.1607359,-0.0694279,4.0000000,0.0335828,1.0185926,10.9739876,-0.1724386,0.3657452
6,-12,-3.012272011150471,21.833522327536482,-12.7772045,0.0022314,28.0991745,-0.0488518,-0.0872519,4.0000000,-0.0107307,1.0172133,10.5612907,-0.1637730,0.1362593
7,-12,-3.004815371150471,21.833522327536482,-12.7780046,0.0030579,33.8842964,-0.0866609,-0.0788323,4.0000000,0.0044158,1.0173656,10.6079073,-0.1620803,0.2113736
8,-12,-2.997358731150471,21.833522327536482,-12.7788191,0.0038843,40.4958687,-0.1230393,-0.0851352,4.0000000,-0.0059726,1.0175529,10.6664228,-0.1642978,0.2939422
9,-12,-2.989902091150471,21.833522327536482,-12.7796497,0.0046281,47.1074371,-0.1547063,-0.1056477,4.0000000,-0.0425444,1.0177450,10.7243032,-0.1687511,0.3789250
10,-12,-2.982445451150471,21.833522327536482,-12.7804985,-0.0046281,0.0000000,-0.1854772,-0.1314527,4.0000000,-0.0914139,1.0179282,10.7794590,-0.1714916,0.4717759
11,-12,-2.974988811150471,21.833522327536482,-12.7813644,-0.0038017,0.8264463,-0.2150599,-0.1620032,4.0000000,-0.1559891,1.0180877,10.8273754,-0.1680173,0.5748484
12,-12,-2.967532171150471,21.833522327536482,-12.7822485,-0.0029752,2.4793389,-0.2452512,-0.1930749,4.0000000,-0.2305335,1.0182199,10.8649454,-0.1556164,0.6887875
13,-12,-2.960075531150471,21.833522327536482,-12.7831516,-0.0021488,4.9586778,-0.2696037,-0.2310095,4.0000000,-0.3239796,1.0183003,10.8904715,-0.1380395,0.8128698
14,-12,-3.012272011150471,21.826065687536481,-12.7783346,0.0033884,36.3636360,-0.0603615,-0.1363575,4.0000000,-0.1019417,1.0167682,10.4256229,-0.1707733,0.2078853
15,-12,-3.004815371150471,21.826065687536481,-12.7791328,0.0042149,42.9752083,-0.1044168,-0.1278042,4.0000000,-0.0937590,1.0168403,10.4482412,-0.1618494,0.2925311
16,-12,-2.997358731150471,21.826065687536481,-12.7799444,0.0049587,49.5867767,-0.1438668,-0.1344686,4.0000000,-0.1112815,1.0169402,10.4798126,-0.1576558,0.3846954
17,-12,-2.989902091150471,21.826065687536481,-12.7807703,-0.0043802,0.0000000,-0.1749239,-0.1551659,4.0000000,-0.1530392,1.0170413,10.5112276,-0.1572925,0.4773824
18,-12,-2.982445451150471,21.826065687536481,-12.7816124,-0.0036364,0.8264463,-0.2044089,-0.1804770,4.0000000,-0.2061632,1.0171262,10.5378952,-0.1547908,0.5777788
19,-12,-2.974988811150471,21.826065687536481,-12.7824707,-0.0028099,2.4793389,-0.2307882,-0.2098923,4.0000000,-0.2724978,1.0171928,10.5568857,-0.1472868,0.6848509
20,-12,-2.967532171150471,21.826065687536481,-12.7833462,-0.0019835,4.9586778,-0.2553963,-0.2417742,4.0000000,-0.3498193,1.0172222,10.5653849,-0.1337291,0.8012373
21,-12,-2.960075531150471,21.826065687536481,-12.7842360,-0.0011570,8.2644625,-0.2714731,-0.2803689,4.0000000,-0.4442456,1.0171986,10.5607252,-0.1164922,0.9248671
22,-12,-2.952618891150471,21.826065687536481,-12.7851410,-0.0002479,12.3966942,-0.2704219,-0.3304124,4.0000000,-0.5633165,1.0171111,10.5329542,-0.0975083,1.0576931
23,-12,-2.945162251150471,21.826065687536481,-12.7860584,0.0006612,17.3553715,-0.2325774,-0.4006083,4.0000000,-0.7108178,1.0168974,10.4697075,-0.0903988,1.2021685
24,-12,-3.019728651150471,21.818609047536480,-12.7786570,0.0037190,38.8429756,-0.0277342,-0.1940687,4.0000000,-0.2071588,1.0162486,10.2650681,-0.1809785,0.2202530
25,-12,-3.012272011150471,21.818609047536480,-12.7794418,0.0044628,45.4545441,-0.0718613,-0.1803510,4.0000000,-0.1922597,1.0161958,10.2466955,-0.1684424,0.2923480
26,-12,-3.004815371150471,21.818609047536480,-12.7802343,-0.0047934,0.0000000,-0.1209797,-0.1710180,4.0000000,-0.1880763,1.0161879,10.2447147,-0.1539597,0.3832135
27,-12,-2.997358731150471,21.818609047536480,-12.7810383,-0.0041322,0.0000000,-0.1634797,-0.1747846,4.0000000,-0.2077781,1.0162075,10.2533293,-0.1417912,0.4798599
28,-12,-2.989902091150471,21.818609047536480,-12.7818565,-0.0033884,0.8264463,-0.1923162,-0.1933687,4.0000000,-0.2503421,1.0162302,10.2594013,-0.1363953,0.5713333
29,-12,-2.982445451150471,21.818609047536480,-12.7826891,-0.0026446,2.4793389,-0.2179511,-0.2165900,4.0000000,-0.3045614,1.0162351,10.2603493,-0.1286186,0.6677618
30,-12,-2.974988811150471,21.818609047536480,-12.7835360,-0.0018182,4.9586778,-0.2393701,-0.2418313,4.0000000,-0.3687370,1.0162183,10.2544012,-0.1149257,0.7643812
31,-12,-2.967532171150471,21.818609047536480,-12.7843981,-0.0009917,8.2644625,-0.2562745,-0.2714911,4.0000000,-0.4444542,1.0161626,10.2388382,-0.0985281,0.8674677
32,-12,-2.960075531150471,21.818609047536480,-12.7852726,-0.0001653,12.3966942,-0.2634604,-0.3086273,4.0000000,-0.5384068,1.0160619,10.2065744,-0.0788478,0.9775504
33,-12,-2.952618891150471,21.818609047536480,-12.7861605,0.0007438,17.3553715,-0.2526023,-0.3571119,4.0000000,-0.6527085,1.0158890,10.1520443,-0.0615153,1.0958997
34,-12,-2.945162251150471,21.818609047536480,-12.7870560,0.0016529,23.1404953,-0.2087446,-0.4248948,4.0000000,-0.7943974,1.0155916,10.0625477,-0.0553921,1.2335778
35,-12,-2.937705611150471,21.818609047536480,-12.7879543,0.0025620,29.7520657,-0.1281765,-0.5139232,4.0000000,-0.9598491,1.0151417,9.9170990,-0.0679972,1.4240712
36,-12,-2.930248971150471,21.818609047536480,-12.7888479,0.0034711,37.1900826,-0.0203709,-0.6154547,4.0000000,-1.1361740,1.0144920,9.7032824,-0.0947354,1.6879050
37,-12,-3.019728651150471,21.811152407536479,-12.7797432,0.0047934,47.9338837,-0.0341580,-0.2376456,4.0000000,-0.2897521,1.0156405,10.0722389,-0.1855390,0.3147750
38,-12,-3.012272011150471,21.811152407536479,-12.7805214,-0.0045455,0.0000000,-0.0836606,-0.2198486,4.0000000,-0.2749298,1.0155197,10.0320663,-0.1647675,0.3852211
39,-12,-3.004815371150471,21.811152407536479,-12.7813044,-0.0038843,0.0000000,-0.1356306,-0.2073804,4.0000000,-0.2722262,1.0154409,10.0082865,-0.1425346,0.4731305
40,-12,-2.997358731150471,21.811152407536479,-12.7820988,-0.0031405,0.8264463,-0.1783326,-0.2064023,4.0000000,-0.2899992,1.0153971,9.9939280,-0.1228053,0.5626085
41,-12,-2.989902091150471,21.811152407536479,-12.7829056,-0.0023967,2.4793389,-0.2035948,-0.2200463,4.0000000,-0.3297452,1.0153538,9.9802332,-0.1103473,0.6418501
42,-12,-2.982445451150471,21.811152407536479,-12.7837257,-0.0016529,4.9586778,-0.2250072,-0.2369258,4.0000000,-0.3797356,1.0152948,9.9611311,-0.0941160,0.7212494
43,-12,-2.974988811150471,21.811152407536479,-12.7845583,-0.0008264,8.2644625,-0.2394148,-0.2596816,4.0000000,-0.4413756,1.0152168,9.9359398,-0.0779875,0.8013718
44,-12,-2.967532171150471,21.811152407536479,-12.7854042,0.0000000,12.3966942,-0.2498129,-0.2847413,4.0000000,-0.5129741,1.0151060,9.8991671,-0.0565084,0.8832952
45,-12,-2.960075531150471,21.811152407536479,-12.7862616,0.0008264,17.3553715,-0.2474919,-0.3187826,4.0000000,-0.6016747,1.0149449,9.8468761,-0.0358905,0.9681433
46,-12,-2.952618891150471,21.811152407536479,-12.7871284,0.0017355,23.1404953,-0.2283832,-0.3642599,4.0000000,-0.7086835,1.0147043,9.7706289,-0.0198364,1.0627195
47,-12,-2.945162251150471,21.811152407536479,-12.7880011,0.0026446,29.7520657,-0.1796362,-0.4312727,4.0000000,-0.8447123,1.0143523,9.6556358,-0.0178330,1.1899098
48,-12,-2.937705611150471,21.811152407536479,-12.7888737,0.0035537,37.1900826,-0.1035314,-0.5148567,4.0000000,-0.9982360,1.0138481,9.4856462,-0.0314774,1.3684894
49,-12,-2.930248971150471,21.811152407536479,-12.7897367,0.0044628,45.4545441,-0.0040742,-0.6133618,4.0000000,-1.1644478,1.0131502,9.2469425,-0.0622757,1.6320329
50,-12,-2.922792331150471,21.811152407536479,-12.7905798,-0.0045455,0.0000000,0.0937089,-0.7124357,5.0000000,-1.3283836,1.0122614,8.9302578,-0.0964879,1.9804854
51,-12,-2.915335691150471,21.811152407536479,-12.7913914,-0.0037190,0.0000000,0.1729897,-0.8023276,5.0000000,-1.4804242,1.0112121,8.5388460,-0.1242311,2.3818710
52,-12,-3.027185291150471,21.803695767536482,-12.7800350,-0.0049587,0.0000000,0.0003993,-0.2875619,4.0000000,-0.3732540,1.0151458,9.9142275,-0.2018697,0.3536746
53,-12,-3.019728651150471,21.803695767536482,-12.7808018,-0.0042975,0.0000000,-0.0406256,-0.2738550,4.0000000,-0.3634008,1.0149361,9.8427477,-0.1843092,0.4076994
54,-12,-3.012272011150471,21.803695767536482,-12.7815695,-0.0036364,0.0000000,-0.0934972,-0.2531976,4.0000000,-0.3474825,1.0147589,9.7854147,-0.1589126,0.4732374
55,-12,-3.004815371150471,21.803695767536482,-12.7823410,-0.0028926,0.8264463,-0.1469107,-0.2357406,4.0000000,-0.3411283,1.0146292,9.7430687,-0.1303529,0.5501186
56,-12,-2.997358731150471,21.803695767536482,-12.7831221,-0.0021488,2.4793389,-0.1883139,-0.2293244,4.0000000,-0.3541436,1.0145386,9.7126389,-0.1045052,0.6254461
57,-12,-2.989902091150471,21.803695767536482,-12.7839155,-0.0014050,4.9586778,-0.2100910,-0.2363548,4.0000000,-0.3890515,1.0144496,9.6841002,-0.0836580,0.6861266
58,-12,-2.982445451150471,21.803695767536482,-12.7847204,-0.0006612,8.2644625,-0.2241065,-0.2483464,4.0000000,-0.4330248,1.0143503,9.6495037,-0.0636680,0.7412941
59,-12,-2.974988811150471,21.803695767536482,-12.7855377,0.0001653,12.3966942,-0.2315324,-0.2648049,4.0000000,-0.4872346,1.0142308,9.6096382,-0.0423753,0.7939398
60,-12,-2.967532171150471,21.803695767536482,-12.7863655,0.0009917,17.3553715,-0.2343449,-0.2845422,4.0000000,-0.5518017,1.0140804,9.5592794,-0.0172827,0.8472623
61,-12,-2.960075531150471,21.803695767536482,-12.7872038,0.0018182,23.1404953,-0.2231826,-0.3154514,4.0000000,-0.6348983,1.0138785,9.4918509,0.0039955,0.9041802
62,-12,-2.952618891150471,21.803695767536482,-12.7880487,0.0027273,29.7520657,-0.1992344,-0.3585610,4.0000000,-0.7365798,1.0135970,9.3986502,0.0194578,0.9791129
63,-12,-2.945162251150471,21.803695767536482,-12.7888966,0.0036364,37.1900826,-0.1523257,-0.4206896,4.0000000,-0.8619239,1.0132090,9.2636137,0.0205447,1.0879794
64,-12,-2.937705611150471,21.803695767536482,-12.7897415,0.0045455,45.4545441,-0.0843458,-0.5003774,4.0000000,-1.0051030,1.0126646,9.0750628,0.0043481,1.2577795
65,-12,-2.930248971150471,21.803695767536482,-12.7905731,-0.0045455,0.0000000,-0.0012059,-0.5947644,4.0000000,-1.1612149,1.0119402,8.8144178,-0.0283137,1.5203549
66,-12,-2.922792331150471,21.803695767536482,-12.7913818,-0.0037190,0.0000000,0.0767982,-0.6899038,4.0000000,-1.3154464,1.0110444,8.4771328,-0.0643612,1.8689684
67,-12,-2.915335691150471,21.803695767536482,-12.7921562,-0.0029752,0.0000000,0.1328385,-0.7736071,4.0000000,-1.4559633,1.0100015,8.0647287,-0.0912510,2.2586229
68,-12,-2.907879051150471,21.803695767536482,-12.7928867,-0.0023140,0.0000000,0.1633190,-0.8428696,5.0000000,-1.5799934,1.0088574,7.5879412,-0.1057459,2.6508217
69,-12,-3.034641931150471,21.796239127536481,-12.7803116,-0.0047107,0.0000000,0.0314062,-0.3307394,4.0000000,-0.4451157,1.0147066,9.7706003,-0.2163631,0.4020956
70,-12,-3.027185291150471,21.796239127536481,-12.7810717,-0.0040496,0.0000000,-0.0008339,-0.3228003,4.0000000,-0.4424112,1.0144153,9.6721706,-0.2031894,0.4479183
71,-12,-3.019728651150471,21.796239127536481,-12.7818270,-0.0033884,0.0000000,-0.0469393,-0.3036720,4.0000000,-0.4257058,1.0141572,9.5844498,-0.1816382,0.4940088
72,-12,-3.012272011150471,21.796239127536481,-12.7825823,-0.0027273,0.8264463,-0.1016997,-0.2787397,4.0000000,-0.4054880,1.0139430,9.5124369,-0.1519914,0.5476754
73,-12,-3.004815371150471,21.796239127536481,-12.7833405,-0.0019835,2.4793389,-0.1529679,-0.2562962,4.0000000,-0.3936099,1.0137848,9.4580517,-0.1189826,0.6048272
74,-12,-2.997358731150471,21.796239127536481,-12.7841082,-0.0012397,4.9586778,-0.1912945,-0.2427680,4.0000000,-0.3987503,1.0136636,9.4170923,-0.0867858,0.6572254
75,-12,-2.989902091150471,21.796239127536481,-12.7848854,-0.0004959,8.2644625,-0.2093704,-0.2427187,4.0000000,-0.4254603,1.0135516,9.3785362,-0.0599772,0.6956900
76,-12,-2.982445451150471,21.796239127536481,-12.7856750,0.0002479,12.3966942,-0.2159064,-0.2490857,4.0000000,-0.4613282,1.0134304,9.3370037,-0.0368432,0.7232807
77,-12,-2.974988811150471,21.796239127536481,-12.7864742,0.0010744,17.3553715,-0.2153376,-0.2604077,4.0000000,-0.5081805,1.0132904,9.2892046,-0.0126348,0.7472621
78,-12,-2.967532171150471,21.796239127536481,-12.7872839,0.0019008,23.1404953,-0.2099961,-0.2762290,4.0000000,-0.5654801,1.0131214,9.2304840,0.0130222,0.7729051
79,-12,-2.960075531150471,21.796239127536481,-12.7881012,0.0027273,29.7520657,-0.1932297,-0.3027797,4.0000000,-0.6404669,1.0128993,9.1532173,0.0349075,0.8039535
80,-12,-2.952618891150471,21.796239127536481,-12.7889242,0.0036364,37.1900826,-0.1666945,-0.3420461,4.0000000,-0.7341661,1.0125971,9.0476360,0.0500739,0.8568299
81,-12,-2.945162251150471,21.796239127536481,-12.7897472,0.0045455,45.4545441,-0.1229745,-0.4008569,4.0000000,-0.8508115,1.0121820,8.9004107,0.0490978,0.9513918
82,-12,-2.937705611150471,21.796239127536481,-12.7905645,-0.0045455,0.0000000,-0.0690397,-0.4760574,4.0000000,-0.9848354,1.0116169,8.6945915,0.0327206,1.1177611
83,-12,-2.930248971150471,21.796239127536481,-12.7913647,-0.0037190,0.0000000,-0.0083495,-0.5649905,4.0000000,-1.1306795,1.0108844,8.4173050,0.0006986,1.3800588
84,-12,-2.922792331150471,21.796239127536481,-12.7921391,-0.0029752,0.0000000,0.0401286,-0.6526911,4.0000000,-1.2737455,1.0099883,8.0620947,-0.0316366,1.7234268
85,-12,-2.915335691150471,21.796239127536481,-12.7928753,-0.0023140,0.0000000,0.0667229,-0.7295588,4.0000000,-1.4046680,1.0089549,7.6325774,-0.0544495,2.1045573
86,-12,-2.907879051150471,21.796239127536481,-12.7935648,-0.0017355,0.0000000,0.0695082,-0.7913624,4.0000000,-1.5192404,1.0078417,7.1424551,-0.0634845,2.4782138
87,-12,-2.900422411150471,21.796239127536481,-12.7941990,-0.0012397,0.0000000,0.0536998,-0.8377013,4.0000000,-1.6150085,1.0067037,6.5990205,-0.0603941,2.8081155
88,-12,-2.892965771150471,21.796239127536481,-12.7947731,-0.0008264,0.0000000,0.0235239,-0.8661635,4.0000000,-1.6869534,1.0055838,6.0171657,-0.0453736,3.0522161
89,-12,-3.034641931150471,21.788782487536480,-12.7813282,-0.0038017,0.0000000,0.0300246,-0.3546592,4.0000000,-0.5045161,1.0139636,9.5206079,-0.2048023,0.4747144
90,-12,-3.027185291150471,21.788782487536480,-12.7820759,-0.0031405,0.0000000,-0.0044747,-0.3420382,4.0000000,-0.4944389,1.0136341,9.4056616,-0.1896376,0.5095094
91,-12,-3.019728651150471,21.788782487536480,-12.7828178,-0.0024793,0.8264463,-0.0526204,-0.3179497,4.0000000,-0.4698031,1.0133424,9.3063898,-0.1660962,0.5428348
92,-12,-3.012272011150471,21.788782487536480,-12.7835579,-0.0018182,2.4793389,-0.1063231,-0.2880470,4.0000000,-0.4407210,1.0131124,9.2245064,-0.1353730,0.5785338
93,-12,-3.004815371150471,21.788782487536480,-12.7843027,-0.0010744,4.9586778,-0.1535559,-0.2610856,4.0000000,-0.4219786,1.0129391,9.1629896,-0.1001926,0.6149458
94,-12,-2.997358731150471,21.788782487536480,-12.7850542,-0.0003306,8.2644625,-0.1866930,-0.2418757,4.0000000,-0.4180339,1.0128006,9.1151419,-0.0657174,0.6436952
95,-12,-2.989902091150471,21.788782487536480,-12.7858162,0.0004132,12.3966942,-0.1993073,-0.2354578,4.0000000,-0.4341706,1.0126820,9.0733585,-0.0367450,0.6574432
96,-12,-2.982445451150471,21.788782487536480,-12.7865887,0.0011570,17.3553715,-0.1986701,-0.2363970,4.0000000,-0.4621158,1.0125588,9.0302801,-0.0106782,0.6583008
97,-12,-2.974988811150471,21.788782487536480,-12.7873707,0.0019835,23.1404953,-0.1892962,-0.2435133,4.0000000,-0.5009055,1.0124215,8.9808455,0.0138790,0.6535117
98,-12,-2.967532171150471,21.788782487536480,-12.7881622,0.0028099,29.7520657,-0.1779273,-0.2549005,4.0000000,-0.5500042,1.0122494,8.9185944,0.0402032,0.6542330
99,-12,-2.960075531150471,21.788782487536480,-12.7889595,0.0036364,37.1900826,-0.1575144,-0.2775314,4.0000000,-0.6156756,1.0120220,8.8379545,0.0606127,0.6631388
100,-12,-2.952618891150471,21.788782487536480,-12.7897606,0.0045455,45.4545441,-0.1303263,-0.3150510,4.0000000,-0.7025430,1.0117133,8.7259655,0.0724411,0.7010880
101,-12,-2.945162251150471,21.788782487536480,-12.7905588,-0.0045455,0.0000000,-0.0943081,-0.3716641,3.0000000,-0.8121544,1.0112847,8.5690346,0.0688263,0.7907455
102,-12,-2.937705611150471,21.788782487536480,-12.7913475,-0.0037190,0.0000000,-0.0589150,-0.4422790,4.0000000,-0.9374553,1.0107123,8.3496008,0.0528973,0.9591697
103,-12,-2.930248971150471,21.788782487536480,-12.7921181,-0.0029752,0.0000000,-0.0272745,-0.5251378,4.0000000,-1.0754731,1.0099772,8.0597410,0.0251973,1.2286376
104,-12,-2.922792331150471,21.788782487536480,-12.7928581,-0.0023140,0.0000000,-0.0114428,-0.6057432,4.0000000,-1.2097172,1.0090858,7.6905875,-0.0017692,1.5731109
105,-12,-2.915335691150471,21.788782487536480,-12.7935572,-0.0017355,0.0000000,-0.0166959,-0.6763614,4.0000000,-1.3345538,1.0080748,7.2489934,-0.0181689,1.9537816
106,-12,-2.907879051150471,21.788782487536480,-12.7942057,-0.0012397,0.0000000,-0.0460113,-0.7293779,4.0000000,-1.4421850,1.0070059,6.7498326,-0.0165707,2.3125741
107,-12,-2.900422411150471,21.788782487536480,-12.7947979,-0.0008264,0.0000000,-0.0883875,-0.7670417,4.0000000,-1.5322182,1.0059251,6.2023001,-0.0018652,2.6186903
108,-12,-2.892965771150471,21.788782487536480,-12.7953272,-0.0004959,0.0000000,-0.1424248,-0.7852549,4.0000000,-1.5992817,1.0048739,5.6206961,0.0287718,2.8301530
109,-12,-2.885509131150471,21.788782487536480,-12.7957897,-0.0002479,0.0000000,-0.1970768,-0.7850018,4.0000000,-1.6397649,1.0039004,5.0215263,0.0697614,2.9244263
110,-12,-2.878052491150471,21.788782487536480,-12.7961845,-0.0000826,0.0000000,-0.2457764,-0.7607368,4.0000000,-1.6393043,1.0030347,4.4199538,0.1178308,2.8562346
111,-12,-3.042098571150471,21.781325847536479,-12.7815676,-0.0035537,0.0000000,0.0473044,-0.3703391,4.0000000,-0.5497749,1.0135734,9.3865595,-0.1909032,0.4868408
112,-12,-3.034641931150471,21.781325847536479,-12.7823105,-0.0028099,0.8264463,0.0242133,-0.3649361,4.0000000,-0.5465499,1.0131912,9.2538052,-0.1833223,0.5177800
113,-12,-3.027185291150471,21.781325847536479,-12.7830439,-0.0021488,1.6528926,-0.0107370,-0.3471391,4.0000000,-0.5267720,1.0128335,9.1270018,-0.1675063,0.5366168
114,-12,-3.019728651150471,21.781325847536479,-12.7837706,-0.0014876,3.3057852,-0.0580380,-0.3171128,4.0000000,-0.4920981,1.0125322,9.0183125,-0.1421276,0.5506489
115,-12,-3.012272011150471,21.781325847536479,-12.7844963,-0.0008264,5.7851238,-0.1091764,-0.2800348,4.0000000,-0.4526332,1.0122999,8.9327631,-0.1074364,0.5636670
116,-12,-3.004815371150471,21.781325847536479,-12.7852259,-0.0000826,9.0909090,-0.1487944,-0.2487836,4.0000000,-0.4251353,1.0121238,8.8698997,-0.0724319,0.5765269
117,-12,-2.997358731150471,21.781325847536479,-12.7859621,0.0006612,13.2231407,-0.1747485,-0.2238658,4.0000000,-0.4106665,1.0119898,8.8221951,-0.0370651,0.5810019
118,-12,-2.989902091150471,21.781325847536479,-12.7867079,0.0014050,18.1818180,-0.1802318,-0.2115460,4.0000000,-0.4139537,1.0118831,8.7826662,-0.0091384,0.5698178
119,-12,-2.982445451150471,21.781325847536479,-12.7874641,0.0021488,23.9669418,-0.1725594,-0.2072904,4.0000000,-0.4310730,1.0117788,8.7455559,0.0164923,0.5463569
120,-12,-2.974988811150471,21.781325847536479,-12.7882299,0.0029752,30.5785122,-0.1551547,-0.2130461,4.0000000,-0.4635855,1.0116541,8.6992283,0.0374933,0.5204000
121,-12,-2.967532171150471,21.781325847536479,-12.7890034,0.0038017,38.0165291,-0.1394876,-0.2209268,4.0000000,-0.5040771,1.0114882,8.6386995,0.0622235,0.5024011
122,-12,-2.960075531150471,21.781325847536479,-12.7897816,0.0046281,46.2809906,-0.1193871,-0.2410126,4.0000000,-0.5631240,1.0112680,8.5576496,0.0810989,0.5000575
123,-12,-2.952618891150471,21.781325847536479,-12.7905617,-0.0045455,0.0000000,-0.0960724,-0.2769656,4.0000000,-0.6435632,1.0109646,8.4451656,0.0896320,0.5305823
124,-12,-2.945162251150471,21.781325847536479,-12.7913370,-0.0037190,0.0000000,-0.0726183,-0.3322684,4.0000000,-0.7479966,1.0105381,8.2806187,0.0834598,0.6241773
125,-12,-2.937705611150471,21.781325847536479,-12.7921000,-0.0029752,0.0000000,-0.0602305,-0.3991431,4.0000000,-0.8676825,1.0099629,8.0538559,0.0693963,0.8039533
126,-12,-2.930248971150471,21.781325847536479,-12.7928400,-0.0023140,0.0000000,-0.0602786,-0.4760724,4.0000000,-0.9988769,1.0092322,7.7539682,0.0467321,1.0847281
127,-12,-2.922792331150471,21.781325847536479,-12.7935476,-0.0017355,0.0000000,-0.0789247,-0.5518532,4.0000000,-1.1305461,1.0083544,7.3772941,0.0268396,1.4446764
128,-12,-2.915335691150471,21.781325847536479,-12.7942104,-0.0012397,0.0000000,-0.1187456,-0.6158700,4.0000000,-1.2537928,1.0073727,6.9275565,0.0220528,1.8307538
129,-12,-2.907879051150471,21.781325847536479,-12.7948208,-0.0008264,0.0000000,-0.1777680,-0.6617010,4.0000000,-1.3609605,1.0063483,6.4237738,0.0375584,2.1847427
130,-12,-2.900422411150471,21.781325847536479,-12.7953720,-0.0004959,0.0000000,-0.2447598,-0.6913688,4.0000000,-1.4509007,1.0053173,5.8747993,0.0681631,2.4753156
131,-12,-2.892965771150471,21.781325847536479,-12.7958574,-0.0002479,0.0000000,-0.3130322,-0.7032015,4.0000000,-1.5206124,1.0043308,5.2984958,0.1142094,2.6691380
132,-12,-2.885509131150471,21.781325847536479,-12.7962761,-0.0000826,0.0000000,-0.3772000,-0.6936111,4.0000000,-1.5596730,1.0034332,4.7091222,0.1724507,2.7317920
133,-12,-2.878052491150471,21.781325847536479,-12.7966261,0.0000000,0.0000000,-0.4283168,-0.6592335,4.0000000,-1.5555669,1.0026474,4.1265602,0.2371000,2.6345065
134,-12,-2.870595851150471,21.781325847536479,-12.7969093,0.0000000,0.0000000,-0.4567819,-0.6025850,4.0000000,-1.4993889,1.0019944,3.5738606,0.2942188,2.3929925
135,-12,-3.042098571150471,21.773869207536482,-12.7825317,-0.0026446,0.8264463,0.0359241,-0.3694040,4.0000000,-0.5825084,1.0128295,9.1265526,-0.1562996,0.5073387
136,-12,-3.034641931150471,21.773869207536482,-12.7832594,-0.0019008,2.4793389,0.0127854,-0.3576355,4.0000000,-0.5677966,1.0124279,8.9823008,-0.1474745,0.5185390
137,-12,-3.027185291150471,21.773869207536482,-12.7839766,-0.0012397,4.1322312,-0.0204444,-0.3329641,4.0000000,-0.5343138,1.0120656,8.8493843,-0.1316144,0.5149444
138,-12,-3.019728651150471,21.773869207536482,-12.7846880,-0.0005785,6.6115704,-0.0636974,-0.2960085,4.0000000,-0.4869835,1.0117697,8.7382689,-0.1050335,0.5063296
139,-12,-3.012272011150471,21.773869207536482,-12.7853985,0.0000826,9.9173555,-0.1073841,-0.2541332,4.0000000,-0.4369596,1.0115421,8.6544065,-0.0713069,0.4997878
140,-12,-3.004815371150471,21.773869207536482,-12.7861118,0.0008264,14.0495872,-0.1386775,-0.2169001,4.0000000,-0.3976485,1.0113803,8.5938654,-0.0361517,0.4907931
141,-12,-2.997358731150471,21.773869207536482,-12.7868338,0.0015702,19.0082645,-0.1553640,-0.1884064,4.0000000,-0.3736693,1.0112672,8.5519676,-0.0031434,0.4767241
142,-12,-2.989902091150471,21.773869207536482,-12.7875643,0.0023140,24.7933884,-0.1540779,-0.1708646,4.0000000,-0.3645422,1.0111849,8.5218515,0.0228130,0.4473377
143,-12,-2.982445451150471,21.773869207536482,-12.7883062,0.0030579,31.4049587,-0.1403309,-0.1649760,4.0000000,-0.3745239,1.0111113,8.4946842,0.0445720,0.4103274
144,-12,-2.974988811150471,21.773869207536482,-12.7890568,0.0038843,38.8429756,-0.1189499,-0.1683937,4.0000000,-0.3990151,1.0110108,8.4577169,0.0622276,0.3706237
145,-12,-2.967532171150471,21.773869207536482,-12.7898140,0.0047107,47.1074371,-0.1003986,-0.1770539,4.0000000,-0.4347882,1.0108662,8.4032478,0.0806804,0.3447438
146,-12,-2.960075531150471,21.773869207536482,-12.7905750,-0.0044628,0.0000000,-0.0831798,-0.1962422,4.0000000,-0.4881593,1.0106641,8.3273230,0.0956750,0.3394058
147,-12,-2.952618891150471,21.773869207536482,-12.7913361,-0.0037190,0.0000000,-0.0669501,-0.2327564,3.0000000,-0.5638859,1.0103735,8.2153254,0.0983731,0.3720718
148,-12,-2.945162251150471,21.773869207536482,-12.7920904,-0.0029752,0.0000000,-0.0603561,-0.2873956,3.0000000,-0.6654468,1.0099493,8.0485983,0.0906556,0.4783618
