OID_,RegA,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
30,-13,-5.025564811150471,17.575780887536478,-13.0575733,0.0019008,19.0082645,-0.4890658,0.1559062,4.0000000,0.3442627,1.0047597,5.5670700,-0.0324504,1.0970259
31,-13,-5.018108171150471,17.575780887536478,-13.0582476,0.0028099,28.0991745,-0.4067672,0.1617664,4.0000000,0.3843214,1.0043960,5.3521733,-0.0607886,0.9356835
32,-13,-5.010651531150471,17.575780887536478,-13.0589008,0.0037190,37.1900826,-0.3336536,0.1610908,4.0000000,0.4115264,1.0040878,5.1628871,-0.0893448,0.7850895
33,-13,-5.003194891150471,17.575780887536478,-13.0595350,0.0046281,46.2809906,-0.2742656,0.1528965,4.0000000,0.4236391,1.0038185,4.9940515,-0.1178461,0.6531678
34,-13,-4.995738251150471,17.575780887536478,-13.0601511,-0.0044628,0.0000000,-0.2316893,0.1318155,4.0000000,0.4160512,1.0035832,4.8415136,-0.1524202,0.5416454
35,-13,-4.988281611150471,17.575780887536478,-13.0607500,-0.0035537,0.0000000,-0.2067137,0.0966148,4.0000000,0.3890962,1.0033635,4.6942978,-0.1958666,0.4576387
36,-13,-4.980824971150471,17.575780887536478,-13.0613308,-0.0026446,0.0000000,-0.1914706,0.0489925,4.0000000,0.3430910,1.0031403,4.5381465,-0.2451059,0.3978738
37,-13,-4.973368331150471,17.575780887536478,-13.0618916,-0.0018182,0.0000000,-0.1808389,-0.0125446,4.0000000,0.2797599,1.0029070,4.3715792,-0.3048491,0.3664708
38,-13,-4.965911691150471,17.575780887536478,-13.0624294,-0.0010744,0.0000000,-0.1725647,-0.0921769,4.0000000,0.2006999,1.0026522,4.1788239,-0.3850537,0.3825957
39,-13,-4.958455051150471,17.575780887536478,-13.0629406,-0.0004132,0.0000000,-0.1578531,-0.1853058,4.0000000,0.1088691,1.0023589,3.9424453,-0.4794807,0.4563328
40,-13,-4.950998411150471,17.575780887536478,-13.0634174,0.0000000,0.0000000,-0.1311755,-0.2890457,4.0000000,0.0063977,1.0020285,3.6591728,-0.5844892,0.6000274
41,-13,-4.943541771150471,17.575780887536478,-13.0638552,0.0000000,0.0000000,-0.0883989,-0.3936602,4.0000000,-0.1044133,1.0016654,3.3142326,-0.6829071,0.8004909
42,-13,-5.055391371150471,17.568324247536481,-13.0542889,-0.0009091,0.0000000,-0.6203585,0.0527506,4.0000000,0.0769409,1.0069958,6.7487645,0.0285602,1.2872268
43,-13,-5.047934731150471,17.568324247536481,-13.0550976,-0.0003306,0.8264463,-0.5920261,0.0367446,4.0000000,0.1170267,1.0064110,6.4597645,-0.0435375,1.2203007
44,-13,-5.040478091150471,17.568324247536481,-13.0558777,0.0001653,2.4793389,-0.5457199,0.0285316,4.0000000,0.1611700,1.0058643,6.1789937,-0.1041068,1.1206915
45,-13,-5.033021451150471,17.568324247536481,-13.0566292,0.0006612,6.6115704,-0.4866168,0.0249849,4.0000000,0.2043431,1.0053582,5.9073739,-0.1543733,0.9969338
46,-13,-5.025564811150471,17.568324247536481,-13.0573521,0.0014876,14.8760328,-0.4157083,0.0275772,4.0000000,0.2443245,1.0049002,5.6499023,-0.1891700,0.8511147
47,-13,-5.018108171150471,17.568324247536481,-13.0580473,0.0023967,23.9669418,-0.3419766,0.0319312,4.0000000,0.2762679,1.0045047,5.4201479,-0.2124054,0.7007655
