OID_,RegG,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
30,-13,-4.347010571150472,19.357917847536481,-13.1844511,-0.0003306,28.9256191,-2.3142071,0.3780019,4.0000000,-0.3087472,1.0737351,21.3651981,1.0647509,6.7326226
31,-13,-4.339553931150472,19.357917847536481,-13.1824999,-0.0022314,23.1404953,-2.4872603,0.2485290,4.0000000,-0.2257808,1.0772064,21.8295422,0.7228388,6.9454188
32,-13,-4.332097291150472,19.357917847536481,-13.1804628,-0.0042975,18.1818180,-2.6918514,0.1171802,4.0000000,-0.1344498,1.0808660,22.3069687,0.3688102,7.4010153
33,-13,-4.324640651150472,19.357917847536481,-13.1783247,0.0034711,45.4545441,-2.9077587,-0.0114785,4.0000000,-0.0311438,1.0847659,22.8011513,0.0081867,8.0535736
34,-13,-4.317184011150472,19.357917847536481,-13.1760740,0.0011570,37.1900826,-3.1034493,-0.1311158,4.0000000,0.0864698,1.0889530,23.3183212,-0.3487014,8.7995348
35,-13,-4.309727371150472,19.357917847536481,-13.1736994,-0.0012397,29.7520657,-3.2750447,-0.2403321,4.0000000,0.2164759,1.0934792,23.8603134,-0.6971402,9.5933962
36,-13,-4.302270731150472,19.357917847536481,-13.1711912,-0.0038017,23.1404953,-3.3999517,-0.3324057,4.0000000,0.3568293,1.0983407,24.4268875,-1.0216408,10.3163204
37,-13,-4.294814091150472,19.357917847536481,-13.1685419,0.0034711,44.6280975,-3.4684203,-0.4014385,4.0000000,0.5097268,1.1035304,25.0152016,-1.3126037,10.8695908
38,-13,-4.287357451150472,19.357917847536481,-13.1657457,0.0005785,35.5371895,-3.4964881,-0.4505161,4.0000000,0.6654981,1.1089271,25.6060085,-1.5665303,11.2625008
39,-13,-4.279900811150472,19.357917847536481,-13.1628027,-0.0024793,27.2727280,-3.5058150,-0.4830453,4.0000000,0.8177106,1.1144699,26.1940479,-1.7838013,11.5487919
40,-13,-4.272444171150472,19.357917847536481,-13.1597118,0.0044628,48.7603302,-3.5077679,-0.5014433,4.0000000,0.9626073,1.1201143,26.7766438,-1.9654939,11.7638378
41,-13,-4.264987531150472,19.357917847536481,-13.1564751,0.0012397,39.6694221,-3.4759169,-0.4948482,4.0000000,1.0999684,1.1257534,27.3414440,-2.0896649,11.7790537
42,-13,-4.257530891150472,19.357917847536481,-13.1530952,-0.0021488,30.5785122,-3.4152057,-0.4638053,4.0000000,1.2254108,1.1312253,27.8745308,-2.1530216,11.6240673
43,-13,-4.250074251150472,19.357917847536481,-13.1495819,0.0042975,47.9338837,-3.3223324,-0.4071611,4.0000000,1.3368047,1.1363597,28.3611679,-2.1511271,11.3145456
44,-13,-4.242617611150472,19.357917847536481,-13.1459427,0.0008264,38.8429756,-3.1824930,-0.3228976,4.0000000,1.4324272,1.1410290,28.7961655,-2.0782223,10.8512583
45,-13,-4.235160971150472,19.357917847536481,-13.1421909,-0.0028099,29.7520657,-3.0041845,-0.2158318,4.0000000,1.5133442,1.1450052,29.1572475,-1.9450078,10.3327599
46,-13,-4.227704331150472,19.357917847536481,-13.1383438,0.0033884,45.4545441,-2.7900248,-0.0918625,4.0000000,1.5800575,1.1481938,29.4416389,-1.7637825,9.8364983
47,-13,-4.220247691150472,19.357917847536481,-13.1344147,-0.0004132,36.3636360,-2.5496881,0.0404570,4.0000000,1.6339297,1.1505408,29.6489449,-1.5530156,9.4322329
48,-13,-4.212791051150472,19.357917847536481,-13.1304226,-0.0042975,27.2727280,-2.2726066,0.1810755,4.0000000,1.6784097,1.1519935,29.7750797,-1.3162587,9.1106825
49,-13,-4.205334411150472,19.357917847536481,-13.1263828,0.0017355,42.9752083,-1.9586250,0.3256867,4.0000000,1.7147200,1.1525867,29.8275146,-1.0633465,8.8775425
50,-13,-4.197877771150472,19.357917847536481,-13.1223116,-0.0021488,33.8842964,-1.5825564,0.4844810,4.0000000,1.7491099,1.1522804,29.8026695,-0.7801480,8.7434769
51,-13,-4.190421131150472,19.357917847536481,-13.1182261,0.0038843,47.1074371,-1.1307056,0.6609134,4.0000000,1.7838044,1.1509600,29.6897831,-0.4619776,8.7627115
52,-13,-4.182964491150472,19.357917847536481,-13.1141462,-0.0000826,38.0165291,-0.6414859,0.8411872,4.0000000,1.8182112,1.1484833,29.4698143,-0.1358368,8.9892588
53,-13,-4.175507851150472,19.357917847536481,-13.1100931,-0.0040496,28.9256191,-0.1649059,1.0093688,4.0000000,1.8519516,1.1449175,29.1510220,0.1667861,9.3950224
54,-13,-4.168051211150472,19.357917847536481,-13.1060848,0.0019835,42.1487617,0.2616050,1.1552588,4.0000000,1.8828194,1.1404921,28.7458477,0.4276981,9.8822622
55,-13,-4.160594571150471,19.357917847536481,-13.1021347,-0.0019008,33.0578499,0.6162506,1.2758981,4.0000000,1.9094958,1.1353645,28.2654266,0.6423005,10.3704262
56,-13,-4.153137931150471,19.357917847536481,-13.0982571,0.0042149,47.1074371,0.8911908,1.3720938,4.0000000,1.9286512,1.1297581,27.7300797,0.8155364,10.8039818
57,-13,-4.145681291150471,19.357917847536481,-13.0944586,0.0002479,38.0165291,1.0912641,1.4478805,4.0000000,1.9399946,1.1238266,27.1453934,0.9557663,11.1676264
58,-13,-4.138224651150471,19.357917847536481,-13.0907478,-0.0033884,28.9256191,1.2235893,1.5085813,4.0000000,1.9399713,1.1176847,26.5231228,1.0771911,11.4865284
59,-13,-4.369380491150471,19.350461207536480,-13.1920319,-0.0027273,19.8347111,-2.4756587,0.4571122,4.0000000,-0.8874540,1.0656503,20.2352428,1.8016784,7.1038098
60,-13,-4.361923851150472,19.350461207536480,-13.1903248,-0.0042975,15.7024794,-2.3014157,0.3740183,4.0000000,-0.7714436,1.0695155,20.7915859,1.5194801,6.4896774
61,-13,-4.354467211150472,19.350461207536480,-13.1885548,0.0038017,45.4545441,-2.2313912,0.2826421,4.0000000,-0.6574787,1.0732678,21.3119545,1.2227629,6.1739678
62,-13,-4.347010571150472,19.350461207536480,-13.1867113,0.0018182,37.1900826,-2.2737677,0.1774035,4.0000000,-0.5534626,1.0770044,21.8119164,0.9082696,6.2031469
63,-13,-4.339553931150472,19.350461207536480,-13.1847820,-0.0000826,30.5785122,-2.4001327,0.0627899,4.0000000,-0.4525490,1.0807848,22.3051262,0.5781288,6.5547676
64,-13,-4.332097291150472,19.350461207536480,-13.1827564,-0.0020661,24.7933884,-2.5730414,-0.0518978,4.0000000,-0.3430364,1.0847188,22.8043346,0.2392408,7.1581535
65,-13,-4.324640651150472,19.350461207536480,-13.1806192,-0.0042149,19.8347111,-2.7694106,-0.1640391,4.0000000,-0.2228405,1.0888804,23.3169537,-0.1052376,7.9498324
66,-13,-4.317184011150472,19.350461207536480,-13.1783619,0.0033884,45.4545441,-2.9563739,-0.2662120,5.0000000,-0.0874425,1.0933193,23.8481808,-0.4449815,8.8103857
67,-13,-4.309727371150472,19.350461207536480,-13.1759710,0.0009091,37.1900826,-3.1351295,-0.3582343,4.0000000,0.0595019,1.0980804,24.4032650,-0.7759705,9.7151794
68,-13,-4.302270731150472,19.350461207536480,-13.1734400,-0.0015702,29.7520657,-3.2820365,-0.4344669,4.0000000,0.2171763,1.1031892,24.9796333,-1.0861101,10.5445375
