OID_,RegI,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
29,-12,-2.303891211150472,18.865779607536478,-12.9840565,0.0000000,0.0000000,-0.1671947,-0.1733249,4.0000000,-0.3135728,1.0033340,4.6672473,-0.0330770,0.4612916
30,-12,-2.296434571150472,18.865779607536478,-12.9842167,0.0000000,0.0000000,-0.1759972,-0.0718138,4.0000000,-0.2070920,1.0034326,4.7367148,0.0634643,0.3780282
31,-12,-2.288977931150472,18.865779607536478,-12.9843550,0.0000000,0.0000000,-0.1545414,0.0454017,4.0000000,-0.0650811,1.0035747,4.8361225,0.1558846,0.3217430
32,-12,-2.281521291150472,18.865779607536478,-12.9844809,0.0000000,0.0000000,-0.0938324,0.1782448,4.0000000,0.1183052,1.0037515,4.9567771,0.2381843,0.3191793
33,-12,-2.274064651150473,18.865779607536478,-12.9846058,0.0000000,0.0000000,0.0173336,0.3312478,4.0000000,0.3540707,1.0039618,5.0935154,0.3084249,0.4109319
34,-12,-2.266608011150473,18.865779607536478,-12.9847431,0.0000826,0.8264463,0.1773949,0.4982842,4.0000000,0.6283410,1.0042092,5.2474356,0.3682274,0.6514066
35,-12,-2.393370891150473,18.858322967536477,-12.9796963,0.0045455,45.4545441,-0.0031607,0.0402035,4.0000000,0.0959123,1.0052030,5.8486738,-0.0155054,0.0131524
36,-12,-2.385914251150473,18.858322967536477,-12.9802637,-0.0045455,0.0000000,-0.0075854,-0.0572156,4.0000000,-0.0130241,1.0051721,5.8318644,-0.1014071,0.0287516
37,-12,-2.378457611150472,18.858322967536477,-12.9808216,-0.0037190,0.0000000,-0.0009704,-0.1474203,4.0000000,-0.1100789,1.0050529,5.7615743,-0.1847617,0.0904652
38,-12,-2.371000971150472,18.858322967536477,-12.9813623,-0.0029752,0.0000000,0.0123753,-0.2260681,4.0000000,-0.1926566,1.0048670,5.6526418,-0.2594795,0.1829190
39,-12,-2.363544331150472,18.858322967536477,-12.9818792,-0.0023140,0.0000000,0.0276079,-0.2912241,5.0000000,-0.2594358,1.0046284,5.5099397,-0.3230123,0.2889988
40,-12,-2.356087691150472,18.858322967536477,-12.9823647,-0.0017355,0.0000000,0.0409812,-0.3460153,4.0000000,-0.3162105,1.0043654,5.3481674,-0.3758201,0.4035750
41,-12,-2.348631051150472,18.858322967536477,-12.9828157,-0.0012397,0.0000000,0.0453561,-0.3860397,4.0000000,-0.3592758,1.0040965,5.1793790,-0.4128036,0.5134001
42,-12,-2.341174411150472,18.858322967536477,-12.9832258,-0.0008264,0.0000000,0.0376322,-0.4110000,4.0000000,-0.3933178,1.0038424,5.0131745,-0.4286821,0.6094792
43,-12,-2.333717771150472,18.858322967536477,-12.9835930,-0.0004959,0.0000000,0.0137761,-0.4094246,4.0000000,-0.4048733,1.0036306,4.8692818,-0.4139760,0.6522824
44,-12,-2.326261131150472,18.858322967536477,-12.9839153,-0.0002479,0.0000000,-0.0250666,-0.3832138,4.0000000,-0.3944881,1.0034798,4.7657928,-0.3719395,0.6465668
45,-12,-2.318804491150472,18.858322967536477,-12.9841957,-0.0000826,0.0000000,-0.0715978,-0.3367375,4.0000000,-0.3633476,1.0034029,4.7128053,-0.3101273,0.6051546
46,-12,-2.311347851150472,18.858322967536477,-12.9844370,0.0000000,0.0000000,-0.1204648,-0.2746335,4.0000000,-0.3145151,1.0034015,4.7116494,-0.2347519,0.5503252
47,-12,-2.303891211150472,18.858322967536477,-12.9846439,0.0000000,0.0000000,-0.1607695,-0.1959668,4.0000000,-0.2434679,1.0034716,4.7608395,-0.1484657,0.4820283
48,-12,-2.296434571150472,18.858322967536477,-12.9848223,0.0000000,0.0000000,-0.1831975,-0.1029892,4.0000000,-0.1471460,1.0036029,4.8524666,-0.0588325,0.4148694
