OID_,DEM_Large_S3_Clip20,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
34,-13,-4.339553931150471,20.528610327536480,-13.2082987,0.0017355,45.4545441,2.3495390,-1.8163108,4.0000000,-0.8551084,1.4712586,47.1789742,-2.7775130,24.3520432
35,-13,-4.332097291150471,20.528610327536480,-13.2079344,0.0014050,45.4545441,2.0762548,-1.7620809,4.0000000,-0.7776717,1.4739015,47.2746239,-2.7464900,23.1481209
36,-13,-4.324640651150471,20.528610327536480,-13.2074375,0.0009091,45.4545441,1.8565564,-1.7189385,4.0000000,-0.7232090,1.4775357,47.4054947,-2.7146678,22.5471592
37,-13,-4.317184011150472,20.528610327536480,-13.2068167,0.0003306,45.4545441,1.7006660,-1.6890192,4.0000000,-0.6938519,1.4821262,47.5691223,-2.6841862,22.4919014
38,-13,-4.309727371150472,20.528610327536480,-13.2060804,-0.0004132,44.6280975,1.6051189,-1.6712120,4.0000000,-0.6858068,1.4875929,47.7627068,-2.6566172,22.8409328
39,-13,-4.302270731150472,20.528610327536480,-13.2052298,-0.0012397,43.8016510,1.5798528,-1.6658798,4.0000000,-0.6993132,1.4938200,47.9813576,-2.6324465,23.5035839
40,-13,-4.294814091150472,20.528610327536480,-13.2042637,-0.0023140,42.9752083,1.6475233,-1.6769482,4.0000000,-0.7385881,1.5006704,48.2188072,-2.6153080,24.5252876
41,-13,-4.287357451150472,20.528610327536480,-13.2031765,-0.0035537,42.1487617,1.8059191,-1.7026696,4.0000000,-0.8006010,1.5080085,48.4697609,-2.6047385,25.8717937
42,-13,-4.279900811150472,20.528610327536480,-13.2019539,-0.0049587,40.4958687,2.0500200,-1.7430674,4.0000000,-0.8823919,1.5156767,48.7277451,-2.6037431,27.6463833
43,-13,-4.272444171150472,20.528610327536480,-13.2005806,-0.0064463,38.8429756,2.3604071,-1.7950033,4.0000000,-0.9776245,1.5235626,48.9894180,-2.6123822,29.9075851
44,-13,-4.264987531150472,20.528610327536480,-13.1990337,0.0019008,47.9338837,2.7105908,-1.8550106,4.0000000,-1.0786307,1.5316154,49.2524338,-2.6313906,32.7027473
45,-13,-4.481230091150471,20.521153687536479,-13.1819639,-0.0038017,38.8429756,-0.1277088,-0.7901134,4.0000000,0.0028679,1.5511398,49.9161224,-1.5830948,7.4776502
46,-13,-4.473773451150471,20.521153687536479,-13.1856422,-0.0004959,42.9752083,0.3516929,-0.9445733,4.0000000,-0.2660205,1.5541408,50.0056038,-1.6231263,8.3205404
47,-13,-4.466316811150471,20.521153687536479,-13.1892223,0.0028926,47.1074371,0.8207673,-1.0982740,4.0000000,-0.5122983,1.5533626,49.9776421,-1.6842496,11.0616541
48,-13,-4.458860171150471,20.521153687536479,-13.1926689,-0.0039669,40.4958687,1.2970339,-1.2568140,4.0000000,-0.7404569,1.5492184,49.8437004,-1.7731711,15.3679991
49,-13,-4.451403531150471,20.521153687536479,-13.1959476,-0.0009091,44.6280975,1.7846428,-1.4170959,4.0000000,-0.9467917,1.5422986,49.6198769,-1.8874000,20.6376286
50,-13,-4.443946891150471,20.521153687536479,-13.1990290,0.0019835,47.9338837,2.2812183,-1.5751537,4.0000000,-1.1288089,1.5332941,49.3258095,-2.0214984,26.2510929
51,-13,-4.436490251150471,20.521153687536479,-13.2018900,-0.0052893,38.8429756,2.7774611,-1.7270683,4.0000000,-1.2836850,1.5228386,48.9806900,-2.1704516,31.6485710
52,-13,-4.429033611150471,20.521153687536479,-13.2045078,-0.0028099,42.1487617,3.2473876,-1.8657558,4.0000000,-1.4071606,1.5116206,48.6019821,-2.3243511,36.2770386
53,-13,-4.421576971150471,20.521153687536479,-13.2068691,-0.0004959,44.6280975,3.6550457,-1.9844660,4.0000000,-1.4925843,1.5002854,48.2121124,-2.4763474,39.6696129
54,-13,-4.414120331150471,20.521153687536479,-13.2089624,0.0015702,47.1074371,3.9838827,-2.0809450,4.0000000,-1.5433671,1.4893639,47.8309326,-2.6185229,41.8032341
55,-13,-4.406663691150471,20.521153687536479,-13.2107868,-0.0066116,38.8429756,4.2138290,-2.1522164,4.0000000,-1.5607861,1.4792846,47.4721832,-2.7436469,42.6697884
56,-13,-4.399207051150471,20.521153687536479,-13.2123413,-0.0049587,40.4958687,4.3436909,-2.1989143,4.0000000,-1.5506604,1.4703422,47.1476631,-2.8471682,42.4888878
57,-13,-4.391750411150471,20.521153687536479,-13.2136307,-0.0034711,42.1487617,4.3782630,-2.2225542,4.0000000,-1.5179193,1.4627242,46.8674240,-2.9271889,41.4860687
58,-13,-4.384293771150471,20.521153687536479,-13.2146645,-0.0023967,42.9752083,4.3197045,-2.2241602,4.0000000,-1.4652871,1.4565001,46.6364365,-2.9830334,39.8253899
59,-13,-4.376837131150471,20.521153687536479,-13.2154484,-0.0014876,43.8016510,4.1509399,-2.2015214,4.0000000,-1.3881228,1.4517485,46.4578896,-3.0149200,37.4857407
60,-13,-4.369380491150471,20.521153687536479,-13.2159996,-0.0008264,44.6280975,3.8925660,-2.1595981,4.0000000,-1.2910013,1.4484754,46.3338814,-3.0281951,34.7664299
61,-13,-4.361923851150471,20.521153687536479,-13.2163334,-0.0003306,45.4545441,3.5692427,-2.1028869,4.0000000,-1.1815630,1.4465944,46.2633171,-3.0242112,31.9570274
62,-13,-4.354467211150471,20.521153687536479,-13.2164688,0.0000000,45.4545441,3.2056081,-2.0373681,5.0000000,-1.0651879,1.4460214,46.2421303,-3.0095484,29.3041801
63,-13,-4.347010571150471,20.521153687536479,-13.2164249,0.0000826,45.4545441,2.8321297,-1.9687891,4.0000000,-0.9512048,1.4466331,46.2659111,-2.9863734,27.0248241
64,-13,-4.339553931150471,20.521153687536479,-13.2162228,-0.0001653,45.4545441,2.4870682,-1.9058090,4.0000000,-0.8502133,1.4482983,46.3294449,-2.9614048,25.3322468
65,-13,-4.332097291150471,20.521153687536479,-13.2158794,-0.0005785,45.4545441,2.1895666,-1.8522972,4.0000000,-0.7686993,1.4509001,46.4281349,-2.9358952,24.2495995
66,-13,-4.324640651150471,20.521153687536479,-13.2154112,-0.0010744,44.6280975,1.9618260,-1.8135880,4.0000000,-0.7128661,1.4543687,46.5586624,-2.9143100,23.8061752
67,-13,-4.317184011150472,20.521153687536479,-13.2148285,-0.0016529,43.8016510,1.8127036,-1.7907313,4.0000000,-0.6852266,1.4586874,46.7195168,-2.8962359,23.9252853
68,-13,-4.309727371150472,20.521153687536479,-13.2141361,-0.0023967,42.9752083,1.7442347,-1.7840002,4.0000000,-0.6839080,1.4637960,46.9094200,-2.8840926,24.5199718
69,-13,-4.302270731150472,20.521153687536479,-13.2133360,-0.0032231,42.1487617,1.7676698,-1.7938207,4.0000000,-0.7087852,1.4696219,47.1234627,-2.8788562,25.5094357
70,-13,-4.294814091150472,20.521153687536479,-13.2124252,-0.0042975,41.3223152,1.9003023,-1.8215209,4.0000000,-0.7628464,1.4760581,47.3566742,-2.8801956,26.9165421
71,-13,-4.287357451150472,20.521153687536479,-13.2113943,-0.0055372,39.6694221,2.1380887,-1.8646510,4.0000000,-0.8421267,1.4829683,47.6038780,-2.8871753,28.7216969
72,-13,-4.279900811150472,20.521153687536479,-13.2102280,-0.0069421,38.0165291,2.4697418,-1.9212366,4.0000000,-0.9420653,1.4902465,47.8602791,-2.9004080,31.0082150
73,-13,-4.272444171150472,20.521153687536479,-13.2089062,0.0015702,47.9338837,2.8759589,-1.9882090,4.0000000,-1.0565374,1.4978062,48.1233292,-2.9198806,33.8552666
74,-13,-4.264987531150472,20.521153687536479,-13.2074051,-0.0000826,46.2809906,3.3221226,-2.0610042,4.0000000,-1.1757758,1.5056348,48.3917007,-2.9462326,37.2715225
75,-13,-4.257530891150472,20.521153687536479,-13.2056971,-0.0019008,43.8016510,3.7384355,-2.1303098,4.0000000,-1.2798702,1.5137595,48.6654396,-2.9807494,40.9099274
76,-13,-4.250074251150472,20.521153687536479,-13.2037544,-0.0038843,41.3223152,4.0824122,-2.1918590,4.0000000,-1.3574913,1.5221100,48.9427643,-3.0262270,44.4565773
77,-13,-4.488686731150471,20.513697047536478,-13.1861391,0.0003306,42.9752083,-0.1910206,-0.9741858,4.0000000,0.0727129,1.5407765,49.5967979,-2.0210845,10.2936163
78,-13,-4.481230091150471,20.513697047536478,-13.1899624,0.0038017,47.9338837,0.4172122,-1.1170536,4.0000000,-0.2209537,1.5448531,49.7225456,-2.0131536,10.6815748
79,-13,-4.473773451150471,20.513697047536478,-13.1936979,-0.0028099,42.1487617,0.9732066,-1.2536641,4.0000000,-0.4871465,1.5446883,49.7127609,-2.0201819,13.1322155
80,-13,-4.466316811150471,20.513697047536478,-13.1973085,0.0006612,46.2809906,1.4886832,-1.3882142,4.0000000,-0.7267880,1.5408280,49.5856438,-2.0496404,17.1201782
81,-13,-4.458860171150471,20.513697047536478,-13.2007618,-0.0061157,37.1900826,1.9898981,-1.5270762,4.0000000,-0.9438927,1.5338320,49.3562737,-2.1102598,22.1847534
82,-13,-4.451403531150471,20.513697047536478,-13.2040281,-0.0029752,40.4958687,2.4857790,-1.6680008,4.0000000,-1.1362935,1.5243970,49.0437889,-2.1997080,27.6891899
83,-13,-4.443946891150471,20.513697047536478,-13.2070837,-0.0000826,44.6280975,2.9807339,-1.8084615,4.0000000,-1.3024853,1.5132583,48.6690445,-2.3144376,33.0862808
84,-13,-4.436490251150471,20.513697047536478,-13.2099056,0.0026446,47.9338837,3.4650352,-1.9434745,4.0000000,-1.4396785,1.5010710,48.2503471,-2.4472706,37.8775902
85,-13,-4.429033611150471,20.513697047536478,-13.2124786,-0.0049587,40.4958687,3.9103310,-2.0657058,4.0000000,-1.5422020,1.4885055,47.8096123,-2.5892096,41.5967941
86,-13,-4.421576971150471,20.513697047536478,-13.2147913,-0.0027273,42.9752083,4.2870641,-2.1692536,4.0000000,-1.6074400,1.4761951,47.3691750,-2.7310674,44.0120354
87,-13,-4.414120331150471,20.513697047536478,-13.2168360,-0.0006612,45.4545441,4.5824356,-2.2520282,4.0000000,-1.6395025,1.4646806,46.9472313,-2.8645542,45.2124405
88,-13,-4.406663691150471,20.513697047536478,-13.2186136,0.0010744,47.9338837,4.7727652,-2.3102696,4.0000000,-1.6391549,1.4542813,46.5586586,-2.9813840,45.2415237
89,-13,-4.399207051150471,20.513697047536478,-13.2201252,-0.0073554,36.3636360,4.8537526,-2.3434284,4.0000000,-1.6124282,1.4452401,46.2153435,-3.0744283,44.3319702
90,-13,-4.391750411150471,20.513697047536478,-13.2213783,-0.0059504,38.0165291,4.8402090,-2.3548999,4.0000000,-1.5662528,1.4377178,45.9253807,-3.1435471,42.7920952
91,-13,-4.384293771150471,20.513697047536478,-13.2223797,-0.0048760,39.6694221,4.7316523,-2.3452396,4.0000000,-1.5029479,1.4317284,45.6915436,-3.1875312,40.7644730
92,-13,-4.376837131150471,20.513697047536478,-13.2231407,-0.0040496,41.3223152,4.5094037,-2.3123686,4.0000000,-1.4165708,1.4272869,45.5166359,-3.2081664,38.2087936
93,-13,-4.369380491150471,20.513697047536478,-13.2236748,-0.0034711,42.1487617,4.1938763,-2.2607071,4.0000000,-1.3111398,1.4243258,45.3993721,-3.2102742,35.3727913
94,-13,-4.361923851150471,20.513697047536478,-13.2239990,-0.0030579,42.9752083,3.8177059,-2.1964977,4.0000000,-1.1943805,1.4227279,45.3362770,-3.1986148,32.5509377
95,-13,-4.354467211150471,20.513697047536478,-13.2241325,-0.0027273,43.8016510,3.4085841,-2.1257396,5.0000000,-1.0724021,1.4223629,45.3228073,-3.1790769,29.9673729
96,-13,-4.347010571150471,20.513697047536478,-13.2240953,-0.0026446,43.8016510,2.9986577,-2.0547633,4.0000000,-0.9538626,1.4230882,45.3529892,-3.1556640,27.8131371
97,-13,-4.339553931150471,20.513697047536478,-13.2239075,-0.0028926,43.8016510,2.6216044,-1.9899681,4.0000000,-0.8485743,1.4247763,45.4202347,-3.1313620,26.2177944
98,-13,-4.332097291150471,20.513697047536478,-13.2235861,-0.0032231,42.9752083,2.3019285,-1.9373147,4.0000000,-0.7631736,1.4272941,45.5195465,-3.1114559,25.2452583
99,-13,-4.324640651150471,20.513697047536478,-13.2231455,-0.0036364,42.1487617,2.0665348,-1.9019969,4.0000000,-0.7058369,1.4305480,45.6489258,-3.0981567,24.9184322
100,-13,-4.317184011150472,20.513697047536478,-13.2225981,-0.0041322,41.3223152,1.9275626,-1.8860073,4.0000000,-0.6796021,1.4345256,45.8051338,-3.0924125,25.1778107
101,-13,-4.309727371150472,20.513697047536478,-13.2219477,-0.0047934,40.4958687,1.8889906,-1.8892336,4.0000000,-0.6840938,1.4392080,45.9864960,-3.0943735,25.9470253
102,-13,-4.302270731150472,20.513697047536478,-13.2211952,-0.0055372,39.6694221,1.9649897,-1.9127592,4.0000000,-0.7200289,1.4445298,46.1907349,-3.1054895,27.1955585
103,-13,-4.294814091150472,20.513697047536478,-13.2203360,-0.0066116,38.0165291,2.1698544,-1.9560143,4.0000000,-0.7895315,1.4503914,46.4139214,-3.1224971,28.9315224
104,-13,-4.287357451150472,20.513697047536478,-13.2193575,0.0022314,48.7603302,2.4947274,-2.0156291,4.0000000,-0.8868939,1.4567074,46.6520729,-3.1443644,31.1511860
105,-13,-4.279900811150472,20.513697047536478,-13.2182426,0.0009091,47.1074371,2.9230788,-2.0878043,4.0000000,-1.0062066,1.4634442,46.9019279,-3.1694019,33.9105835
106,-13,-4.272444171150472,20.513697047536478,-13.2169695,-0.0004959,45.4545441,3.4332848,-2.1693037,4.0000000,-1.1410062,1.4705820,47.1623955,-3.1976011,37.3080978
107,-13,-4.264987531150472,20.513697047536478,-13.2155113,-0.0020661,42.9752083,3.9819703,-2.2545385,4.0000000,-1.2794203,1.4781226,47.4329605,-3.2296569,41.3133430
108,-13,-4.257530891150472,20.513697047536478,-13.2138395,-0.0038017,40.4958687,4.4912744,-2.3334570,4.0000000,-1.4012533,1.4860958,47.7157516,-3.2656605,45.5542984
109,-13,-4.250074251150472,20.513697047536478,-13.2119236,-0.0057851,38.0165291,4.9137983,-2.4016252,4.0000000,-1.4949565,1.4945060,48.0096626,-3.3082938,49.7005844
110,-13,-4.242617611150472,20.513697047536478,-13.2097387,0.0019835,47.1074371,5.1910915,-2.4525294,4.0000000,-1.5467651,1.5033587,48.3141975,-3.3582935,53.1873817
111,-13,-4.235160971150472,20.513697047536478,-13.2072620,-0.0006612,43.8016510,5.2703457,-2.4788606,4.0000000,-1.5455937,1.5125430,48.6247482,-3.4121275,55.3275070
112,-13,-4.227704331150472,20.513697047536478,-13.2044792,-0.0033884,40.4958687,5.1272087,-2.4750419,4.0000000,-1.4883069,1.5217782,48.9320030,-3.4617770,55.5884628
113,-13,-4.496143371150471,20.506240407536477,-13.1899796,0.0042149,47.9338837,-0.3936101,-1.2232302,4.0000000,0.1513890,1.5255600,49.1113701,-2.5978494,16.0451279
114,-13,-4.488686731150471,20.506240407536477,-13.1939421,-0.0022314,42.1487617,0.4202168,-1.3631206,4.0000000,-0.1640179,1.5313200,49.2963982,-2.5622232,15.7864208
115,-13,-4.481230091150471,20.506240407536477,-13.1978321,0.0013223,46.2809906,1.1584367,-1.4945196,4.0000000,-0.4579096,1.5324398,49.3292656,-2.5311296,17.8273449
116,-13,-4.473773451150471,20.506240407536477,-13.2016058,-0.0052066,37.1900826,1.8034729,-1.6152570,4.0000000,-0.7209789,1.5293945,49.2259331,-2.5095351,21.5297890
117,-13,-4.466316811150471,20.506240407536477,-13.2052279,-0.0017355,42.1487617,2.3680694,-1.7302395,4.0000000,-0.9523936,1.5228823,49.0078850,-2.5080855,26.2287674
118,-13,-4.458860171150471,20.506240407536477,-13.2086706,0.0014876,46.2809906,2.8875995,-1.8469741,4.0000000,-1.1557363,1.5135702,48.6926994,-2.5382121,31.4153595
119,-13,-4.451403531150471,20.506240407536477,-13.2119074,-0.0053719,39.6694221,3.3829954,-1.9658002,4.0000000,-1.3314565,1.5021991,48.3026886,-2.6001439,36.5483627
120,-13,-4.443946891150471,20.506240407536477,-13.2149200,-0.0024793,42.9752083,3.8623066,-2.0842023,4.0000000,-1.4784303,1.4895010,47.8578682,-2.6899741,41.1576424
121,-13,-4.436490251150471,20.506240407536477,-13.2176914,0.0002479,46.2809906,4.3149900,-2.1966841,4.0000000,-1.5944188,1.4761358,47.3784409,-2.7989495,44.8585243
122,-13,-4.429033611150471,20.506240407536477,-13.2202082,-0.0073554,35.5371895,4.7160363,-2.2973614,4.0000000,-1.6739197,1.4627616,46.8870926,-2.9208031,47.3479958
123,-13,-4.421576971150471,20.506240407536477,-13.2224627,-0.0052066,38.0165291,5.0407567,-2.3804789,4.0000000,-1.7171463,1.4499986,46.4071617,-3.0438113,48.5658417
124,-13,-4.414120331150471,20.506240407536477,-13.2244539,-0.0032231,40.4958687,5.2755637,-2.4432986,4.0000000,-1.7280617,1.4382994,45.9553146,-3.1585355,48.6517181
125,-13,-4.406663691150471,20.506240407536477,-13.2261810,-0.0014876,42.9752083,5.4041133,-2.4836798,4.0000000,-1.7088970,1.4279202,45.5471153,-3.2584624,47.7682266
