OID_,RegC,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
30,-12,-3.631173131150471,18.612253847536479,-12.9933310,-0.0014050,19.0082645,-0.0279064,0.3191491,4.0000000,0.1008297,1.0364015,15.2626495,0.5374684,0.5125520
31,-12,-3.623716491150471,18.612253847536479,-12.9938736,-0.0009917,20.6611576,-0.2089524,0.2115108,4.0000000,-0.1500698,1.0356693,15.1118937,0.5730914,0.6632686
32,-12,-3.616259851150471,18.612253847536479,-12.9944220,-0.0004132,23.1404953,-0.4125237,0.1074209,4.0000000,-0.3929968,1.0345714,14.8851118,0.6078385,0.9832155
33,-12,-3.608803211150471,18.612253847536479,-12.9949627,0.0001653,25.6198349,-0.6315109,0.0129270,4.0000000,-0.6136217,1.0331348,14.5783014,0.6394756,1.4399223
34,-12,-3.601346571150471,18.612253847536479,-12.9954863,0.0006612,27.2727280,-0.8533994,-0.0640990,4.0000000,-0.7950248,1.0314108,14.2004442,0.6668267,1.9665123
35,-12,-3.593889931150471,18.612253847536479,-12.9959841,0.0011570,28.9256191,-1.0737395,-0.1241546,4.0000000,-0.9392004,1.0294563,13.7603693,0.6908913,2.5111439
36,-12,-3.586433291150471,18.612253847536479,-12.9964504,0.0016529,30.5785122,-1.2817041,-0.1725292,4.0000000,-1.0515121,1.0273499,13.2676783,0.7064537,3.0282607
37,-12,-3.578976651150471,18.612253847536479,-12.9968815,0.0020661,32.2314034,-1.4699175,-0.2127630,4.0000000,-1.1407493,1.0251540,12.7301416,0.7152232,3.4935236
38,-12,-3.571520011150471,18.612253847536479,-12.9972725,0.0023967,33.0578499,-1.6395872,-0.2485279,4.0000000,-1.2121183,1.0229141,12.1582956,0.7150625,3.9110303
39,-12,-3.564063371150471,18.612253847536479,-12.9976187,0.0027273,33.8842964,-1.7936574,-0.2777344,4.0000000,-1.2630140,1.0206871,11.5596132,0.7075451,4.2792616
40,-12,-3.556606731150471,18.612253847536479,-12.9979191,0.0029752,34.7107430,-1.9245851,-0.2894994,4.0000000,-1.2707938,1.0185052,10.9380379,0.6917951,4.5491743
41,-12,-3.549150091150471,18.612253847536479,-12.9981680,0.0032231,35.5371895,-2.0348163,-0.2779396,4.0000000,-1.2263335,1.0164071,10.3050508,0.6704543,4.7106357
42,-12,-3.541693451150471,18.612253847536479,-12.9983692,0.0034711,36.3636360,-2.1088669,-0.2475014,4.0000000,-1.1373117,1.0144346,9.6696453,0.6423090,4.7530880
43,-12,-3.534236811150471,18.612253847536479,-12.9985247,0.0035537,36.3636360,-2.1510217,-0.2053575,4.0000000,-1.0209026,1.0126003,9.0375700,0.6101875,4.7178626
