OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
31,-13,-4.436490251150471,20.058842007536480,-13.2533417,-0.0009917,0.0000000,0.4176020,-1.0519328,4.0000000,-0.9145308,1.0029858,4.4105992,-1.1893349
32,-13,-4.429033611150471,20.058842007536480,-13.2527952,-0.0016529,0.0000000,0.2697453,-0.9668372,4.0000000,-0.7959681,1.0040517,5.1443934,-1.1377063
33,-13,-4.421576971150471,20.058842007536480,-13.2521515,-0.0024793,0.0000000,0.0956242,-0.8562338,4.0000000,-0.7118596,1.0052245,5.8452182,-1.0006081
34,-13,-4.488686731150471,20.051385367536479,-13.2539816,0.0000000,0.0000000,0.5853753,-0.9729388,5.0000000,-0.7706554,1.0008962,2.4045694,-1.1752222
35,-13,-4.481230091150471,20.051385367536479,-13.2541533,0.0000000,0.0000000,0.6390467,-1.0415936,4.0000000,-1.2172320,1.0006789,2.0804081,-0.8659550
36,-13,-4.473773451150471,20.051385367536479,-13.2542305,0.0000000,0.0000000,0.6756722,-1.0958507,5.0000000,-1.7241150,1.0006011,1.9468776,-0.4675865
37,-13,-4.466316811150471,20.051385367536479,-13.2542086,0.0000000,0.0000000,0.6917599,-1.1349061,4.0000000,-1.8752143,1.0006996,2.0997798,-0.3945977
38,-13,-4.458860171150471,20.051385367536479,-13.2540808,-0.0000826,0.0000000,0.6787968,-1.1535695,4.0000000,-1.6379745,1.0010015,2.5260985,-0.6691643
39,-13,-4.451403531150471,20.051385367536479,-13.2538443,-0.0003306,0.0000000,0.6372948,-1.1503707,5.0000000,-1.3284127,1.0015225,3.1314240,-0.9723287
40,-13,-4.443946891150471,20.051385367536479,-13.2534971,-0.0007438,0.0000000,0.5657272,-1.1241424,4.0000000,-1.0850213,1.0022602,3.8275051,-1.1632634
41,-13,-4.436490251150471,20.051385367536479,-13.2530413,-0.0013223,0.0000000,0.4634501,-1.0732727,4.0000000,-0.9098327,1.0031968,4.5634470,-1.2367128
42,-13,-4.429033611150471,20.051385367536479,-13.2524805,-0.0020661,0.0000000,0.3320110,-0.9971910,4.0000000,-0.7831639,1.0043025,5.3010068,-1.2112179
43,-13,-4.421576971150471,20.051385367536479,-13.2518187,-0.0029752,0.0000000,0.1801323,-0.8985149,4.0000000,-0.6923723,1.0055281,6.0098391,-1.1046575
44,-13,-4.414120331150471,20.051385367536479,-13.2510653,-0.0038843,0.0000000,0.0086685,-0.7834836,4.0000000,-0.6273745,1.0068132,6.6747293,-0.9395928
45,-13,-4.593079691150471,20.043928727536482,-13.2460861,0.0000000,0.0000000,0.0680659,-0.4157165,4.0000000,-0.7368363,1.0049506,5.6888404,-0.0945967
46,-13,-4.496143371150471,20.043928727536482,-13.2534990,0.0000000,0.0000000,0.5519912,-0.9032857,5.0000000,-0.5972655,1.0012397,2.8407955,-1.2093060
47,-13,-4.488686731150471,20.043928727536482,-13.2537422,0.0000000,0.0000000,0.6091178,-0.9764242,5.0000000,-0.8716177,1.0009489,2.4756553,-1.0812305
48,-13,-4.481230091150471,20.043928727536482,-13.2539015,0.0000000,0.0000000,0.6549088,-1.0398808,4.0000000,-1.3083531,1.0007575,2.2000344,-0.7714084
49,-13,-4.473773451150471,20.043928727536482,-13.2539682,0.0000000,0.0000000,0.6882102,-1.0931005,5.0000000,-1.7459400,1.0007029,2.1111412,-0.4402611
50,-13,-4.466316811150471,20.043928727536482,-13.2539349,0.0000000,0.0000000,0.7051977,-1.1333284,4.0000000,-1.8521657,1.0008224,2.2844262,-0.4144911
51,-13,-4.458860171150471,20.043928727536482,-13.2537966,-0.0001653,0.0000000,0.6944414,-1.1541648,4.0000000,-1.6286350,1.0011430,2.7029285,-0.6796945
52,-13,-4.451403531150471,20.043928727536482,-13.2535496,-0.0004959,0.0000000,0.6557282,-1.1536473,5.0000000,-1.3309523,1.0016805,3.2911146,-0.9763421
53,-13,-4.443946891150471,20.043928727536482,-13.2531919,-0.0009917,0.0000000,0.5894249,-1.1323078,4.0000000,-1.0855706,1.0024347,3.9748123,-1.1790450
54,-13,-4.436490251150471,20.043928727536482,-13.2527256,-0.0016529,0.0000000,0.4972469,-1.0887713,4.0000000,-0.9043759,1.0033964,4.7029495,-1.2731669
55,-13,-4.429033611150471,20.043928727536482,-13.2521515,-0.0024793,0.0000000,0.3803720,-1.0222102,4.0000000,-0.7709864,1.0045328,5.4385533,-1.2734342
56,-13,-4.421576971150471,20.043928727536482,-13.2514763,-0.0033884,0.0000000,0.2418207,-0.9325455,4.0000000,-0.6724217,1.0057987,6.1558385,-1.1926694
57,-13,-4.414120331150471,20.043928727536482,-13.2507048,-0.0042975,0.0000000,0.0867363,-0.8272495,4.0000000,-0.5999015,1.0071462,6.8332057,-1.0545975
58,-13,-4.593079691150471,20.036472087536481,-13.2458792,0.0000000,0.0000000,0.0879236,-0.4410564,4.0000000,-0.7668269,1.0052440,5.8544412,-0.1152859
59,-13,-4.585623051150471,20.036472087536481,-13.2466030,0.0004132,4.1322312,0.1379083,-0.4650755,4.0000000,-0.7442211,1.0050355,5.7358131,-0.1859298
60,-13,-4.578166411150471,20.036472087536481,-13.2473125,0.0010744,10.7438021,0.1800745,-0.4835382,4.0000000,-0.7151510,1.0048090,5.6046844,-0.2519253
61,-13,-4.496143371150471,20.036472087536481,-13.2532482,-0.0000826,0.0000000,0.5917694,-0.9146029,5.0000000,-0.6839711,1.0012907,2.8967054,-1.1452346
62,-13,-4.488686731150471,20.036472087536481,-13.2534800,0.0000000,0.0000000,0.6432999,-0.9815752,4.0000000,-0.9698980,1.0010211,2.5705755,-0.9932524
63,-13,-4.481230091150471,20.036472087536481,-13.2536268,0.0000000,0.0000000,0.6877985,-1.0427758,4.0000000,-1.3832805,1.0008532,2.3385324,-0.7022710
64,-13,-4.473773451150471,20.036472087536481,-13.2536821,0.0000000,0.0000000,0.7152135,-1.0934960,5.0000000,-1.7533935,1.0008210,2.2860608,-0.4335983
65,-13,-4.466316811150471,20.036472087536481,-13.2536383,-0.0000826,0.0000000,0.7241582,-1.1309905,4.0000000,-1.8243275,1.0009578,2.4714894,-0.4376536
66,-13,-4.458860171150471,20.036472087536481,-13.2534904,-0.0003306,0.0000000,0.7118531,-1.1525351,4.0000000,-1.6170025,1.0012920,2.8802435,-0.6880677
