OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
32,,-4.898801931150472,17.508671127536477,-13.0639668,0.0000000,0.0000000,0.1695309,-0.4847246,4.0000000,-0.5118179,1.0004361,1.6842918,-0.4576312
33,,-4.891345291150472,17.508671127536477,-13.0641289,0.0000000,0.0000000,0.1938927,-0.5012448,4.0000000,-0.5769424,1.0003071,1.4117178,-0.4255473
34,,-4.883888651150473,17.508671127536477,-13.0642509,0.0000000,0.0000000,0.2205613,-0.5189784,5.0000000,-0.6460702,1.0002072,1.1528788,-0.3918866
35,,-4.876432011150473,17.508671127536477,-13.0643349,0.0000000,0.0000000,0.2483306,-0.5364484,4.0000000,-0.7066126,1.0001364,0.9276038,-0.3662841
36,,-4.868975371150473,17.508671127536477,-13.0643787,0.0000000,0.0000000,0.2761951,-0.5534040,4.0000000,-0.7264505,1.0000950,0.7653314,-0.3803575
37,,-4.861518731150473,17.508671127536477,-13.0643845,0.0000000,0.0000000,0.3064805,-0.5727791,5.0000000,-0.6745264,1.0000838,0.7121918,-0.4710318
38,,-4.854062091150473,17.508671127536477,-13.0643501,0.0000000,0.0000000,0.3343704,-0.5908930,4.0000000,-0.6088777,1.0001029,0.7914593,-0.5729083
39,,-4.846605451150473,17.508671127536477,-13.0642767,0.0000000,0.0000000,0.3578078,-0.6072487,5.0000000,-0.5980163,1.0001535,0.9783384,-0.6164809
40,,-4.839148811150473,17.508671127536477,-13.0641632,0.0000000,0.0000000,0.3699813,-0.6171873,4.0000000,-0.6200449,1.0002372,1.2258978,-0.6143295
41,,-4.831692171150473,17.508671127536477,-13.0640097,0.0000000,0.0000000,0.3729739,-0.6243798,4.0000000,-0.6554243,1.0003539,1.5046923,-0.5933353
42,,-4.921171851150472,17.501214487536480,-13.0630970,0.0000000,0.0000000,0.1309425,-0.4539117,4.0000000,-0.3649678,1.0010531,2.6242223,-0.5428556
43,,-4.913715211150472,17.501214487536480,-13.0633831,0.0000000,0.0000000,0.1494423,-0.4672738,4.0000000,-0.4080207,1.0008358,2.3379762,-0.5265269
44,,-4.906258571150472,17.501214487536480,-13.0636292,0.0000000,0.0000000,0.1713540,-0.4818524,4.0000000,-0.4588628,1.0006484,2.0584073,-0.5048420
45,,-4.898801931150472,17.501214487536480,-13.0638361,0.0000000,0.0000000,0.1955838,-0.4981389,4.0000000,-0.5150450,1.0004902,1.7868540,-0.4812327
46,,-4.891345291150472,17.501214487536480,-13.0640039,0.0000000,0.0000000,0.2241275,-0.5178433,5.0000000,-0.5774775,1.0003605,1.5302635,-0.4582091
47,,-4.883888651150473,17.501214487536480,-13.0641327,0.0000000,0.0000000,0.2554142,-0.5394954,5.0000000,-0.6427437,1.0002592,1.2932267,-0.4362471
48,,-4.876432011150473,17.501214487536480,-13.0642214,0.0000000,0.0000000,0.2886794,-0.5623545,4.0000000,-0.6991971,1.0001873,1.0933920,-0.4255119
49,,-4.868975371150473,17.501214487536480,-13.0642710,0.0000000,0.0000000,0.3223582,-0.5854347,4.0000000,-0.7275102,1.0001452,0.9545169,-0.4433591
50,,-4.861518731150473,17.501214487536480,-13.0642796,0.0000000,0.0000000,0.3590082,-0.6111769,5.0000000,-0.7194930,1.0001338,0.9101130,-0.5028609
51,,-4.854062091150473,17.501214487536480,-13.0642481,0.0000000,0.0000000,0.3928837,-0.6351619,4.0000000,-0.6999165,1.0001546,0.9809250,-0.5704072
52,,-4.846605451150473,17.501214487536480,-13.0641756,0.0000000,0.0000000,0.4238493,-0.6581153,5.0000000,-0.7047939,1.0002109,1.1505201,-0.6114368
53,,-4.839148811150473,17.501214487536480,-13.0640612,0.0000000,0.0000000,0.4450488,-0.6753743,5.0000000,-0.7292638,1.0003046,1.3888317,-0.6214848
54,,-4.831692171150473,17.501214487536480,-13.0639029,0.0000000,0.0000000,0.4558448,-0.6881560,4.0000000,-0.7649446,1.0004358,1.6699940,-0.6113675
55,,-4.824235531150473,17.501214487536480,-13.0637026,0.0000000,0.0000000,0.4491982,-0.6927827,4.0000000,-0.8019173,1.0006075,1.9779737,-0.5836481
56,,-4.928628491150472,17.493757847536479,-13.0626087,-0.0004132,0.0000000,0.1322954,-0.4529658,4.0000000,-0.3388058,1.0013530,2.9772477,-0.5671258
57,,-4.921171851150472,17.493757847536479,-13.0629387,-0.0000826,0.0000000,0.1531331,-0.4678055,4.0000000,-0.3757855,1.0011079,2.6925783,-0.5598255
58,,-4.913715211150472,17.493757847536479,-13.0632286,0.0000000,0.0000000,0.1744754,-0.4823957,4.0000000,-0.4177728,1.0008909,2.4131355,-0.5470186
59,,-4.906258571150472,17.493757847536479,-13.0634794,0.0000000,0.0000000,0.1991533,-0.4986914,4.0000000,-0.4656378,1.0007035,2.1435366,-0.5317451
60,,-4.898801931150472,17.493757847536479,-13.0636902,0.0000000,0.0000000,0.2273193,-0.5179157,4.0000000,-0.5196634,1.0005457,1.8875462,-0.5161680
61,,-4.891345291150472,17.493757847536479,-13.0638618,0.0000000,0.0000000,0.2573252,-0.5388446,5.0000000,-0.5783111,1.0004179,1.6472862,-0.4993780
62,,-4.883888651150473,17.493757847536479,-13.0639935,0.0000000,0.0000000,0.2907571,-0.5624521,4.0000000,-0.6370865,1.0003188,1.4364016,-0.4878177
63,,-4.876432011150473,17.493757847536479,-13.0640850,0.0000000,0.0000000,0.3269994,-0.5884906,4.0000000,-0.6907412,1.0002495,1.2645301,-0.4862400
64,,-4.868975371150473,17.493757847536479,-13.0641365,0.0000000,0.0000000,0.3657604,-0.6164615,4.0000000,-0.7287052,1.0002105,1.1560527,-0.5042179
65,,-4.861518731150473,17.493757847536479,-13.0641470,0.0000000,0.0000000,0.4061142,-0.6458657,5.0000000,-0.7508225,1.0002030,1.1327497,-0.5409090
66,,-4.854062091150473,17.493757847536479,-13.0641165,0.0000000,0.0000000,0.4466554,-0.6752220,4.0000000,-0.7663988,1.0002311,1.2071962,-0.5840454
67,,-4.846605451150473,17.493757847536479,-13.0640421,0.0000000,0.0000000,0.4829186,-0.7020683,4.0000000,-0.7904873,1.0002970,1.3701831,-0.6136492
68,,-4.839148811150473,17.493757847536479,-13.0639238,0.0000000,0.0000000,0.5131705,-0.7256569,5.0000000,-0.8245617,1.0004028,1.6015592,-0.6267522
69,,-4.831692171150473,17.493757847536479,-13.0637617,0.0000000,0.0000000,0.5309959,-0.7427930,5.0000000,-0.8615395,1.0005519,1.8827771,-0.6240465
70,,-4.824235531150473,17.493757847536479,-13.0635538,0.0000000,0.0000000,0.5332763,-0.7522479,4.0000000,-0.8981413,1.0007483,2.1955004,-0.6063545
71,,-4.816778891150473,17.493757847536479,-13.0632992,-0.0000826,0.0000000,0.5124071,-0.7493712,4.0000000,-0.9265021,1.0009898,2.5323687,-0.5722404
72,,-4.936085131150472,17.486301207536478,-13.0620632,-0.0012397,0.0000000,0.1324122,-0.4542094,4.0000000,-0.3172603,1.0016831,3.3190913,-0.5911586
73,,-4.928628491150472,17.486301207536478,-13.0624361,-0.0005785,0.0000000,0.1529329,-0.4685718,4.0000000,-0.3478263,1.0014063,3.0338457,-0.5893173
74,,-4.921171851150472,17.486301207536478,-13.0627689,-0.0001653,0.0000000,0.1750442,-0.4836596,4.0000000,-0.3841798,1.0011605,2.7560186,-0.5831395
75,,-4.913715211150472,17.486301207536478,-13.0630617,0.0000000,0.0000000,0.1998090,-0.5002096,4.0000000,-0.4260907,1.0009449,2.4852569,-0.5743284
76,,-4.906258571150472,17.486301207536478,-13.0633144,0.0000000,0.0000000,0.2263995,-0.5177293,4.0000000,-0.4719543,1.0007604,2.2290974,-0.5635044
77,,-4.898801931150472,17.486301207536478,-13.0635271,0.0000000,0.0000000,0.2568889,-0.5389117,5.0000000,-0.5228361,1.0006067,1.9883158,-0.5549873
78,,-4.891345291150472,17.486301207536478,-13.0636997,0.0000000,0.0000000,0.2888995,-0.5615497,5.0000000,-0.5765937,1.0004830,1.7717004,-0.5465056
79,,-4.883888651150473,17.486301207536478,-13.0638323,0.0000000,0.0000000,0.3237387,-0.5866199,4.0000000,-0.6304088,1.0003895,1.5870149,-0.5428310
80,,-4.876432011150473,17.486301207536478,-13.0639238,0.0000000,0.0000000,0.3622266,-0.6148497,4.0000000,-0.6839702,1.0003257,1.4489944,-0.5457292
81,,-4.868975371150473,17.486301207536478,-13.0639753,0.0000000,0.0000000,0.4040710,-0.6454988,4.0000000,-0.7313246,1.0002942,1.3721619,-0.5596729
82,,-4.861518731150473,17.486301207536478,-13.0639849,0.0000000,0.0000000,0.4479079,-0.6778190,5.0000000,-0.7758296,1.0002967,1.3744339,-0.5798085
83,,-4.854062091150473,17.486301207536478,-13.0639515,0.0000000,0.0000000,0.4916167,-0.7095942,4.0000000,-0.8170534,1.0003366,1.4614538,-0.6021351
84,,-4.846605451150473,17.486301207536478,-13.0638733,0.0000000,0.0000000,0.5341621,-0.7405632,4.0000000,-0.8600031,1.0004158,1.6279895,-0.6211232
85,,-4.839148811150473,17.486301207536478,-13.0637512,0.0000000,0.0000000,0.5688958,-0.7665501,4.0000000,-0.9013037,1.0005385,1.8578001,-0.6317965
86,,-4.831692171150473,17.486301207536478,-13.0635815,0.0000000,0.0000000,0.5939745,-0.7872978,5.0000000,-0.9407448,1.0007097,2.1360400,-0.6338508
87,,-4.824235531150473,17.486301207536478,-13.0633650,-0.0000826,0.0000000,0.6017737,-0.7983924,5.0000000,-0.9729120,1.0009308,2.4516523,-0.6238727
88,,-4.816778891150473,17.486301207536478,-13.0630999,-0.0002479,0.0000000,0.5899305,-0.7991052,4.0000000,-0.9979513,1.0012016,2.7910397,-0.6002590
89,,-4.943541771150472,17.478844567536477,-13.0614624,-0.0024793,0.0000000,0.1318619,-0.4571466,4.0000000,-0.2988086,1.0020448,3.6587143,-0.6154847
90,,-4.936085131150472,17.478844567536477,-13.0618773,-0.0015702,0.0000000,0.1533931,-0.4717633,4.0000000,-0.3271236,1.0017339,3.3704143,-0.6164031
91,,-4.928628491150472,17.478844567536477,-13.0622520,-0.0008264,0.0000000,0.1774113,-0.4885757,4.0000000,-0.3600321,1.0014571,3.0880997,-0.6171194
92,,-4.921171851150472,17.478844567536477,-13.0625858,-0.0003306,0.0000000,0.2005265,-0.5036716,4.0000000,-0.3943876,1.0012121,2.8151946,-0.6129557
93,,-4.913715211150472,17.478844567536477,-13.0628796,-0.0000826,0.0000000,0.2264942,-0.5207130,4.0000000,-0.4337969,1.0009993,2.5565586,-0.6076290
94,,-4.906258571150472,17.478844567536477,-13.0631313,0.0000000,0.0000000,0.2547996,-0.5404353,4.0000000,-0.4776288,1.0008199,2.3142254,-0.6032419
95,,-4.898801931150472,17.478844567536477,-13.0633440,0.0000000,0.0000000,0.2850223,-0.5621030,5.0000000,-0.5250815,1.0006721,2.0932345,-0.5991246
96,,-4.891345291150472,17.478844567536477,-13.0635147,0.0000000,0.0000000,0.3174306,-0.5852227,4.0000000,-0.5746174,1.0005556,1.9013813,-0.5958281
97,,-4.883888651150473,17.478844567536477,-13.0636454,0.0000000,0.0000000,0.3520826,-0.6102778,4.0000000,-0.6258279,1.0004724,1.7499883,-0.5947276
98,,-4.876432011150473,17.478844567536477,-13.0637360,0.0000000,0.0000000,0.3914536,-0.6394665,4.0000000,-0.6811059,1.0004205,1.6479714,-0.5978271
99,,-4.868975371150473,17.478844567536477,-13.0637836,0.0000000,0.0000000,0.4351896,-0.6720461,4.0000000,-0.7393267,1.0004019,1.6074023,-0.6047655
100,,-4.861518731150473,17.478844567536477,-13.0637894,0.0000000,0.0000000,0.4821518,-0.7065336,5.0000000,-0.8012407,1.0004194,1.6387883,-0.6118265
101,,-4.854062091150473,17.478844567536477,-13.0637512,0.0000000,0.0000000,0.5269547,-0.7387519,4.0000000,-0.8585299,1.0004754,1.7464374,-0.6189739
102,,-4.846605451150473,17.478844567536477,-13.0636673,0.0000000,0.0000000,0.5700862,-0.7694232,4.0000000,-0.9115728,1.0005735,1.9200244,-0.6272737
103,,-4.839148811150473,17.478844567536477,-13.0635376,0.0000000,0.0000000,0.6082523,-0.7968181,4.0000000,-0.9595115,1.0007187,2.1501007,-0.6341246
104,,-4.831692171150473,17.478844567536477,-13.0633602,-0.0000826,0.0000000,0.6392562,-0.8199399,4.0000000,-1.0011507,1.0009146,2.4290006,-0.6387290
105,,-4.824235531150473,17.478844567536477,-13.0631332,-0.0002479,0.0000000,0.6525691,-0.8326723,5.0000000,-1.0305901,1.0011613,2.7421727,-0.6347545
106,,-4.816778891150473,17.478844567536477,-13.0628576,-0.0004959,0.0000000,0.6455674,-0.8340461,5.0000000,-1.0491161,1.0014601,3.0783026,-0.6189761
107,,-4.950998411150472,17.471387927536480,-13.0608053,-0.0037190,0.0000000,0.1272250,-0.4581282,4.0000000,-0.2748790,1.0024385,3.9965732,-0.6413774
108,,-4.943541771150472,17.471387927536480,-13.0612631,-0.0028099,0.0000000,0.1520600,-0.4751894,4.0000000,-0.3057133,1.0020938,3.7022450,-0.6446654
109,,-4.936085131150472,17.471387927536480,-13.0616798,-0.0019008,0.0000000,0.1766501,-0.4917645,4.0000000,-0.3366559,1.0017833,3.4167669,-0.6468731
110,,-4.928628491150472,17.471387927536480,-13.0620546,-0.0010744,0.0000000,0.2019400,-0.5095605,4.0000000,-0.3696137,1.0015059,3.1395717,-0.6495073
111,,-4.921171851150472,17.471387927536480,-13.0623884,-0.0004959,0.0000000,0.2272425,-0.5268621,4.0000000,-0.4042125,1.0012627,2.8736103,-0.6495118
112,,-4.913715211150472,17.471387927536480,-13.0626793,-0.0001653,0.0000000,0.2535607,-0.5446404,4.0000000,-0.4412782,1.0010555,2.6257324,-0.6480026
113,,-4.906258571150472,17.471387927536480,-13.0629301,0.0000000,0.0000000,0.2814912,-0.5646048,5.0000000,-0.4818253,1.0008835,2.4007754,-0.6473842
114,,-4.898801931150472,17.471387927536480,-13.0631390,0.0000000,0.0000000,0.3109562,-0.5860204,5.0000000,-0.5262016,1.0007440,2.2010684,-0.6458392
115,,-4.891345291150472,17.471387927536480,-13.0633068,0.0000000,0.0000000,0.3422256,-0.6086357,4.0000000,-0.5732821,1.0006387,2.0386691,-0.6439893
116,,-4.883888651150473,17.471387927536480,-13.0634327,0.0000000,0.0000000,0.3769783,-0.6344035,4.0000000,-0.6255921,1.0005693,1.9213785,-0.6432148
117,,-4.876432011150473,17.471387927536480,-13.0635176,0.0000000,0.0000000,0.4155908,-0.6635612,4.0000000,-0.6860834,1.0005345,1.8573180,-0.6410390
118,,-4.868975371150473,17.471387927536480,-13.0635595,0.0000000,0.0000000,0.4580635,-0.6953634,5.0000000,-0.7544839,1.0005337,1.8557439,-0.6362429
119,,-4.861518731150473,17.471387927536480,-13.0635586,0.0000000,0.0000000,0.5051411,-0.7295543,4.0000000,-0.8265974,1.0005714,1.9195395,-0.6325112
120,,-4.854062091150473,17.471387927536480,-13.0635128,0.0000000,0.0000000,0.5501931,-0.7614709,4.0000000,-0.8938037,1.0006504,2.0457332,-0.6291382
121,,-4.846605451150473,17.471387927536480,-13.0634212,0.0000000,0.0000000,0.5944225,-0.7920746,4.0000000,-0.9538223,1.0007725,2.2317097,-0.6303268
122,,-4.839148811150473,17.471387927536480,-13.0632820,-0.0000826,0.0000000,0.6345175,-0.8193938,4.0000000,-1.0046110,1.0009426,2.4682064,-0.6341765
123,,-4.831692171150473,17.471387927536480,-13.0630941,-0.0002479,0.0000000,0.6697462,-0.8434165,4.0000000,-1.0464548,1.0011650,2.7463138,-0.6403782
124,,-4.824235531150473,17.471387927536480,-13.0628567,-0.0004959,0.0000000,0.6883944,-0.8570520,4.0000000,-1.0717309,1.0014400,3.0566092,-0.6423732
125,,-4.816778891150473,17.471387927536480,-13.0625687,-0.0008264,0.0000000,0.6882914,-0.8603038,5.0000000,-1.0861256,1.0017675,3.3914814,-0.6344819
126,,-4.809322251150473,17.471387927536480,-13.0622311,-0.0013223,0.0000000,0.6653835,-0.8505193,4.0000000,-1.0872846,1.0021451,3.7378471,-0.6137540
127,,-4.958455051150472,17.463931287536479,-13.0600948,-0.0050413,0.0000000,0.1133347,-0.4493810,4.0000000,-0.2358763,1.0028579,4.3257332,-0.6628857
128,,-4.950998411150472,17.463931287536479,-13.0605955,-0.0041322,0.0000000,0.1429110,-0.4732553,4.0000000,-0.2732623,1.0024792,4.0310984,-0.6732484
129,,-4.943541771150472,17.463931287536479,-13.0610533,-0.0032231,0.0000000,0.1726150,-0.4947082,4.0000000,-0.3100552,1.0021344,3.7387545,-0.6793612
130,,-4.936085131150472,17.463931287536479,-13.0614691,-0.0023140,0.0000000,0.2008125,-0.5142161,4.0000000,-0.3444194,1.0018276,3.4579451,-0.6840127
131,,-4.928628491150472,17.463931287536479,-13.0618429,-0.0014050,0.0000000,0.2275989,-0.5332372,4.0000000,-0.3783685,1.0015535,3.1875436,-0.6881058
