OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
1160,,-6.419956491150472,22.459880087536479,-12.6372948,0.0022314,31.4049587,-0.1141247,-0.6491403,4.0000000,-0.5183949,1.0217589,11.8214407,-0.7798856
1161,,-6.412499851150472,22.459880087536479,-12.6377878,0.0028099,34.7107430,-0.2271833,-0.5932323,4.0000000,-0.4503950,1.0222850,11.9626732,-0.7360696
1162,,-6.405043211150472,22.459880087536479,-12.6382294,0.0032231,37.1900826,-0.3400868,-0.5307740,4.0000000,-0.3727349,1.0230305,12.1586370,-0.6888130
1163,,-6.397586571150472,22.459880087536479,-12.6386242,0.0037190,40.4958687,-0.4483002,-0.4642611,4.0000000,-0.2870127,1.0239786,12.4024229,-0.6415095
1164,,-6.390129931150472,22.459880087536479,-12.6389809,0.0040496,42.9752083,-0.5492363,-0.3954996,4.0000000,-0.1935463,1.0251057,12.6858120,-0.5974529
1165,,-6.718222091150473,22.452423447536479,-12.5781279,0.0028926,42.1487617,-0.3963708,-0.3125435,4.0000000,-0.4819197,1.0726198,21.2067108,-0.1431673
1166,,-6.710765451150473,22.452423447536479,-12.5800409,-0.0052066,14.0495872,-0.3520573,-0.3397545,4.0000000,-0.5463573,1.0725390,21.1949158,-0.1331517
1167,,-6.703308811150473,22.452423447536479,-12.5819702,-0.0033058,19.0082645,-0.3062645,-0.3674323,4.0000000,-0.6100730,1.0722946,21.1609154,-0.1247916
1168,,-6.695852171150473,22.452423447536479,-12.5839128,-0.0014876,24.7933884,-0.2672193,-0.3920710,4.0000000,-0.6719226,1.0718689,21.1022320,-0.1122194
1169,,-6.688395531150473,22.452423447536479,-12.5858641,0.0004132,31.4049587,-0.2323814,-0.4145344,4.0000000,-0.7299160,1.0712850,21.0200138,-0.0991529
