OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
924,,-6.613829131150471,19.201328407536479,-13.1683559,0.0021488,35.5371895,-1.6302894,-1.7761213,4.0000000,0.3509338,1.0460814,17.0364742,-3.9031763
925,,-6.606372491150471,19.201328407536479,-13.1701765,-0.0058678,8.2644625,-1.5541118,-1.7352035,4.0000000,0.3909264,1.0454221,16.9229641,-3.8613334
926,,-6.598915851150471,19.201328407536479,-13.1718836,-0.0041322,12.3966942,-1.4241068,-1.6846042,5.0000000,0.3787846,1.0453001,16.9037094,-3.7479930
927,,-6.591459211150471,19.201328407536479,-13.1734819,-0.0025620,17.3553715,-1.2588373,-1.6235932,5.0000000,0.3261375,1.0456443,16.9695873,-3.5733237
928,,-6.442326411150471,19.201328407536479,-13.1941319,-0.0010744,25.6198349,-0.6844740,-0.5297787,4.0000000,-0.6215261,1.0506209,17.8622379,-0.4380313
929,,-6.434869771150471,19.201328407536479,-13.1950722,-0.0001653,28.9256191,-0.6987545,-0.5609248,4.0000000,-0.6944090,1.0488733,17.5615311,-0.4274405
930,,-6.427413131150471,19.201328407536479,-13.1960163,0.0007438,33.0578499,-0.6872973,-0.5942673,4.0000000,-0.7599772,1.0470848,17.2472019,-0.4285574
931,,-6.419956491150471,19.201328407536479,-13.1969614,0.0015702,36.3636360,-0.6445381,-0.6331137,4.0000000,-0.8211421,1.0452862,16.9247818,-0.4450854
932,,-6.412499851150471,19.201328407536479,-13.1979055,0.0024793,40.4958687,-0.5720046,-0.6759018,4.0000000,-0.8756946,1.0434871,16.5960293,-0.4761091
933,,-6.405043211150471,19.201328407536479,-13.1988459,0.0033058,44.6280975,-0.4744132,-0.7215995,4.0000000,-0.9241521,1.0417194,16.2658730,-0.5190468
934,,-6.397586571150471,19.201328407536479,-13.1997795,0.0042149,48.7603302,-0.3564256,-0.7695400,4.0000000,-0.9644977,1.0399984,15.9354897,-0.5745822
935,,-6.390129931150471,19.201328407536479,-13.2007027,-0.0049587,4.9586778,-0.2191177,-0.8204558,4.0000000,-1.0002621,1.0383269,15.6079073,-0.6406496
936,,-6.382673291150471,19.201328407536479,-13.2016125,-0.0040496,7.4380164,-0.0718221,-0.8719838,4.0000000,-1.0304264,1.0367044,15.2847366,-0.7135413
937,,-6.375216651150471,19.201328407536479,-13.2025061,-0.0032231,9.9173555,0.0882265,-0.9254440,4.0000000,-1.0570790,1.0351382,14.9647465,-0.7938090
938,,-6.367760011150471,19.201328407536479,-13.2033787,-0.0022314,13.2231407,0.2564349,-0.9809598,4.0000000,-1.0822740,1.0336436,14.6504316,-0.8796458
939,,-6.360303371150471,19.201328407536479,-13.2042274,-0.0014050,16.5289249,0.4366243,-1.0387781,4.0000000,-1.1061267,1.0322015,14.3396635,-0.9714295
940,,-6.352846731150471,19.201328407536479,-13.2050486,-0.0004959,20.6611576,0.6240028,-1.0978618,4.0000000,-1.1306057,1.0308055,14.0342979,-1.0651180
941,,-6.345390091150471,19.201328407536479,-13.2058372,0.0003306,24.7933884,0.8205845,-1.1593989,4.0000000,-1.1567107,1.0294584,13.7314787,-1.1620872
942,,-6.337933451150471,19.201328407536479,-13.2065887,0.0011570,28.9256191,1.0260332,-1.2233465,4.0000000,-1.1863127,1.0281564,13.4309616,-1.2603803
943,,-6.330476811150471,19.201328407536479,-13.2072992,0.0019008,33.0578499,1.2220566,-1.2834802,4.0000000,-1.2125973,1.0268941,13.1309595,-1.3543632
944,,-6.323020171150471,19.201328407536479,-13.2079630,0.0026446,37.1900826,1.4284993,-1.3452394,4.0000000,-1.2432188,1.0256726,12.8371763,-1.4472599
945,,-6.315563531150471,19.201328407536479,-13.2085762,0.0032231,40.4958687,1.6466616,-1.4088925,4.0000000,-1.2797519,1.0244994,12.5444584,-1.5380330
