OID_,ClipsFinal_DEM_Large_S3_RegK,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-3.593889931150471,18.612253847536479,-12.9956160,0.0009917,20.6611576,-0.4908059,0.0077114,4.0000000,-0.2525757,1.0160544,10.2069387,0.2679985,1.0463437
2,-12,-3.586433291150471,18.612253847536479,-12.9959173,0.0013223,21.4876041,-0.5616077,-0.0288710,4.0000000,-0.3703085,1.0151124,9.9050550,0.3125665,1.1976682
3,-12,-3.578976651150471,18.612253847536479,-12.9962177,0.0015702,22.3140488,-0.6383212,-0.0606268,4.0000000,-0.4769002,1.0141059,9.5739660,0.3556465,1.3690093
4,-12,-3.571520011150471,18.612253847536479,-12.9965096,0.0018182,23.1404953,-0.7200211,-0.0870740,4.0000000,-0.5697478,1.0130548,9.2138042,0.3955997,1.5535371
5,-12,-3.564063371150471,18.612253847536479,-12.9967899,0.0020661,23.9669418,-0.8024063,-0.1088628,4.0000000,-0.6504437,1.0119803,8.8265982,0.4327182,1.7389330
6,-12,-3.556606731150471,18.612253847536479,-12.9970551,0.0023140,24.7933884,-0.8830208,-0.1278468,4.0000000,-0.7208405,1.0108900,8.4167404,0.4651469,1.9195317
7,-12,-3.549150091150471,18.612253847536479,-12.9973021,0.0024793,25.6198349,-0.9625961,-0.1420686,4.0000000,-0.7769378,1.0098000,7.9867754,0.4928007,2.0931597
8,-12,-3.541693451150471,18.612253847536479,-12.9975262,0.0026446,26.4462814,-1.0403111,-0.1528999,4.0000000,-0.8199310,1.0087259,7.5377235,0.5141311,2.2584150
9,-12,-3.534236811150471,18.612253847536479,-12.9977255,0.0027273,27.2727280,-1.1143383,-0.1588316,4.0000000,-0.8470258,1.0076821,7.0726829,0.5293625,2.4088686
10,-12,-3.526780171150471,18.612253847536479,-12.9978981,0.0026446,26.4462814,-1.1841089,-0.1595418,4.0000000,-0.8567937,1.0066839,6.5973754,0.5377102,2.5427203
11,-12,-3.519323531150471,18.612253847536479,-12.9980412,0.0025620,25.6198349,-1.2489265,-0.1588205,4.0000000,-0.8543701,1.0057423,6.1141138,0.5367291,2.6639545
12,-12,-3.601346571150471,18.604797207536482,-12.9966612,0.0021488,28.0991745,-0.4125399,-0.0272468,4.0000000,-0.1430493,1.0165992,10.3774691,0.0885557,0.8849806
13,-12,-3.593889931150471,18.604797207536482,-12.9969215,0.0024793,29.7520657,-0.4675913,-0.0662851,4.0000000,-0.2615197,1.0157273,10.1051140,0.1289495,1.0160094
14,-12,-3.586433291150471,18.604797207536482,-12.9971828,0.0027273,30.5785122,-0.5253897,-0.1009524,4.0000000,-0.3702015,1.0147965,9.8038063,0.1682968,1.1611730
15,-12,-3.578976651150471,18.604797207536482,-12.9974384,0.0028926,31.4049587,-0.5896597,-0.1312445,4.0000000,-0.4680223,1.0138130,9.4738894,0.2055333,1.3239412
16,-12,-3.571520011150471,18.604797207536482,-12.9976835,0.0030579,32.2314034,-0.6583332,-0.1557267,4.0000000,-0.5504172,1.0127918,9.1201172,0.2389638,1.4941782
17,-12,-3.564063371150471,18.604797207536482,-12.9979153,0.0032231,33.0578499,-0.7290547,-0.1738538,4.0000000,-0.6172421,1.0117487,8.7421427,0.2695345,1.6622509
18,-12,-3.556606731150471,18.604797207536482,-12.9981298,0.0033884,33.8842964,-0.8043839,-0.1891137,4.0000000,-0.6751637,1.0106931,8.3422823,0.2969363,1.8362629
19,-12,-3.549150091150471,18.604797207536482,-12.9983225,0.0034711,34.7107430,-0.8766918,-0.2010175,4.0000000,-0.7191525,1.0096431,7.9241228,0.3171176,1.9983634
20,-12,-3.541693451150471,18.604797207536482,-12.9984922,0.0035537,35.5371895,-0.9455668,-0.2071007,4.0000000,-0.7452958,1.0086151,7.4899025,0.3310945,2.1426294
21,-12,-3.534236811150471,18.604797207536482,-12.9986353,0.0036364,36.3636360,-1.0132298,-0.2096864,4.0000000,-0.7555491,1.0076202,7.0449085,0.3361763,2.2773495
22,-12,-3.526780171150471,18.604797207536482,-12.9987497,0.0035537,35.5371895,-1.0766147,-0.2084695,4.0000000,-0.7485432,1.0066711,6.5925794,0.3316043,2.3958452
23,-12,-3.519323531150471,18.604797207536482,-12.9988356,0.0034711,34.7107430,-1.1381078,-0.2058125,4.0000000,-0.7259467,1.0057775,6.1341000,0.3143217,2.5075457
24,-12,-3.511866891150471,18.604797207536482,-12.9988890,0.0033884,33.8842964,-1.1949250,-0.1992631,4.0000000,-0.6806421,1.0049450,5.6727490,0.2821159,2.6030858
25,-12,-3.504410251150471,18.604797207536482,-12.9989100,0.0032231,32.2314034,-1.2428961,-0.1892701,5.0000000,-0.6057592,1.0041822,5.2162347,0.2272190,2.6757665
26,-12,-3.496953611150471,18.604797207536482,-12.9988966,0.0029752,29.7520657,-1.2831607,-0.1765066,4.0000000,-0.5020087,1.0034972,4.7665348,0.1489955,2.7301106
27,-12,-3.608803211150471,18.597340567536481,-12.9977751,0.0033058,35.5371895,-0.3596694,-0.0572444,4.0000000,-0.0338765,1.0169477,10.4857016,-0.0806123,0.7832977
28,-12,-3.601346571150471,18.597340567536481,-12.9979963,0.0035537,37.1900826,-0.3925491,-0.1017967,4.0000000,-0.1598691,1.0161620,10.2421570,-0.0437244,0.8822255
29,-12,-3.593889931150471,18.597340567536481,-12.9982195,0.0038017,38.8429756,-0.4340814,-0.1389441,4.0000000,-0.2694513,1.0153121,9.9700718,-0.0084369,1.0070972
30,-12,-3.586433291150471,18.597340567536481,-12.9984398,0.0039669,39.6694221,-0.4796357,-0.1716983,4.0000000,-0.3686314,1.0144005,9.6723127,0.0252348,1.1448441
31,-13,-3.578976651150471,18.597340567536481,-12.9986534,0.0040496,40.4958687,-0.5308381,-0.1995767,4.0000000,-0.4553761,1.0134441,9.3495169,0.0562226,1.2939357
32,-13,-3.571520011150471,18.597340567536481,-12.9988537,0.0041322,41.3223152,-0.5869833,-0.2230260,4.0000000,-0.5292448,1.0124632,9.0021238,0.0831929,1.4499173
33,-13,-3.564063371150471,18.597340567536481,-12.9990377,0.0042149,42.1487617,-0.6499515,-0.2386492,4.0000000,-0.5851575,1.0114617,8.6364584,0.1078591,1.6070107
34,-13,-3.556606731150471,18.597340567536481,-12.9992018,0.0042975,42.9752083,-0.7153389,-0.2504377,4.0000000,-0.6283159,1.0104536,8.2498245,0.1274406,1.7612997
35,-13,-3.549150091150471,18.597340567536481,-12.9993439,0.0043802,43.8016510,-0.7802029,-0.2588124,4.0000000,-0.6583272,1.0094578,7.8472300,0.1407024,1.9066252
36,-13,-3.541693451150471,18.597340567536481,-12.9994602,0.0044628,44.6280975,-0.8426879,-0.2627701,4.0000000,-0.6707150,1.0084829,7.4342103,0.1451748,2.0364907
37,-13,-3.534236811150471,18.597340567536481,-12.9995489,0.0045455,45.4545441,-0.9034668,-0.2624874,4.0000000,-0.6645686,1.0075454,7.0122657,0.1395937,2.1526103
38,-13,-3.526780171150471,18.597340567536481,-12.9996080,0.0044628,44.6280975,-0.9639491,-0.2576517,4.0000000,-0.6396549,1.0066551,6.5833459,0.1243514,2.2576425
39,-13,-3.519323531150471,18.597340567536481,-12.9996367,0.0043802,43.8016510,-1.0208517,-0.2525587,5.0000000,-0.5990167,1.0058137,6.1538086,0.0938993,2.3547239
40,-13,-3.511866891150471,18.597340567536481,-12.9996328,0.0042975,42.9752083,-1.0726697,-0.2438022,4.0000000,-0.5338762,1.0050334,5.7268400,0.0462718,2.4341767
41,-13,-3.504410251150471,18.597340567536481,-12.9995956,0.0041322,41.3223152,-1.1193277,-0.2311047,4.0000000,-0.4390517,1.0043252,5.3067279,-0.0231578,2.4964783
42,-13,-3.496953611150471,18.597340567536481,-12.9995241,0.0038843,38.8429756,-1.1604404,-0.2144144,4.0000000,-0.3140439,1.0036924,4.9006872,-0.1147848,2.5423775
43,-13,-3.489496971150471,18.597340567536481,-12.9994192,0.0035537,35.5371895,-1.1961637,-0.1990599,4.0000000,-0.1627672,1.0031358,4.5135789,-0.2353525,2.5825367
44,-12,-3.482040331150471,18.597340567536481,-12.9992790,0.0031405,31.4049587,-1.2280109,-0.1821331,4.0000000,0.0252152,1.0026586,4.1523957,-0.3894815,2.6152723
45,-12,-3.623716491150471,18.589883927536480,-12.9987774,0.0042149,42.1487617,-0.3282563,-0.0352715,4.0000000,0.2082927,1.0177268,10.7207212,-0.2788357,0.7085422
46,-13,-3.616259851150471,18.589883927536480,-12.9989471,0.0042975,42.9752083,-0.3315340,-0.0860378,4.0000000,0.0718063,1.0171034,10.5321808,-0.2438819,0.7394559
47,-13,-3.608803211150471,18.589883927536480,-12.9991293,0.0044628,44.6280975,-0.3424367,-0.1335867,4.0000000,-0.0560316,1.0164022,10.3169966,-0.2111417,0.8057911
48,-13,-3.601346571150471,18.589883927536480,-12.9993162,0.0046281,46.2809906,-0.3619161,-0.1757781,4.0000000,-0.1740044,1.0156318,10.0749903,-0.1775518,0.9017639
49,-13,-3.593889931150471,18.589883927536480,-12.9995041,0.0047934,47.9338837,-0.3898349,-0.2112506,4.0000000,-0.2759046,1.0148025,9.8060579,-0.1465967,1.0180308
50,-13,-3.586433291150471,18.589883927536480,-12.9996853,0.0048760,48.7603302,-0.4240296,-0.2413703,4.0000000,-0.3648826,1.0139222,9.5119219,-0.1178580,1.1462038
51,-13,-3.578976651150471,18.589883927536480,-12.9998560,0.0049587,49.5867767,-0.4639167,-0.2677662,4.0000000,-0.4424101,1.0130059,9.1964998,-0.0931223,1.2843089
52,-13,-3.571520011150471,18.589883927536480,-13.0000134,-0.0049587,0.0000000,-0.5094673,-0.2882437,4.0000000,-0.5063096,1.0120677,8.8616705,-0.0701777,1.4241798
53,-13,-3.564063371150471,18.589883927536480,-13.0001516,-0.0048760,0.0000000,-0.5616721,-0.3030295,4.0000000,-0.5529840,1.0111198,8.5071583,-0.0530750,1.5651879
54,-13,-3.556606731150471,18.589883927536480,-13.0002680,-0.0047934,0.0000000,-0.6184607,-0.3118001,4.0000000,-0.5824654,1.0101711,8.1375465,-0.0411349,1.7001485
55,-13,-3.549150091150471,18.589883927536480,-13.0003605,-0.0047107,0.0000000,-0.6756399,-0.3168679,4.0000000,-0.5986010,1.0092335,7.7561069,-0.0351348,1.8254137
56,-13,-3.541693451150471,18.589883927536480,-13.0004253,-0.0046281,0.0000000,-0.7322862,-0.3179662,4.0000000,-0.5973532,1.0083239,7.3646841,-0.0385791,1.9380860
57,-13,-3.534236811150471,18.589883927536480,-13.0004616,-0.0045455,0.0000000,-0.7907693,-0.3152751,4.0000000,-0.5775682,1.0074501,6.9680200,-0.0529820,2.0437896
58,-13,-3.526780171150471,18.589883927536480,-13.0004683,-0.0046281,0.0000000,-0.8466068,-0.3077704,5.0000000,-0.5372166,1.0066200,6.5695739,-0.0783241,2.1312814
59,-13,-3.519323531150471,18.589883927536480,-13.0004416,-0.0047107,0.0000000,-0.8997234,-0.2992630,4.0000000,-0.4806910,1.0058444,6.1719460,-0.1178349,2.2110410
60,-13,-3.511866891150471,18.589883927536480,-13.0003824,-0.0047934,0.0000000,-0.9474794,-0.2880492,4.0000000,-0.4002383,1.0051297,5.7809711,-0.1758601,2.2740867
61,-13,-3.504410251150471,18.589883927536480,-13.0002890,-0.0049587,0.0000000,-0.9907802,-0.2716632,4.0000000,-0.2919824,1.0044801,5.4019356,-0.2513439,2.3178694
62,-13,-3.496953611150471,18.589883927536480,-13.0001621,-0.0052066,0.0000000,-1.0324163,-0.2534726,4.0000000,-0.1584357,1.0038997,5.0386415,-0.3485096,2.3573115
63,-13,-3.489496971150471,18.589883927536480,-13.0000000,0.0044628,44.6280975,-1.0693570,-0.2366196,4.0000000,-0.0043757,1.0033915,4.6979895,-0.4688636,2.3931954
64,-13,-3.482040331150471,18.589883927536480,-12.9998035,0.0039669,39.6694221,-1.1018798,-0.2167397,4.0000000,0.1785158,1.0029603,4.3880091,-0.6119952,2.4178843
65,-13,-3.474583691150471,18.589883927536480,-12.9995718,0.0034711,34.7107430,-1.1277840,-0.1955151,4.0000000,0.3771967,1.0026075,4.1127720,-0.7682270,2.4311182
66,-12,-3.467127051150471,18.589883927536480,-12.9993048,0.0029752,29.7520657,-1.1499535,-0.1741714,4.0000000,0.5787565,1.0023279,3.8852668,-0.9270992,2.4412134
67,-13,-3.631173131150471,18.582427287536479,-13.0000401,-0.0049587,0.0000000,-0.3463872,-0.0516154,4.0000000,0.3163462,1.0175904,10.6801662,-0.4195771,0.7516924
68,-13,-3.623716491150471,18.582427287536479,-13.0001678,-0.0048760,0.0000000,-0.3288847,-0.1073726,4.0000000,0.1775101,1.0170428,10.5129662,-0.3922553,0.7488796
69,-13,-3.616259851150471,18.582427287536479,-13.0003109,-0.0047934,0.0000000,-0.3188670,-0.1581835,4.0000000,0.0464408,1.0164250,10.3237362,-0.3628077,0.7831627
70,-13,-3.608803211150471,18.582427287536479,-13.0004625,-0.0046281,0.0000000,-0.3163581,-0.2052880,4.0000000,-0.0754841,1.0157410,10.1090851,-0.3350920,0.8495508
71,-13,-3.601346571150471,18.582427287536479,-13.0006170,-0.0044628,0.0000000,-0.3220053,-0.2474963,4.0000000,-0.1875074,1.0149971,9.8691235,-0.3074852,0.9418395
72,-13,-3.593889931150471,18.582427287536479,-13.0007687,-0.0042975,0.0000000,-0.3387985,-0.2805751,4.0000000,-0.2807792,1.0141979,9.6056328,-0.2803710,1.0502269
73,-13,-3.586433291150471,18.582427287536479,-13.0009117,-0.0042149,0.0000000,-0.3625256,-0.3082789,4.0000000,-0.3596028,1.0133595,9.3204832,-0.2569549,1.1673836
74,-13,-3.578976651150471,18.582427287536479,-13.0010433,-0.0041322,0.0000000,-0.3916403,-0.3331616,4.0000000,-0.4288551,1.0124962,9.0153770,-0.2374682,1.2932432
75,-13,-3.571520011150471,18.582427287536479,-13.0011578,-0.0040496,0.0000000,-0.4256903,-0.3535342,4.0000000,-0.4849997,1.0116118,8.6925573,-0.2220686,1.4198176
76,-13,-3.564063371150471,18.582427287536479,-13.0012522,-0.0039669,0.0000000,-0.4681795,-0.3650700,4.0000000,-0.5194536,1.0107204,8.3547859,-0.2106863,1.5386294
77,-13,-3.556606731150471,18.582427287536479,-13.0013227,-0.0038843,0.0000000,-0.5156245,-0.3717511,4.0000000,-0.5373403,1.0098360,8.0044317,-0.2061618,1.6523896
78,-13,-3.549150091150471,18.582427287536479,-13.0013666,-0.0038017,0.0000000,-0.5647961,-0.3756535,4.0000000,-0.5429592,1.0089688,7.6455431,-0.2083478,1.7603666
79,-13,-3.541693451150471,18.582427287536479,-13.0013838,-0.0037190,0.0000000,-0.6179965,-0.3741173,5.0000000,-0.5291073,1.0081302,7.2792420,-0.2191272,1.8588505
80,-13,-3.534236811150471,18.582427287536479,-13.0013695,-0.0036364,0.0000000,-0.6714267,-0.3680329,4.0000000,-0.4969601,1.0073266,6.9104919,-0.2391057,1.9433038
81,-13,-3.526780171150471,18.582427287536479,-13.0013237,-0.0037190,0.0000000,-0.7224131,-0.3580918,4.0000000,-0.4435911,1.0065656,6.5431128,-0.2725924,2.0112615
82,-13,-3.519323531150471,18.582427287536479,-13.0012455,-0.0038017,0.0000000,-0.7714875,-0.3468791,4.0000000,-0.3758448,1.0058584,6.1815443,-0.3179133,2.0725434
83,-13,-3.511866891150471,18.582427287536479,-13.0011339,-0.0038843,0.0000000,-0.8179738,-0.3322244,4.0000000,-0.2847843,1.0052131,5.8294702,-0.3796644,2.1203191
84,-13,-3.504410251150471,18.582427287536479,-13.0009871,-0.0040496,0.0000000,-0.8628721,-0.3138444,4.0000000,-0.1707184,1.0046299,5.4940042,-0.4569704,2.1574643
85,-13,-3.496953611150471,18.582427287536479,-13.0008059,-0.0042975,0.0000000,-0.9048067,-0.2929330,4.0000000,-0.0355288,1.0041107,5.1757956,-0.5503371,2.1858304
86,-13,-3.489496971150471,18.582427287536479,-13.0005894,-0.0046281,0.0000000,-0.9420004,-0.2736028,4.0000000,0.1127485,1.0036607,4.8820629,-0.6599542,2.2123041
87,-13,-3.482040331150471,18.582427287536479,-13.0003386,-0.0051240,0.0000000,-0.9743657,-0.2522227,4.0000000,0.2781093,1.0032798,4.6212163,-0.7825546,2.2285650
88,-13,-3.474583691150471,18.582427287536479,-13.0000525,-0.0057025,0.0000000,-1.0047807,-0.2282940,4.0000000,0.4508622,1.0029690,4.3974056,-0.9074503,2.2406628
89,-13,-3.467127051150471,18.582427287536479,-12.9997320,0.0037190,37.1900826,-1.0297766,-0.2049813,4.0000000,0.6148425,1.0027318,4.2143455,-1.0248051,2.2482207
90,-12,-3.459670411150471,18.582427287536479,-12.9993763,0.0031405,31.4049587,-1.0507268,-0.1805917,5.0000000,0.7581990,1.0025647,4.0819006,-1.1193825,2.2512417
91,-13,-3.646086411150471,18.574970647536482,-13.0012865,-0.0040496,0.0000000,-0.4300202,0.0037570,4.0000000,0.5701444,1.0177130,10.7148600,-0.5626304,0.9235373
92,-13,-3.638629771150471,18.574970647536482,-13.0013428,-0.0040496,0.0000000,-0.3883564,-0.0594433,4.0000000,0.4247438,1.0172856,10.5861254,-0.5436304,0.8431255
93,-13,-3.631173131150471,18.574970647536482,-13.0014267,-0.0040496,0.0000000,-0.3516976,-0.1195046,4.0000000,0.2829548,1.0168018,10.4381323,-0.5219640,0.8063622
94,-13,-3.623716491150471,18.574970647536482,-13.0015297,-0.0039669,0.0000000,-0.3216293,-0.1741148,4.0000000,0.1492537,1.0162535,10.2700424,-0.4974833,0.8079334
95,-13,-3.616259851150471,18.574970647536482,-13.0016460,-0.0038843,0.0000000,-0.2985362,-0.2266367,4.0000000,0.0220159,1.0156469,10.0795908,-0.4752893,0.8467005
