OID_,ClipsFinal_DEM_Large_S3_RegI,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-5.569899531150471,22.534446487536478,-12.7607689,-0.0040496,24.7933884,-0.1588083,0.0327789,4.0000000,-0.0519593,1.1111110,25.8461342,0.1175171,0.4876827
2,-12,-5.562442891150471,22.534446487536478,-12.7623291,-0.0024793,28.9256191,-0.1620183,0.0270903,4.0000000,-0.0955664,1.1111054,25.8466568,0.1497470,0.4952067
3,-12,-5.554986251150471,22.534446487536478,-12.7638655,-0.0009917,33.0578499,-0.1654990,0.0214918,4.0000000,-0.1401319,1.1109539,25.8310261,0.1831156,0.5044343
4,-12,-5.577356171150471,22.526989847536477,-12.7624369,-0.0023140,29.7520657,-0.1596963,0.0052176,4.0000000,-0.0327329,1.1126398,26.0087662,0.0431681,0.4895776
5,-12,-5.569899531150471,22.526989847536477,-12.7640343,-0.0008264,33.8842964,-0.1588535,0.0018098,4.0000000,-0.0724713,1.1127552,26.0207329,0.0760908,0.4874145
6,-12,-5.562442891150471,22.526989847536477,-12.7656059,0.0006612,38.0165291,-0.1614408,-0.0058321,4.0000000,-0.1192317,1.1127239,26.0190849,0.1075676,0.4970797
7,-12,-5.554986251150471,22.526989847536477,-12.7671509,0.0021488,42.1487617,-0.1646253,-0.0114531,4.0000000,-0.1647925,1.1125503,25.9992886,0.1418862,0.5092911
8,-12,-5.547529611150471,22.526989847536477,-12.7686682,0.0036364,46.2809906,-0.1699575,-0.0166203,4.0000000,-0.2109652,1.1122199,25.9652824,0.1777246,0.5288338
9,-12,-5.540072971150471,22.526989847536477,-12.7701540,-0.0047934,23.1404953,-0.1758370,-0.0202059,4.0000000,-0.2545041,1.1117373,25.9146900,0.2140924,0.5498133
10,-12,-5.532616331150471,22.526989847536477,-12.7716084,-0.0032231,27.2727280,-0.1855541,-0.0271650,4.0000000,-0.3021651,1.1111186,25.8487206,0.2478350,0.5851274
11,-12,-5.525159691150471,22.526989847536477,-12.7730293,-0.0019835,30.5785122,-0.1978950,-0.0322759,4.0000000,-0.3480358,1.1103548,25.7660408,0.2834839,0.6278560
12,-12,-5.517703051150471,22.526989847536477,-12.7744150,-0.0004959,34.7107430,-0.2131665,-0.0401801,4.0000000,-0.3960322,1.1094301,25.6673203,0.3156720,0.6823288
13,-12,-5.510246411150471,22.526989847536477,-12.7757635,0.0006612,38.0165291,-0.2283764,-0.0452844,4.0000000,-0.4393341,1.1083623,25.5530319,0.3487653,0.7342580
14,-12,-5.502789771150471,22.526989847536477,-12.7770729,0.0019008,41.3223152,-0.2478048,-0.0528924,4.0000000,-0.4857934,1.1071773,25.4232960,0.3800086,0.8018255
15,-12,-5.584812811150471,22.519533207536480,-12.7640762,-0.0008264,33.8842964,-0.1602167,-0.0229029,4.0000000,-0.0107119,1.1139956,26.1508999,-0.0350939,0.4964614
16,-12,-5.577356171150471,22.519533207536480,-12.7657118,0.0009091,38.8429756,-0.1583472,-0.0277897,4.0000000,-0.0521281,1.1142076,26.1727295,-0.0034512,0.4939315
17,-12,-5.569899531150471,22.519533207536480,-12.7673225,0.0023967,42.9752083,-0.1567761,-0.0321073,4.0000000,-0.0945501,1.1142856,26.1835461,0.0303356,0.4929128
18,-12,-5.562442891150471,22.519533207536480,-12.7689066,0.0039669,47.1074371,-0.1583357,-0.0399077,4.0000000,-0.1429142,1.1142305,26.1765270,0.0630988,0.5044245
19,-12,-5.554986251150471,22.519533207536480,-12.7704620,-0.0044628,23.9669418,-0.1605719,-0.0463364,4.0000000,-0.1902850,1.1140219,26.1546612,0.0976122,0.5185429
20,-12,-5.547529611150471,22.519533207536480,-12.7719860,-0.0028926,28.0991745,-0.1648532,-0.0519866,4.0000000,-0.2374627,1.1136546,26.1166992,0.1334895,0.5394142
21,-12,-5.540072971150471,22.519533207536480,-12.7734776,-0.0014050,32.2314034,-0.1700013,-0.0562984,4.0000000,-0.2819571,1.1131495,26.0638542,0.1693603,0.5623135
22,-12,-5.532616331150471,22.519533207536480,-12.7749348,0.0000826,36.3636360,-0.1787436,-0.0621236,4.0000000,-0.3296205,1.1125005,25.9945831,0.2053733,0.5985129
23,-12,-5.525159691150471,22.519533207536480,-12.7763567,0.0012397,39.6694221,-0.1904109,-0.0677166,4.0000000,-0.3768283,1.1116956,25.9103909,0.2413952,0.6439992
24,-12,-5.517703051150471,22.519533207536480,-12.7777405,0.0027273,43.8016510,-0.2047838,-0.0743248,4.0000000,-0.4245725,1.1107357,25.8081036,0.2759230,0.6993840
25,-12,-5.510246411150471,22.519533207536480,-12.7790842,0.0039669,47.1074371,-0.2197198,-0.0788035,4.0000000,-0.4677127,1.1096488,25.6909485,0.3101057,0.7534094
26,-12,-5.502789771150471,22.519533207536480,-12.7803879,-0.0047107,23.1404953,-0.2392028,-0.0853570,4.0000000,-0.5138915,1.1084291,25.5590916,0.3431776,0.8243598
