OID_,ClipsFinal_DEM_Large_S3_RegE,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-6.770418571150471,19.477224087536477,-13.0693188,0.0045455,48.7603302,-1.0833963,-0.2031917,4.0000000,0.8502575,1.1016839,24.8131313,-1.2566408,3.2533989
2,-13,-6.762961931150471,19.477224087536477,-13.0726891,-0.0024793,30.5785122,-1.1468217,-0.2348265,4.0000000,0.8613354,1.0978452,24.3753033,-1.3309884,3.4354336
3,-13,-6.755505291150471,19.477224087536477,-13.0759821,0.0009091,39.6694221,-1.2104038,-0.2621854,4.0000000,0.8656853,1.0937531,23.8983593,-1.3900561,3.6150017
4,-13,-6.748048651150471,19.477224087536477,-13.0791931,0.0042975,48.7603302,-1.2791108,-0.2874455,4.0000000,0.8637636,1.0894796,23.3853626,-1.4386547,3.8072824
5,-13,-6.785331851150471,19.469767447536476,-13.0628614,-0.0023140,31.4049587,-1.0018580,-0.1787875,4.0000000,0.7909367,1.1111023,25.8443871,-1.1485116,3.0907605
6,-13,-6.777875211150471,19.469767447536476,-13.0664034,0.0013223,40.4958687,-1.0573106,-0.2179752,4.0000000,0.8117762,1.1076441,25.4715672,-1.2477267,3.2609873
7,-13,-6.770418571150471,19.469767447536476,-13.0698767,0.0049587,49.5867767,-1.1151538,-0.2537399,4.0000000,0.8268567,1.1038681,25.0579987,-1.3343366,3.4420350
8,-13,-6.762961931150471,19.469767447536476,-13.0732746,-0.0019835,32.2314034,-1.1785218,-0.2874196,4.0000000,0.8355807,1.0998120,24.6006050,-1.4104198,3.6420410
9,-13,-6.755505291150471,19.469767447536476,-13.0765915,0.0014876,41.3223152,-1.2439359,-0.3162203,4.0000000,0.8378326,1.0954741,24.1005726,-1.4702730,3.8424287
10,-13,-6.748048651150471,19.469767447536476,-13.0798206,0.0047934,50.4132233,-1.3122311,-0.3415290,4.0000000,0.8328037,1.0909405,23.5627632,-1.5158616,4.0453548
11,-13,-6.740592011150471,19.469767447536476,-13.0829592,-0.0023140,29.7520657,-1.3892524,-0.3664294,4.0000000,0.8208838,1.0862439,22.9877720,-1.5537425,4.2725520
12,-13,-6.733135371150471,19.469767447536476,-13.0860014,0.0008264,38.8429756,-1.4736027,-0.3871758,4.0000000,0.8045118,1.0813813,22.3711433,-1.5788634,4.5063844
13,-13,-6.725678731150471,19.469767447536476,-13.0889435,0.0039669,47.9338837,-1.5556442,-0.4015102,4.0000000,0.7827877,1.0764270,21.7207184,-1.5858080,4.7110295
14,-13,-6.718222091150471,19.469767447536476,-13.0917816,-0.0033058,23.1404953,-1.6434797,-0.4130095,4.0000000,0.7570832,1.0714457,21.0427704,-1.5831022,4.9171634
15,-13,-6.710765451150471,19.469767447536476,-13.0945148,-0.0005785,32.2314034,-1.7388586,-0.4255829,4.0000000,0.7270699,1.0664611,20.3346558,-1.5782356,5.1405911
16,-13,-6.703308811150471,19.469767447536476,-13.0971394,0.0019835,41.3223152,-1.8361284,-0.4331141,4.0000000,0.6967727,1.0614995,19.5962925,-1.5630009,5.3439736
17,-13,-6.695852171150471,19.469767447536476,-13.0996552,0.0043802,50.4132233,-1.9244323,-0.4363798,4.0000000,0.6644330,1.0566064,18.8367176,-1.5371926,5.5031939
18,-13,-6.688395531150471,19.469767447536476,-13.1020594,-0.0029752,18.1818180,-2.0093319,-0.4375803,4.0000000,0.6326852,1.0518351,18.0593147,-1.5078459,5.6406898
19,-13,-6.792788491150471,19.462310807536479,-13.0597563,0.0048760,49.5867767,-0.9721881,-0.1826173,4.0000000,0.7383991,1.1171411,26.4775085,-1.1036336,3.0701964
20,-13,-6.785331851150471,19.462310807536479,-13.0634022,-0.0018182,33.0578499,-1.0251551,-0.2291102,4.0000000,0.7629975,1.1138643,26.1354580,-1.2212179,3.2498808
21,-13,-6.777875211150471,19.462310807536479,-13.0669832,0.0018182,42.1487617,-1.0786477,-0.2706815,4.0000000,0.7826954,1.1101961,25.7478733,-1.3240584,3.4367659
22,-13,-6.770418571150471,19.462310807536479,-13.0704899,-0.0045455,24.7933884,-1.1350253,-0.3097998,4.0000000,0.7952901,1.1061924,25.3141365,-1.4148897,3.6381440
23,-13,-6.762961931150471,19.462310807536479,-13.0739174,-0.0014050,33.8842964,-1.1967846,-0.3453793,4.0000000,0.8017330,1.1018975,24.8374691,-1.4924915,3.8560812
24,-13,-6.755505291150471,19.462310807536479,-13.0772591,0.0021488,42.9752083,-1.2624505,-0.3756766,4.0000000,0.8016449,1.0973108,24.3139095,-1.5529982,4.0768523
25,-13,-6.748048651150471,19.462310807536479,-13.0805082,-0.0046281,23.1404953,-1.3308547,-0.4013882,4.0000000,0.7939270,1.0925103,23.7507725,-1.5967035,4.2950740
26,-13,-6.740592011150471,19.462310807536479,-13.0836611,-0.0016529,32.2314034,-1.4082881,-0.4247570,4.0000000,0.7796499,1.0875522,23.1497078,-1.6291639,4.5317001
27,-13,-6.733135371150471,19.462310807536479,-13.0867128,0.0014876,41.3223152,-1.4953210,-0.4450506,4.0000000,0.7596210,1.0824399,22.5070305,-1.6497223,4.7819395
28,-13,-6.725678731150471,19.462310807536479,-13.0896587,0.0046281,50.4132233,-1.5831113,-0.4579228,4.0000000,0.7349600,1.0772338,21.8285904,-1.6508057,5.0025468
29,-13,-6.718222091150471,19.462310807536479,-13.0924959,-0.0026446,25.6198349,-1.6735101,-0.4671958,4.0000000,0.7046413,1.0720190,21.1215801,-1.6390330,5.2107472
30,-13,-6.710765451150471,19.462310807536479,-13.0952225,0.0000826,34.7107430,-1.7726009,-0.4757937,4.0000000,0.6704001,1.0668198,20.3853664,-1.6219876,5.4317241
31,-13,-6.703308811150471,19.462310807536479,-13.0978365,0.0026446,43.8016510,-1.8739908,-0.4802461,4.0000000,0.6348924,1.0616499,19.6189289,-1.5953846,5.6333795
32,-13,-6.695852171150471,19.462310807536479,-13.1003351,-0.0048760,11.5702477,-1.9685602,-0.4795511,4.0000000,0.5974562,1.0565675,18.8306427,-1.5565585,5.7895913
33,-13,-6.688395531150471,19.462310807536479,-13.1027184,-0.0023140,20.6611576,-2.0586214,-0.4754470,4.0000000,0.5612224,1.0516381,18.0254078,-1.5121163,5.9142365
34,-13,-6.792788491150471,19.454854167536478,-13.0603027,-0.0046281,25.6198349,-0.9914908,-0.2308066,4.0000000,0.7088960,1.1202315,26.7930069,-1.1705092,3.2222688
35,-13,-6.785331851150471,19.454854167536478,-13.0639935,-0.0013223,34.7107430,-1.0421728,-0.2811820,4.0000000,0.7322444,1.1167637,26.4383011,-1.2946084,3.4238074
36,-13,-6.777875211150471,19.454854167536478,-13.0676136,0.0023140,43.8016510,-1.0928433,-0.3265545,4.0000000,0.7496920,1.1128849,26.0335674,-1.4028010,3.6316426
37,-13,-6.770418571150471,19.454854167536478,-13.0711565,-0.0040496,26.4462814,-1.1462846,-0.3676258,4.0000000,0.7607093,1.1086493,25.5811672,-1.4959610,3.8504770
38,-13,-6.762961931150471,19.454854167536478,-13.0746155,-0.0008264,35.5371895,-1.2047267,-0.4059262,4.0000000,0.7640171,1.1040930,25.0835247,-1.5758694,4.0872741
39,-13,-6.755505291150471,19.454854167536478,-13.0779829,0.0028099,44.6280975,-1.2692343,-0.4392335,4.0000000,0.7605531,1.0992489,24.5371380,-1.6390202,4.3331318
40,-13,-6.748048651150471,19.454854167536478,-13.0812540,-0.0039669,25.6198349,-1.3372595,-0.4652220,4.0000000,0.7503510,1.0941790,23.9481316,-1.6807950,4.5667219
41,-13,-6.740592011150471,19.454854167536478,-13.0844221,-0.0009091,34.7107430,-1.4148164,-0.4871515,4.0000000,0.7337502,1.0889481,23.3210526,-1.7080531,4.8117738
42,-13,-6.733135371150471,19.454854167536478,-13.0874844,0.0022314,43.8016510,-1.5021558,-0.5072644,4.0000000,0.7096058,1.0835789,22.6527309,-1.7241346,5.0740056
43,-13,-6.725678731150471,19.454854167536478,-13.0904350,-0.0047107,19.0082645,-1.5920846,-0.5201735,4.0000000,0.6796705,1.0781239,21.9464226,-1.7200176,5.3073840
44,-13,-6.718222091150471,19.454854167536478,-13.0932722,-0.0019008,28.0991745,-1.6835318,-0.5268830,4.0000000,0.6447561,1.0726694,21.2098789,-1.6985221,5.5106330
