OID_,ClipsFinal_DEM_Large_S3_RegF3,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-5.726488971150472,21.080401687536479,-13.0198851,0.0047934,47.9338837,-0.3618089,-0.1553689,4.0000000,-0.7338614,1.0151200,9.9021912,0.4231237,0.8827302
2,-13,-5.719032331150471,21.080401687536479,-13.0200987,-0.0050413,0.0000000,-0.3588893,-0.1465029,4.0000000,-0.7404637,1.0149418,9.8429728,0.4474579,0.8640481
3,-13,-5.711575691150472,21.080401687536479,-13.0202675,-0.0048760,0.0000000,-0.3546232,-0.1358413,4.0000000,-0.7369726,1.0147750,9.7882032,0.4652900,0.8408691
4,-13,-5.704119051150471,21.080401687536479,-13.0203934,-0.0047934,0.0000000,-0.3483320,-0.1243167,4.0000000,-0.7250204,1.0146257,9.7394218,0.4763870,0.8133610
5,-13,-5.741402251150472,21.072945047536479,-13.0206127,-0.0047107,0.0000000,-0.3683853,-0.1899623,4.0000000,-0.7160915,1.0161068,10.2176542,0.3361669,0.9532651
6,-13,-5.733945611150471,21.072945047536479,-13.0209188,-0.0044628,0.0000000,-0.3642460,-0.1801482,4.0000000,-0.7380158,1.0159115,10.1548958,0.3777194,0.9281514
7,-13,-5.726488971150472,21.072945047536479,-13.0211782,-0.0042975,0.0000000,-0.3629892,-0.1706735,4.0000000,-0.7533166,1.0157251,10.0956755,0.4119695,0.9103577
8,-13,-5.719032331150471,21.072945047536479,-13.0213919,-0.0041322,0.0000000,-0.3613742,-0.1580040,4.0000000,-0.7565076,1.0155479,10.0391359,0.4404995,0.8877849
9,-13,-5.711575691150472,21.072945047536479,-13.0215588,-0.0039669,0.0000000,-0.3571846,-0.1442740,4.0000000,-0.7492008,1.0153866,9.9868994,0.4606528,0.8595790
10,-13,-5.704119051150471,21.072945047536479,-13.0216827,-0.0038843,0.0000000,-0.3515196,-0.1296747,4.0000000,-0.7340724,1.0152419,9.9405041,0.4747231,0.8287962
11,-13,-5.756315531150472,21.065488407536481,-13.0211592,-0.0043802,0.0000000,-0.3706501,-0.2325611,4.0000000,-0.6638576,1.0171237,10.5311766,0.1987355,1.0398631
12,-13,-5.748858891150471,21.065488407536481,-13.0215683,-0.0040496,0.0000000,-0.3673036,-0.2242799,4.0000000,-0.7086890,1.0169131,10.4666348,0.2601292,1.0167195
13,-13,-5.741402251150472,21.065488407536481,-13.0219278,-0.0038017,0.0000000,-0.3655467,-0.2135653,4.0000000,-0.7415414,1.0167028,10.4018097,0.3144109,0.9924935
14,-13,-5.733945611150471,21.065488407536481,-13.0222368,-0.0034711,0.8264463,-0.3620878,-0.2001980,4.0000000,-0.7597149,1.0165061,10.3409529,0.3593189,0.9604474
15,-13,-5.726488971150472,21.065488407536481,-13.0224981,-0.0032231,1.6528926,-0.3603463,-0.1881287,4.0000000,-0.7717662,1.0163205,10.2829847,0.3955087,0.9355568
16,-13,-5.719032331150471,21.065488407536481,-13.0227108,-0.0029752,2.4793389,-0.3583592,-0.1742784,4.0000000,-0.7737483,1.0161475,10.2297850,0.4251916,0.9084052
17,-13,-5.711575691150472,21.065488407536481,-13.0228777,-0.0028099,2.4793389,-0.3534005,-0.1574897,4.0000000,-0.7623032,1.0159950,10.1814260,0.4473237,0.8721551
18,-13,-5.704119051150471,21.065488407536481,-13.0229988,-0.0027273,2.4793389,-0.3469665,-0.1393730,4.0000000,-0.7419414,1.0158628,10.1378603,0.4631954,0.8334279
19,-13,-5.696662411150472,21.065488407536481,-13.0230770,-0.0026446,2.4793389,-0.3383046,-0.1206118,4.0000000,-0.7145660,1.0157502,10.1019020,0.4733424,0.7921006
20,-13,-5.853251851150471,21.058031767536480,-13.0122194,-0.0028099,6.6115704,-0.5655052,-0.2711902,4.0000000,0.3156565,1.0213875,11.7465448,-0.8580369,1.5225750
21,-13,-5.845795211150472,21.058031767536480,-13.0133247,-0.0016529,9.9173555,-0.5549870,-0.2831091,5.0000000,0.2451952,1.0210247,11.6467419,-0.8114133,1.5283327
22,-13,-5.778685451150471,21.058031767536480,-13.0209208,-0.0044628,0.8264463,-0.3835747,-0.2900675,4.0000000,-0.5100717,1.0184014,10.9111996,-0.0700632,1.1974713
23,-13,-5.771228811150472,21.058031767536480,-13.0214958,-0.0039669,1.6528926,-0.3720610,-0.2834678,4.0000000,-0.5786977,1.0181602,10.8414125,0.0117621,1.1583251
24,-13,-5.763772171150471,21.058031767536480,-13.0220184,-0.0035537,2.4793389,-0.3618477,-0.2755851,4.0000000,-0.6397789,1.0179291,10.7730904,0.0886089,1.1188455
25,-13,-5.756315531150472,21.058031767536480,-13.0224867,-0.0031405,3.3057852,-0.3561728,-0.2652438,4.0000000,-0.6911932,1.0177089,10.7068720,0.1607057,1.0834525
26,-13,-5.748858891150471,21.058031767536480,-13.0229034,-0.0027273,4.1322312,-0.3524909,-0.2553120,4.0000000,-0.7338387,1.0174923,10.6417589,0.2232147,1.0536722
