OID_,ClipsFinal_DEM_Large_S3_RegF1,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-6.397586571150471,21.505430167536478,-12.7773018,0.0024793,40.4958687,-0.2814703,0.0956537,4.0000000,0.5360133,1.1149538,26.2545795,-0.3447058,0.9988580
2,-12,-6.390129931150471,21.505430167536478,-12.7799797,0.0052066,49.5867767,-0.2664507,0.0631662,4.0000000,0.4644476,1.1154602,26.3077278,-0.3381151,0.8968483
3,-12,-6.382673291150471,21.505430167536478,-12.7826405,-0.0020661,29.7520657,-0.2507626,0.0325421,4.0000000,0.3956823,1.1157523,26.3380699,-0.3305981,0.8101790
4,-12,-6.375216651150472,21.505430167536478,-12.7852821,0.0006612,37.1900826,-0.2315846,0.0056173,4.0000000,0.3302681,1.1158298,26.3445473,-0.3190335,0.7287702
5,-12,-6.367760011150471,21.505430167536478,-12.7879009,0.0033058,45.4545441,-0.2106244,-0.0195230,5.0000000,0.2668855,1.1157327,26.3361015,-0.3059316,0.6538527
6,-12,-6.360303371150472,21.505430167536478,-12.7904959,-0.0040496,23.1404953,-0.1889139,-0.0427556,4.0000000,0.2078347,1.1154809,26.3090553,-0.2933459,0.5866320
7,-12,-6.352846731150472,21.505430167536478,-12.7930651,-0.0014050,29.7520657,-0.1661378,-0.0637816,4.0000000,0.1520547,1.1150937,26.2677708,-0.2796179,0.5240465
8,-12,-6.419956491150471,21.497973527536480,-12.7716331,-0.0033058,23.9669418,-0.3060989,0.1729495,4.0000000,0.7058484,1.1150116,26.2600212,-0.3599494,1.2797540
9,-12,-6.412499851150471,21.497973527536480,-12.7743759,-0.0004959,31.4049587,-0.2955293,0.1334310,4.0000000,0.6287148,1.1161296,26.3769302,-0.3618528,1.1388358
10,-12,-6.405043211150471,21.497973527536480,-12.7771101,0.0022314,39.6694221,-0.2831918,0.0956920,4.0000000,0.5519515,1.1169629,26.4635143,-0.3605675,1.0162177
11,-12,-6.397586571150471,21.497973527536480,-12.7798319,0.0049587,48.7603302,-0.2685272,0.0607006,4.0000000,0.4774020,1.1175190,26.5208225,-0.3560008,0.9099738
12,-12,-6.390129931150471,21.497973527536480,-12.7825365,-0.0023140,29.7520657,-0.2513865,0.0289342,4.0000000,0.4054192,1.1178492,26.5539703,-0.3475507,0.8169239
13,-12,-6.382673291150471,21.497973527536480,-12.7852230,0.0004132,37.1900826,-0.2333886,-0.0013049,4.0000000,0.3348240,1.1179533,26.5641727,-0.3374338,0.7375363
14,-12,-6.375216651150472,21.497973527536480,-12.7878866,0.0031405,45.4545441,-0.2131733,-0.0277858,4.0000000,0.2681726,1.1178310,26.5523872,-0.3237441,0.6660345
15,-12,-6.367760011150471,21.497973527536480,-12.7905254,-0.0041322,23.1404953,-0.1918048,-0.0516174,5.0000000,0.2049742,1.1175535,26.5229988,-0.3082090,0.6019124
16,-12,-6.360303371150472,21.497973527536480,-12.7931385,-0.0014876,29.7520657,-0.1694742,-0.0725877,4.0000000,0.1466813,1.1171106,26.4767475,-0.2918567,0.5427505
17,-12,-6.352846731150472,21.497973527536480,-12.7957230,0.0011570,37.1900826,-0.1467072,-0.0918589,4.0000000,0.0917701,1.1165317,26.4168835,-0.2754880,0.4884488
18,-12,-6.345390091150472,21.497973527536480,-12.7982788,0.0036364,44.6280975,-0.1234614,-0.1065774,4.0000000,0.0436488,1.1158566,26.3462315,-0.2568036,0.4339331
19,-12,-6.337933451150472,21.497973527536480,-12.8008060,-0.0038843,23.1404953,-0.1015544,-0.1212507,4.0000000,-0.0021233,1.1150843,26.2666683,-0.2403780,0.3875319
20,-12,-6.330476811150472,21.497973527536480,-12.8033037,-0.0014876,28.9256191,-0.0789939,-0.1317631,4.0000000,-0.0414581,1.1142533,26.1794033,-0.2220681,0.3364947
21,-12,-6.434869771150471,21.490516887536479,-12.7685308,0.0035537,43.8016510,-0.3194454,0.2166824,4.0000000,0.8014430,1.1152009,26.2801285,-0.3680783,1.4802283
22,-12,-6.427413131150471,21.490516887536479,-12.7713165,-0.0037190,23.1404953,-0.3098623,0.1743919,4.0000000,0.7241324,1.1167501,26.4411583,-0.3753486,1.3117065
23,-12,-6.419956491150471,21.490516887536479,-12.7741003,-0.0008264,30.5785122,-0.2972778,0.1343734,4.0000000,0.6464607,1.1179836,26.5688400,-0.3777139,1.1607032
24,-12,-6.412499851150471,21.490516887536479,-12.7768764,0.0019835,38.8429756,-0.2841649,0.0944002,4.0000000,0.5676277,1.1189197,26.6654530,-0.3788273,1.0291241
25,-12,-6.405043211150471,21.490516887536479,-12.7796421,0.0047107,47.9338837,-0.2696279,0.0576581,4.0000000,0.4909584,1.1195778,26.7316093,-0.3756422,0.9196376
