OID_,ClipsFinal_DEM_Large_S3_RegS2,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.378457611150471,21.796239127536481,-12.7548485,-0.0002479,20.6611576,-0.2192573,-0.0629311,4.0000000,0.2487110,1.0236927,12.3532171,-0.3745733,0.4951933
2,-12,-2.371000971150471,21.796239127536481,-12.7532206,-0.0020661,11.5702477,-0.2024743,-0.0483901,4.0000000,0.2442687,1.0244911,12.5547342,-0.3410488,0.4536345
3,-12,-2.363544331150471,21.796239127536481,-12.7515669,-0.0038843,2.4793389,-0.1846166,-0.0317043,4.0000000,0.2397842,1.0252490,12.7434959,-0.3031929,0.4107192
4,-12,-2.356087691150471,21.796239127536481,-12.7498903,0.0048760,49.5867767,-0.1665713,-0.0140853,4.0000000,0.2360055,1.0259430,12.9141369,-0.2641761,0.3693542
5,-12,-2.348631051150471,21.796239127536481,-12.7481937,0.0033884,40.4958687,-0.1490513,0.0053969,4.0000000,0.2337908,1.0265784,13.0683355,-0.2229970,0.3316694
6,-12,-2.385914251150471,21.788782487536480,-12.7566833,0.0018182,30.5785122,-0.2292653,-0.0883920,4.0000000,0.2299581,1.0225352,12.0520792,-0.4067420,0.5302047
7,-12,-2.378457611150471,21.788782487536480,-12.7550964,0.0000000,21.4876041,-0.2117183,-0.0761425,4.0000000,0.2228979,1.0233703,12.2690449,-0.3751830,0.4854762
8,-12,-2.371000971150471,21.788782487536480,-12.7534819,-0.0018182,12.3966942,-0.1952849,-0.0615705,4.0000000,0.2185374,1.0241748,12.4752722,-0.3416784,0.4430034
9,-12,-2.363544331150471,21.788782487536480,-12.7518425,-0.0036364,3.3057852,-0.1776254,-0.0471926,4.0000000,0.2120338,1.0249445,12.6683064,-0.3064189,0.3994109
10,-12,-2.356087691150471,21.788782487536480,-12.7501793,-0.0048760,0.0000000,-0.1592277,-0.0283377,4.0000000,0.2079210,1.0256519,12.8429575,-0.2645963,0.3546333
11,-12,-2.348631051150471,21.788782487536480,-12.7484961,0.0037190,42.1487617,-0.1419889,-0.0099729,4.0000000,0.2039512,1.0262972,13.0016460,-0.2238970,0.3151517
12,-12,-2.341174411150471,21.788782487536480,-12.7467937,0.0019835,33.0578499,-0.1256799,0.0095414,4.0000000,0.2015077,1.0268846,13.1406136,-0.1824249,0.2804584
13,-12,-2.930248971150471,21.781325847536483,-12.7912359,-0.0035537,0.0000000,-0.0631322,-0.3102764,4.0000000,-0.7095061,1.0085064,7.4461303,0.0889532,0.5377262
14,-12,-2.922792331150471,21.781325847536483,-12.7918100,-0.0028926,0.0000000,-0.0737092,-0.3265690,4.0000000,-0.7512519,1.0079434,7.1964755,0.0981139,0.6015881
15,-12,-2.915335691150471,21.781325847536483,-12.7923584,-0.0023140,0.0000000,-0.0849718,-0.3419790,4.0000000,-0.7913145,1.0073687,6.9324880,0.1073564,0.6660983
16,-12,-2.393370891150471,21.781325847536483,-12.7584791,0.0037190,40.4958687,-0.2371566,-0.1144273,4.0000000,0.2110189,1.0213184,11.7281218,-0.4398734,0.5664545
17,-12,-2.385914251150471,21.781325847536483,-12.7569361,0.0020661,31.4049587,-0.2184416,-0.1025808,4.0000000,0.2022265,1.0222102,11.9667358,-0.4073882,0.5171902
18,-12,-2.378457611150471,21.781325847536483,-12.7553625,0.0002479,22.3140488,-0.2004198,-0.0907505,4.0000000,0.1941505,1.0230620,12.1881037,-0.3756516,0.4702358
19,-12,-2.371000971150471,21.781325847536483,-12.7537622,-0.0015702,13.2231407,-0.1841626,-0.0784698,4.0000000,0.1871265,1.0238744,12.3988352,-0.3440661,0.4277188
20,-12,-2.363544331150471,21.781325847536483,-12.7521362,-0.0033884,4.1322312,-0.1679000,-0.0633710,4.0000000,0.1820585,1.0246512,12.5952177,-0.3088004,0.3846996
21,-12,-2.356087691150471,21.781325847536483,-12.7504864,-0.0047107,0.0000000,-0.1500057,-0.0458689,4.0000000,0.1762069,1.0253690,12.7734013,-0.2679448,0.3388300
22,-12,-2.348631051150471,21.781325847536483,-12.7488155,0.0039669,43.8016510,-0.1329084,-0.0276802,4.0000000,0.1711975,1.0260253,12.9354773,-0.2265580,0.2968620
23,-12,-2.341174411150471,21.781325847536483,-12.7471256,0.0023140,34.7107430,-0.1164064,-0.0090437,4.0000000,0.1671018,1.0266185,13.0782099,-0.1851893,0.2587056
24,-12,-2.333717771150471,21.781325847536483,-12.7454195,0.0004959,25.6198349,-0.1014685,0.0105483,4.0000000,0.1627769,1.0271462,13.2041836,-0.1416803,0.2268480
25,-12,-2.937705611150471,21.773869207536482,-12.7914314,-0.0033884,0.0000000,-0.0592922,-0.2902955,4.0000000,-0.6691608,1.0086710,7.5174255,0.0885698,0.4796113
26,-12,-2.930248971150471,21.773869207536482,-12.7920084,-0.0027273,0.0000000,-0.0695277,-0.3074842,4.0000000,-0.7124025,1.0081270,7.2790279,0.0974341,0.5426522
