OID_,ClipsFinal_DEM_Large_S3_RegR,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
29,-13,-4.473773451150471,20.111038487536479,-13.2538013,0.0000000,0.0000000,-0.4659706,-0.4228615,5.0000000,0.0986648,1.0009562,2.4717474,-0.9443880,1.6516863
30,-13,-4.466316811150471,20.111038487536479,-13.2539749,0.0000000,0.0000000,-0.5809256,-0.3952334,4.0000000,-0.1119523,1.0009869,2.5090473,-0.6785144,1.7926950
31,-13,-4.458860171150471,20.111038487536479,-13.2540989,0.0000000,0.0000000,-0.7014410,-0.3613666,4.0000000,-0.3663479,1.0011078,2.6586926,-0.3563852,1.9335532
32,-13,-4.451403531150471,20.111038487536479,-13.2541742,0.0000000,0.0000000,-0.8293356,-0.3183352,4.0000000,-0.5957531,1.0013249,2.9095237,-0.0409172,2.0756147
33,-13,-4.443946891150471,20.111038487536479,-13.2542028,0.0000000,0.0000000,-0.9585903,-0.2686085,5.0000000,-0.7625210,1.0016402,3.2434936,0.2253040,2.2216890
34,-13,-4.436490251150471,20.111038487536479,-13.2541866,0.0000000,0.0000000,-1.0897607,-0.2151417,4.0000000,-0.8697535,1.0020580,3.6398132,0.4394701,2.3861425
35,-13,-4.429033611150471,20.111038487536479,-13.2541304,-0.0000826,0.0000000,-1.2213907,-0.1569889,4.0000000,-0.9281746,1.0025845,4.0823760,0.6141968,2.5698223
36,-13,-4.421576971150471,20.111038487536479,-13.2540359,-0.0002479,0.0000000,-1.3515155,-0.0958998,4.0000000,-0.9504820,1.0032202,4.5596018,0.7586823,2.7769134
37,-13,-4.518513291150471,20.103581847536478,-13.2516651,-0.0020661,0.0000000,0.0432520,-0.4590675,4.0000000,-0.1181260,1.0019032,3.5256288,-0.8000090,0.7598364
38,-13,-4.511056651150471,20.103581847536478,-13.2520943,-0.0011570,0.0000000,0.0076788,-0.4794021,4.0000000,-0.0449704,1.0016344,3.2649825,-0.9138339,0.9071212
39,-13,-4.503600011150471,20.103581847536478,-13.2524815,-0.0002479,0.0000000,-0.0419331,-0.4923638,4.0000000,0.0306733,1.0013826,2.9975488,-1.0154010,1.0565083
40,-13,-4.496143371150471,20.103581847536478,-13.2528229,0.0000000,0.0000000,-0.1040872,-0.4993924,4.0000000,0.0945219,1.0011629,2.7442749,-1.0933068,1.2085605
41,-13,-4.488686731150471,20.103581847536478,-13.2531166,0.0000000,0.0000000,-0.1787265,-0.4977732,4.0000000,0.1180655,1.0009894,2.5246260,-1.1136118,1.3514255
42,-13,-4.481230091150471,20.103581847536478,-13.2533588,0.0000000,0.0000000,-0.2661022,-0.4889536,5.0000000,0.0596081,1.0008759,2.3693333,-1.0375153,1.4917679
