OID_,ClipsFinal_DEM_Large_S3_RegG2,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-6.822615051150471,20.297454487536477,-12.9486074,0.0035537,44.6280975,-0.1036327,-0.1960346,4.0000000,-0.5180924,1.0679158,20.5460949,0.1260231,0.5160267
2,-12,-6.815158411150471,20.297454487536477,-12.9502745,-0.0047934,14.8760328,-0.1061360,-0.2192971,4.0000000,-0.5450223,1.0663501,20.3195534,0.1064280,0.5741160
3,-12,-6.807701771150471,20.297454487536477,-12.9519072,-0.0032231,19.0082645,-0.1095591,-0.2422619,4.0000000,-0.5725074,1.0647399,20.0832939,0.0879836,0.6384762
4,-12,-6.800245131150471,20.297454487536477,-12.9535017,-0.0016529,23.9669418,-0.1137656,-0.2645027,4.0000000,-0.6000807,1.0630816,19.8374538,0.0710753,0.7071567
5,-12,-6.792788491150471,20.297454487536477,-12.9550552,0.0000000,29.7520657,-0.1177880,-0.2847570,4.0000000,-0.6256789,1.0613946,19.5832710,0.0561649,0.7730510
6,-12,-6.785331851150471,20.297454487536477,-12.9565649,0.0014876,35.5371895,-0.1226732,-0.3021036,4.0000000,-0.6487618,1.0596992,19.3222275,0.0445546,0.8347059
7,-12,-6.830071691150471,20.289997847536480,-12.9491587,0.0040496,46.2809906,-0.0908862,-0.1779327,4.0000000,-0.4897179,1.0690550,20.7081051,0.1338525,0.4447010
8,-12,-6.822615051150471,20.289997847536480,-12.9508400,-0.0042975,16.5289249,-0.0936376,-0.2011600,4.0000000,-0.5175560,1.0675647,20.4962482,0.1152360,0.5000323
9,-12,-6.815158411150471,20.289997847536480,-12.9524899,-0.0026446,21.4876041,-0.0962150,-0.2227118,4.0000000,-0.5426148,1.0660381,20.2731686,0.0971913,0.5551767
10,-12,-6.807701771150471,20.289997847536480,-12.9541063,-0.0009917,26.4462814,-0.1009395,-0.2430646,4.0000000,-0.5676093,1.0644584,20.0416622,0.0814800,0.6166305
11,-12,-6.800245131150471,20.289997847536480,-12.9556847,0.0005785,32.2314034,-0.1055557,-0.2633590,4.0000000,-0.5927062,1.0628393,19.8014011,0.0659882,0.6808952
12,-12,-6.792788491150471,20.289997847536480,-12.9572229,0.0022314,38.8429756,-0.1102251,-0.2831456,4.0000000,-0.6176819,1.0611991,19.5530052,0.0513906,0.7469198
