OID_,ClipsFinal_DEM_Large_S3_RegD,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-5.458049931150471,20.685199767536478,-13.1276150,0.0023967,42.1487617,-0.4888129,-0.3715081,4.0000000,-0.7044308,1.0944185,23.9869480,-0.0385853,2.3360221
2,-13,-5.450593291150471,20.685199767536478,-13.1286449,0.0033058,44.6280975,-0.4445194,-0.3900220,4.0000000,-0.7984051,1.0942012,23.9615326,0.0183611,2.3279548
3,-13,-5.443136651150471,20.685199767536478,-13.1295977,0.0042149,47.1074371,-0.4087428,-0.4033116,4.0000000,-0.8798556,1.0938445,23.9189167,0.0732324,2.3194108
4,-13,-5.435680011150471,20.685199767536478,-13.1304693,-0.0048760,22.3140488,-0.3809575,-0.4102214,4.0000000,-0.9467334,1.0933706,23.8618889,0.1262905,2.2985582
5,-13,-5.428223371150471,20.685199767536478,-13.1312609,-0.0040496,24.7933884,-0.3632842,-0.4141311,4.0000000,-1.0031755,1.0927839,23.7923737,0.1749133,2.2871060
6,-13,-5.420766731150471,20.685199767536478,-13.1319695,-0.0033058,27.2727280,-0.3554226,-0.4145971,4.0000000,-1.0489738,1.0921053,23.7109203,0.2197797,2.2808442
7,-13,-5.413310091150471,20.685199767536478,-13.1325970,-0.0027273,28.9256191,-0.3563954,-0.4090648,4.0000000,-1.0797347,1.0913552,23.6202087,0.2616050,2.2620990
8,-13,-5.405853451150471,20.685199767536478,-13.1331434,-0.0021488,30.5785122,-0.3636278,-0.4001123,4.0000000,-1.0982602,1.0905404,23.5223370,0.2980356,2.2382498
9,-13,-5.398396811150471,20.685199767536478,-13.1336079,-0.0016529,32.2314034,-0.3771445,-0.3872092,4.0000000,-1.1048919,1.0896826,23.4177361,0.3304735,2.2082655
10,-13,-5.338743691150472,20.685199767536478,-13.1345854,-0.0005785,33.8842964,-0.5838242,-0.1941015,4.0000000,-0.8774360,1.0821828,22.4773617,0.4892330,1.9411581
