OID_,ClipsFinal_DEM_Large_S3_RegJ,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-7.791978251150471,21.930458647536476,-12.6214952,-0.0034711,4.1322312,-0.0499737,-0.1058141,4.0000000,-0.1880630,1.0229259,12.1633854,-0.0235652,0.1602664
2,-12,-7.784521611150471,21.930458647536476,-12.6224937,-0.0025620,6.6115704,-0.0612627,-0.1675966,4.0000000,-0.2806303,1.0224519,12.0385332,-0.0545629,0.2605034
3,-12,-7.777064971150471,21.930458647536476,-12.6234646,-0.0015702,9.9173555,-0.0703930,-0.2239449,4.0000000,-0.3688859,1.0218590,11.8797264,-0.0790038,0.3785529
4,-12,-7.769608331150471,21.930458647536476,-12.6244020,-0.0006612,13.2231407,-0.0773639,-0.2736776,4.0000000,-0.4524706,1.0211736,11.6947336,-0.0948845,0.5032296
5,-12,-7.762151691150471,21.930458647536476,-12.6253004,0.0002479,17.3553715,-0.0843082,-0.3167804,4.0000000,-0.5316823,1.0204221,11.4886189,-0.1018785,0.6302972
6,-12,-7.754695051150471,21.930458647536476,-12.6261559,0.0010744,21.4876041,-0.0903859,-0.3563139,4.0000000,-0.6090595,1.0196234,11.2636032,-0.1035683,0.7597819
7,-12,-7.747238411150471,21.930458647536476,-12.6269627,0.0019008,26.4462814,-0.0966889,-0.3893919,4.0000000,-0.6833026,1.0187947,11.0263491,-0.0954811,0.8805178
8,-12,-7.739781771150471,21.930458647536476,-12.6277189,0.0026446,31.4049587,-0.1019168,-0.4162701,4.0000000,-0.7520825,1.0179548,10.7787304,-0.0804578,0.9849213
9,-12,-7.732325131150471,21.930458647536476,-12.6284208,0.0033884,36.3636360,-0.1078674,-0.4371195,4.0000000,-0.8155789,1.0171187,10.5298500,-0.0586600,1.0733942
10,-12,-7.724868491150471,21.930458647536476,-12.6290655,0.0040496,41.3223152,-0.1135715,-0.4528659,4.0000000,-0.8740432,1.0163088,10.2799129,-0.0316886,1.1443166
11,-12,-7.806891531150471,21.923002007536478,-12.6207008,-0.0042149,3.3057852,-0.0146989,-0.0076441,4.0000000,-0.0406009,1.0236385,12.3481979,0.0253128,0.0325942
12,-12,-7.799434891150471,21.923002007536478,-12.6217327,-0.0031405,5.7851238,-0.0259453,-0.0754994,4.0000000,-0.1377668,1.0234010,12.2877827,-0.0132321,0.0829256
13,-12,-7.791978251150471,21.923002007536478,-12.6227493,-0.0022314,8.2644625,-0.0341552,-0.1397550,4.0000000,-0.2308168,1.0230260,12.1887770,-0.0486933,0.1630269
14,-12,-7.784521611150471,21.923002007536478,-12.6237450,-0.0013223,11.5702477,-0.0407736,-0.1987881,4.0000000,-0.3195008,1.0225247,12.0565367,-0.0780754,0.2667757
15,-12,-7.777064971150471,21.923002007536478,-12.6247120,-0.0003306,15.7024794,-0.0458897,-0.2528765,4.0000000,-0.4036136,1.0219064,11.8927345,-0.1021395,0.3864773
16,-12,-7.769608331150471,21.923002007536478,-12.6256447,0.0005785,19.8347111,-0.0484196,-0.3017826,4.0000000,-0.4833899,1.0212055,11.7034035,-0.1201753,0.5118149
17,-12,-7.762151691150471,21.923002007536478,-12.6265383,0.0014876,24.7933884,-0.0515440,-0.3442772,4.0000000,-0.5597339,1.0204446,11.4939556,-0.1288205,0.6392472
18,-12,-7.754695051150471,21.923002007536478,-12.6273880,0.0023140,29.7520657,-0.0539164,-0.3831735,4.0000000,-0.6351543,1.0196375,11.2685318,-0.1311927,0.7680109
19,-12,-7.747238411150471,21.923002007536478,-12.6281900,0.0031405,35.5371895,-0.0573759,-0.4158597,4.0000000,-0.7074119,1.0188056,11.0291376,-0.1243074,0.8888235
20,-12,-7.739781771150471,21.923002007536478,-12.6289396,0.0038017,40.4958687,-0.0607751,-0.4418597,4.0000000,-0.7737039,1.0179620,10.7822561,-0.1100155,0.9920188
21,-12,-7.732325131150471,21.923002007536478,-12.6296339,0.0044628,45.4545441,-0.0651469,-0.4618495,4.0000000,-0.8336232,1.0171299,10.5326080,-0.0900759,1.0781101
22,-12,-7.724868491150471,21.923002007536478,-12.6302719,-0.0049587,0.0000000,-0.0702708,-0.4771780,4.0000000,-0.8895139,1.0163281,10.2855368,-0.0648421,1.1493789
23,-12,-7.717411851150471,21.923002007536478,-12.6308508,-0.0045455,0.0000000,-0.0782719,-0.4864134,4.0000000,-0.9379336,1.0155603,10.0435524,-0.0348933,1.2025299
24,-12,-7.709955211150471,21.923002007536478,-12.6313696,-0.0041322,0.0000000,-0.0849830,-0.4888410,4.0000000,-0.9740625,1.0148424,9.8124485,-0.0036195,1.2242936
25,-12,-7.702498571150471,21.923002007536478,-12.6318274,-0.0038017,0.0000000,-0.0935051,-0.4872346,4.0000000,-1.0028098,1.0141896,9.5947132,0.0283406,1.2328644
26,-12,-7.695041931150471,21.923002007536478,-12.6322250,-0.0035537,0.0000000,-0.1004923,-0.4811332,4.0000000,-1.0192739,1.0135981,9.3951683,0.0570075,1.2194227
27,-12,-7.687585291150471,21.923002007536478,-12.6325617,-0.0032231,0.0000000,-0.1099513,-0.4709571,4.0000000,-1.0268650,1.0130674,9.2119246,0.0849508,1.1951259
28,-12,-7.821804811150471,21.915545367536478,-12.6198845,0.0050413,49.5867767,0.0095082,0.0993821,4.0000000,0.1164689,1.0237865,12.3872643,0.0822953,0.0228920
29,-12,-7.814348171150471,21.915545367536478,-12.6209249,-0.0039669,4.1322312,-0.0015453,0.0258248,4.0000000,0.0107683,1.0238352,12.3993187,0.0408814,0.0062498
30,-12,-7.806891531150471,21.915545367536478,-12.6219635,-0.0028926,6.6115704,-0.0093384,-0.0438639,4.0000000,-0.0868910,1.0237224,12.3692598,-0.0008367,0.0293695
31,-12,-7.799434891150471,21.915545367536478,-12.6229944,-0.0019008,9.9173555,-0.0145693,-0.1094373,4.0000000,-0.1800254,1.0234566,12.3002138,-0.0388491,0.0861599
32,-12,-7.791978251150471,21.915545367536478,-12.6240082,-0.0009917,13.2231407,-0.0171950,-0.1718903,4.0000000,-0.2696346,1.0230505,12.1949720,-0.0741461,0.1706118
33,-12,-7.784521611150471,21.915545367536478,-12.6250000,-0.0000826,17.3553715,-0.0183223,-0.2296155,4.0000000,-0.3547562,1.0225227,12.0559502,-0.1044749,0.2763917
34,-12,-7.777064971150471,21.915545367536478,-12.6259632,0.0009091,22.3140488,-0.0187887,-0.2819109,4.0000000,-0.4356902,1.0218879,11.8874836,-0.1281316,0.3960879
35,-12,-7.769608331150471,21.915545367536478,-12.6268911,0.0018182,27.2727280,-0.0179452,-0.3297251,4.0000000,-0.5129492,1.0211769,11.6956511,-0.1465008,0.5232806
36,-12,-7.762151691150471,21.915545367536478,-12.6277800,0.0027273,33.0578499,-0.0158637,-0.3730264,4.0000000,-0.5878736,1.0204070,11.4834652,-0.1581792,0.6522744
37,-12,-7.754695051150471,21.915545367536478,-12.6286240,0.0035537,38.8429756,-0.0148335,-0.4106014,4.0000000,-0.6604195,1.0195917,11.2545137,-0.1607832,0.7785050
38,-12,-7.747238411150471,21.915545367536478,-12.6294193,0.0042975,44.6280975,-0.0142652,-0.4429257,4.0000000,-0.7291824,1.0187523,11.0140448,-0.1566689,0.8967796
39,-12,-7.739781771150471,21.915545367536478,-12.6301632,-0.0051240,0.0000000,-0.0148824,-0.4685601,4.0000000,-0.7917258,1.0179070,10.7664175,-0.1453945,0.9983480
40,-12,-7.732325131150471,21.915545367536478,-12.6308508,-0.0045455,0.0000000,-0.0173861,-0.4881375,4.0000000,-0.8494979,1.0170836,10.5184498,-0.1267771,1.0832220
41,-12,-7.724868491150471,21.915545367536478,-12.6314821,-0.0040496,0.0000000,-0.0232560,-0.5020967,4.0000000,-0.9021769,1.0162910,10.2738085,-0.1020165,1.1535469
42,-12,-7.717411851150471,21.915545367536478,-12.6320534,-0.0036364,0.0000000,-0.0306903,-0.5106627,4.0000000,-0.9480085,1.0155345,10.0352297,-0.0733168,1.2045039
43,-12,-7.709955211150471,21.915545367536478,-12.6325645,-0.0032231,0.0000000,-0.0367365,-0.5131192,4.0000000,-0.9826906,1.0148307,9.8078327,-0.0435479,1.2255330
44,-12,-7.702498571150471,21.915545367536478,-12.6330147,-0.0028099,0.8264463,-0.0451344,-0.5108203,4.0000000,-1.0086644,1.0141908,9.5963383,-0.0129762,1.2305413
45,-12,-7.695041931150471,21.915545367536478,-12.6334047,-0.0024793,1.6528926,-0.0539429,-0.5040085,4.0000000,-1.0242330,1.0136123,9.4000549,0.0162159,1.2167794
46,-12,-7.687585291150471,21.915545367536478,-12.6337328,-0.0020661,2.4793389,-0.0635539,-0.4940752,4.0000000,-1.0306946,1.0130980,9.2234001,0.0425443,1.1919740
47,-12,-7.680128651150471,21.915545367536478,-12.6340027,-0.0017355,3.3057852,-0.0726090,-0.4777262,4.0000000,-1.0197983,1.0126519,9.0660400,0.0643458,1.1404121
48,-12,-7.672672011150471,21.915545367536478,-12.6342125,-0.0014050,4.1322312,-0.0827561,-0.4591799,4.0000000,-1.0003127,1.0122703,8.9299574,0.0819529,1.0851028
49,-12,-7.829261451150471,21.908088727536477,-12.6201172,-0.0047107,2.4793389,0.0085185,0.1303958,4.0000000,0.1713855,1.0236894,12.3627729,0.0894060,0.0571381
50,-12,-7.821804811150471,21.908088727536477,-12.6211519,-0.0036364,4.9586778,0.0023485,0.0573125,4.0000000,0.0643042,1.0238694,12.4082127,0.0503209,0.0093704
51,-12,-7.814348171150471,21.908088727536477,-12.6221924,-0.0026446,7.4380164,-0.0009304,-0.0127583,4.0000000,-0.0364235,1.0238805,12.4104462,0.0109068,0.0028256
52,-12,-7.806891531150471,21.908088727536477,-12.6232300,-0.0016529,10.7438021,-0.0014742,-0.0808521,4.0000000,-0.1311793,1.0237308,12.3715258,-0.0305248,0.0328262
53,-12,-7.799434891150471,21.908088727536477,-12.6242580,-0.0006612,14.8760328,-0.0000284,-0.1453211,4.0000000,-0.2217440,1.0234360,12.2951145,-0.0688983,0.0950775
54,-12,-7.791978251150471,21.908088727536477,-12.6252699,0.0002479,19.0082645,0.0028569,-0.2057537,4.0000000,-0.3076837,1.0230030,12.1827526,-0.1038237,0.1835406
55,-12,-7.784521611150471,21.908088727536477,-12.6262569,0.0011570,23.9669418,0.0076809,-0.2626423,4.0000000,-0.3901043,1.0224504,12.0377703,-0.1351803,0.2914934
56,-12,-7.777064971150471,21.908088727536477,-12.6272154,0.0021488,29.7520657,0.0132261,-0.3136411,4.0000000,-0.4675406,1.0218036,11.8651705,-0.1597416,0.4094919
57,-12,-7.769608331150471,21.908088727536477,-12.6281385,0.0030579,35.5371895,0.0186138,-0.3606174,4.0000000,-0.5422595,1.0210822,11.6695948,-0.1789753,0.5372453
58,-12,-7.762151691150471,21.908088727536477,-12.6290216,0.0039669,42.1487617,0.0238685,-0.4021419,4.0000000,-0.6136750,1.0202991,11.4532528,-0.1906087,0.6645323
59,-12,-7.754695051150471,21.908088727536477,-12.6298599,0.0047107,47.9338837,0.0275928,-0.4386506,4.0000000,-0.6827056,1.0194756,11.2214546,-0.1945955,0.7900912
60,-12,-7.747238411150471,21.908088727536477,-12.6306496,-0.0046281,0.0000000,0.0302083,-0.4701313,4.0000000,-0.7480997,1.0186343,10.9800682,-0.1921628,0.9080974
61,-12,-7.739781771150471,21.908088727536477,-12.6313858,-0.0040496,0.8264463,0.0306966,-0.4948922,4.0000000,-0.8082321,1.0177950,10.7323904,-0.1815523,1.0093993
62,-12,-7.732325131150471,21.908088727536477,-12.6320677,-0.0034711,1.6528926,0.0291511,-0.5128874,4.0000000,-0.8617978,1.0169795,10.4861917,-0.1639770,1.0894413
63,-12,-7.724868491150471,21.908088727536477,-12.6326914,-0.0028926,2.4793389,0.0256005,-0.5268995,4.0000000,-0.9124414,1.0161960,10.2443352,-0.1413575,1.1579436
64,-12,-7.717411851150471,21.908088727536477,-12.6332569,-0.0023967,3.3057852,0.0215568,-0.5364596,4.0000000,-0.9570432,1.0154536,10.0096302,-0.1158760,1.2080610
65,-12,-7.709955211150471,21.908088727536477,-12.6337605,-0.0019008,4.1322312,0.0142579,-0.5377455,4.0000000,-0.9893780,1.0147686,9.7870111,-0.0861129,1.2269591
66,-12,-7.702498571150471,21.908088727536477,-12.6342039,-0.0014050,5.7851238,0.0057388,-0.5354591,4.0000000,-1.0141996,1.0141448,9.5804195,-0.0567185,1.2319036
67,-12,-7.695041931150471,21.908088727536477,-12.6345863,-0.0009917,7.4380164,-0.0049042,-0.5276975,4.0000000,-1.0277964,1.0135804,9.3897629,-0.0275986,1.2164294
68,-12,-7.687585291150471,21.908088727536477,-12.6349077,-0.0004959,9.0909090,-0.0157936,-0.5168185,4.0000000,-1.0316654,1.0130861,9.2186689,-0.0019716,1.1882377
69,-12,-7.680128651150471,21.908088727536477,-12.6351690,-0.0000826,10.7438021,-0.0284303,-0.4992457,4.0000000,-1.0200428,1.0126592,9.0689192,0.0215514,1.1360942
70,-12,-7.672672011150471,21.908088727536477,-12.6353722,0.0003306,12.3966942,-0.0403860,-0.4797295,4.0000000,-0.9991643,1.0122973,8.9394608,0.0397054,1.0774001
71,-12,-7.665215371150471,21.908088727536477,-12.6355181,0.0005785,13.2231407,-0.0535799,-0.4539809,4.0000000,-0.9629061,1.0119975,8.8312988,0.0549443,1.0004712
72,-12,-7.836718091150471,21.900632087536476,-12.6203623,-0.0045455,2.4793389,-0.0022698,0.1616475,4.0000000,0.2299209,1.0234214,12.2941856,0.0933741,0.1219855
73,-12,-7.829261451150471,21.900632087536476,-12.6213865,-0.0034711,4.9586778,-0.0037011,0.0883257,4.0000000,0.1189806,1.0237219,12.3714428,0.0576709,0.0429927
74,-12,-7.821804811150471,21.900632087536476,-12.6224222,-0.0024793,8.2644625,-0.0023068,0.0161696,4.0000000,0.0141605,1.0238602,12.4057608,0.0181786,0.0062143
75,-12,-7.814348171150471,21.900632087536476,-12.6234617,-0.0014876,11.5702477,0.0017057,-0.0518370,4.0000000,-0.0831518,1.0238333,12.3970356,-0.0205222,0.0084087
76,-12,-7.806891531150471,21.900632087536476,-12.6244974,-0.0004959,15.7024794,0.0080448,-0.1171945,4.0000000,-0.1735573,1.0236462,12.3499136,-0.0608317,0.0440623
77,-12,-7.799434891150471,21.900632087536476,-12.6255217,0.0004959,20.6611576,0.0168507,-0.1817616,4.0000000,-0.2620036,1.0233240,12.2672110,-0.1015196,0.1110260
78,-12,-7.791978251150471,21.900632087536476,-12.6265297,0.0014050,25.6198349,0.0267221,-0.2422886,4.0000000,-0.3467464,1.0228683,12.1473465,-0.1378308,0.2037439
79,-12,-7.784521611150471,21.900632087536476,-12.6275129,0.0023140,31.4049587,0.0366385,-0.2960223,4.0000000,-0.4237165,1.0222955,11.9962664,-0.1683281,0.3103583
80,-12,-7.777064971150471,21.900632087536476,-12.6284657,0.0033058,38.0165291,0.0474579,-0.3457300,4.0000000,-0.4977705,1.0216384,11.8201809,-0.1936895,0.4276109
81,-12,-7.769608331150471,21.900632087536476,-12.6293840,0.0042149,44.6280975,0.0569886,-0.3918727,4.0000000,-0.5700524,1.0209066,11.6214418,-0.2136930,0.5564132
82,-12,-7.762151691150471,21.900632087536476,-12.6302614,-0.0049587,0.0000000,0.0656243,-0.4325662,4.0000000,-0.6386322,1.0201155,11.4028397,-0.2265001,0.6842353
83,-12,-7.754695051150471,21.900632087536476,-12.6310930,-0.0042149,0.8264463,0.0725558,-0.4675288,4.0000000,-0.7038065,1.0192937,11.1708746,-0.2312511,0.8058915
84,-12,-7.747238411150471,21.900632087536476,-12.6318760,-0.0035537,1.6528926,0.0783581,-0.4979262,4.0000000,-0.7654129,1.0184634,10.9306965,-0.2304395,0.9199113
85,-12,-7.739781771150471,21.900632087536476,-12.6326065,-0.0028926,3.3057852,0.0809171,-0.5218163,4.0000000,-0.8225101,1.0176365,10.6849241,-0.2211225,1.0185630
86,-12,-7.732325131150471,21.900632087536476,-12.6332817,-0.0022314,4.9586778,0.0819606,-0.5401241,4.0000000,-0.8738344,1.0168288,10.4400101,-0.2064137,1.0984951
87,-12,-7.724868491150471,21.900632087536476,-12.6338997,-0.0015702,6.6115704,0.0802490,-0.5541981,4.0000000,-0.9219339,1.0160537,10.2011185,-0.1864624,1.1665059
88,-12,-7.717411851150471,21.900632087536476,-12.6344576,-0.0009917,8.2644625,0.0772885,-0.5633368,4.0000000,-0.9639435,1.0153233,9.9681034,-0.1627302,1.2144109
89,-12,-7.709955211150471,21.900632087536476,-12.6349554,-0.0004132,9.9173555,0.0688874,-0.5634653,4.0000000,-0.9934570,1.0146509,9.7484426,-0.1334736,1.2303560
90,-12,-7.702498571150471,21.900632087536476,-12.6353922,0.0001653,12.3966942,0.0603748,-0.5609637,4.0000000,-1.0165343,1.0140395,9.5450115,-0.1053930,1.2338022
91,-12,-7.695041931150471,21.900632087536476,-12.6357670,0.0006612,14.8760328,0.0487622,-0.5529587,4.0000000,-1.0291557,1.0134926,9.3602209,-0.0767615,1.2177216
92,-12,-7.687585291150471,21.900632087536476,-12.6360817,0.0011570,17.3553715,0.0365238,-0.5413539,4.0000000,-1.0314963,1.0130190,9.1956749,-0.0512115,1.1868731
93,-12,-7.680128651150471,21.900632087536476,-12.6363363,0.0015702,19.8347111,0.0210740,-0.5227992,4.0000000,-1.0189933,1.0126162,9.0531120,-0.0266051,1.1328750
94,-12,-7.672672011150471,21.900632087536476,-12.6365318,0.0019008,21.4876041,0.0070790,-0.5025359,4.0000000,-0.9972656,1.0122783,8.9323206,-0.0078063,1.0716255
95,-12,-7.665215371150471,21.900632087536476,-12.6366711,0.0020661,22.3140488,-0.0083063,-0.4762733,4.0000000,-0.9606777,1.0120022,8.8337574,0.0081311,0.9925076
96,-12,-7.657758731150471,21.900632087536476,-12.6367550,0.0021488,22.3140488,-0.0227308,-0.4494814,4.0000000,-0.9185355,1.0117867,8.7541571,0.0195726,0.9155150
